
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 30.0
Rrup Max (km):, 55.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1181, -, 1.0, -, 35.7, 80.8, 0.4, "Chi-Chi_ Taiwan", 1999, "CHY004", 7.62, Reverse Oblique, 47.32, 47.32, 271.3, 0.0375, 1.0, RSN1181_CHICHI_CHY004-N.AT2, RSN1181_CHICHI_CHY004-W.AT2 , RSN1181_CHICHI_CHY004-V.AT2  
2, SRSS, 1183, -, 1.0, -, 27.8, 61.3, 0.5, "Chi-Chi_ Taiwan", 1999, "CHY008", 7.62, Reverse Oblique, 40.43, 40.43, 210.73, 0.0375, 1.0, RSN1183_CHICHI_CHY008-N.AT2, RSN1183_CHICHI_CHY008-W.AT2 , RSN1183_CHICHI_CHY008-V.AT2  
3, SRSS, 1186, -, 1.0, -, 10.7, 27.2, 1.7, "Chi-Chi_ Taiwan", 1999, "CHY014", 7.62, Reverse Oblique, 33.19, 34.18, 347.63, 0.0375, 1.0, RSN1186_CHICHI_CHY014-N.AT2, RSN1186_CHICHI_CHY014-W.AT2 , RSN1186_CHICHI_CHY014-V.AT2  
4, SRSS, 1187, -, 1.0, -, 23.6, 38.7, 0.9, "Chi-Chi_ Taiwan", 1999, "CHY015", 7.62, Reverse Oblique, 38.13, 38.13, 228.66, 0.0375, 1.0, RSN1187_CHICHI_CHY015-N.AT2, RSN1187_CHICHI_CHY015-W.AT2 , RSN1187_CHICHI_CHY015-V.AT2  
5, SRSS, 1190, -, 1.0, -, 24.7, 39.1, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY019", 7.62, Reverse Oblique, 49.98, 50.53, 497.53, 0.0375, 1.0, RSN1190_CHICHI_CHY019-N.AT2, RSN1190_CHICHI_CHY019-W.AT2 , RSN1190_CHICHI_CHY019-V.AT2  
6, SRSS, 1196, -, 1.0, -, 29.1, 47.6, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY027", 7.62, Reverse Oblique, 41.99, 41.99, 210.01, 0.05, 1.0, RSN1196_CHICHI_CHY027-E.AT2, RSN1196_CHICHI_CHY027-N.AT2 , RSN1196_CHICHI_CHY027-V.AT2  
7, SRSS, 1199, -, 1.0, -, 28.6, 43.9, 0.5, "Chi-Chi_ Taiwan", 1999, "CHY032", 7.62, Reverse Oblique, 35.43, 35.43, 192.71, 0.0375, 1.0, RSN1199_CHICHI_CHY032-E.AT2, RSN1199_CHICHI_CHY032-N.AT2 , RSN1199_CHICHI_CHY032-V.AT2  
8, SRSS, 1200, -, 1.0, -, 31.1, 49.0, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY033", 7.62, Reverse Oblique, 43.82, 43.82, 197.63, 0.0625, 1.0, RSN1200_CHICHI_CHY033-E.AT2, RSN1200_CHICHI_CHY033-N.AT2 , RSN1200_CHICHI_CHY033-V.AT2  
9, SRSS, 1204, -, 1.0, -, 17.9, 39.0, 0.5, "Chi-Chi_ Taiwan", 1999, "CHY039", 7.62, Reverse Oblique, 31.87, 31.87, 201.21, 0.0375, 1.0, RSN1204_CHICHI_CHY039-E.AT2, RSN1204_CHICHI_CHY039-N.AT2 , RSN1204_CHICHI_CHY039-V.AT2  
10, SRSS, 1210, -, 1.0, -, 23.6, 39.5, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY050", 7.62, Reverse Oblique, 44.74, 44.76, 538.93, 0.05, 1.0, RSN1210_CHICHI_CHY050-E.AT2, RSN1210_CHICHI_CHY050-N.AT2 , RSN1210_CHICHI_CHY050-V.AT2  
11, SRSS, 1211, -, 1.0, -, 20.1, 34.5, 0.4, "Chi-Chi_ Taiwan", 1999, "CHY052", 7.62, Reverse Oblique, 38.7, 39.02, 573.04, 0.0375, 1.0, RSN1211_CHICHI_CHY052-N.AT2, RSN1211_CHICHI_CHY052-W.AT2 , RSN1211_CHICHI_CHY052-V.AT2  
12, SRSS, 1212, -, 1.0, -, 28.6, 39.8, 0.4, "Chi-Chi_ Taiwan", 1999, "CHY054", 7.62, Reverse Oblique, 48.49, 48.49, 172.1, 0.0375, 1.0, RSN1212_CHICHI_CHY054-E.AT2, RSN1212_CHICHI_CHY054-N.AT2 , RSN1212_CHICHI_CHY054-V.AT2  
13, SRSS, 1213, -, 1.0, -, 36.8, 62.0, 0.5, "Chi-Chi_ Taiwan", 1999, "CHY055", 7.62, Reverse Oblique, 54.3, 54.3, 225.77, 0.0375, 1.0, RSN1213_CHICHI_CHY055-W.AT2, RSN1213_CHICHI_CHY055-N.AT2 , RSN1213_CHICHI_CHY055-V.AT2  
14, SRSS, 1228, -, 1.0, -, 31.1, 42.0, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY076", 7.62, Reverse Oblique, 42.15, 42.15, 169.84, 0.05, 1.0, RSN1228_CHICHI_CHY076-E.AT2, RSN1228_CHICHI_CHY076-N.AT2 , RSN1228_CHICHI_CHY076-V.AT2  
15, SRSS, 1230, -, 1.0, -, 21.2, 37.6, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY079", 7.62, Reverse Oblique, 46.59, 47.52, 573.04, 0.0375, 1.0, RSN1230_CHICHI_CHY079-E.AT2, RSN1230_CHICHI_CHY079-N.AT2 , RSN1230_CHICHI_CHY079-V.AT2  
16, SRSS, 1232, -, 1.0, -, 18.9, 36.3, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY081", 7.62, Reverse Oblique, 41.36, 41.67, 573.04, 0.0375, 1.0, RSN1232_CHICHI_CHY081-E.AT2, RSN1232_CHICHI_CHY081-N.AT2 , RSN1232_CHICHI_CHY081-V.AT2  
17, SRSS, 1233, -, 1.0, -, 30.1, 45.8, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY082", 7.62, Reverse Oblique, 36.09, 36.09, 193.69, 0.05, 1.0, RSN1233_CHICHI_CHY082-E.AT2, RSN1233_CHICHI_CHY082-N.AT2 , RSN1233_CHICHI_CHY082-V.AT2  
18, SRSS, 1236, -, 1.0, -, 17.4, 33.8, 1.0, "Chi-Chi_ Taiwan", 1999, "CHY088", 7.62, Reverse Oblique, 37.48, 37.48, 318.52, 0.05, 1.0, RSN1236_CHICHI_CHY088-E.AT2, RSN1236_CHICHI_CHY088-N.AT2 , RSN1236_CHICHI_CHY088-V.AT2  
19, SRSS, 1239, -, 1.0, -, 47.3, 95.7, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY093", 7.62, Reverse Oblique, 49.82, 49.82, 190.49, 0.0375, 1.0, RSN1239_CHICHI_CHY093-N.AT2, RSN1239_CHICHI_CHY093-W.AT2 , RSN1239_CHICHI_CHY093-V.AT2  
20, SRSS, 1240, -, 1.0, -, 46.5, 80.0, 0.4, "Chi-Chi_ Taiwan", 1999, "CHY094", 7.62, Reverse Oblique, 37.1, 37.1, 221.92, 0.0625, 1.0, RSN1240_CHICHI_CHY094-N.AT2, RSN1240_CHICHI_CHY094-W.AT2 , RSN1240_CHICHI_CHY094-V.AT2  
21, SRSS, 1243, -, 1.0, -, 29.6, 54.9, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY100", 7.62, Reverse Oblique, 53.46, 53.46, 230.11, 0.0375, 1.0, RSN1243_CHICHI_CHY100-N.AT2, RSN1243_CHICHI_CHY100-W.AT2 , RSN1243_CHICHI_CHY100-V.AT2  
22, SRSS, 1245, -, 1.0, -, 21.7, 36.2, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY102", 7.62, Reverse Oblique, 36.06, 37.72, 804.36, 0.05, 1.0, RSN1245_CHICHI_CHY102-E.AT2, RSN1245_CHICHI_CHY102-N.AT2 , RSN1245_CHICHI_CHY102-V.AT2  
23, SRSS, 1247, -, 1.0, -, 31.5, 65.2, 0.4, "Chi-Chi_ Taiwan", 1999, "CHY107", 7.62, Reverse Oblique, 50.61, 50.61, 175.68, 0.025, 1.0, RSN1247_CHICHI_CHY107-N.AT2, RSN1247_CHICHI_CHY107-W.AT2 , RSN1247_CHICHI_CHY107-V.AT2  
24, SRSS, 1248, -, 1.0, -, 21.5, 35.5, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY109", 7.62, Reverse Oblique, 40.37, 41.03, 573.04, 0.25, 1.0, RSN1248_CHICHI_CHY109-E.AT2, RSN1248_CHICHI_CHY109-N.AT2 , RSN1248_CHICHI_CHY109-V.AT2  
25, SRSS, 1249, -, 1.0, -, 19.0, 32.5, 0.0, "Chi-Chi_ Taiwan", 1999, "CHY110", 7.62, Reverse Oblique, 40.37, 41.03, 573.04, 0.25, 1.0, RSN1249_CHICHI_CHY110-E.AT2, RSN1249_CHICHI_CHY110-N.AT2 , RSN1249_CHICHI_CHY110-V.AT2  
26, SRSS, 1258, -, 1.0, -, 12.1, 27.5, 0.5, "Chi-Chi_ Taiwan", 1999, "HWA005", 7.62, Reverse Oblique, 43.17, 47.58, 459.32, 0.0625, 1.0, RSN1258_CHICHI_HWA005-N.AT2, RSN1258_CHICHI_HWA005-W.AT2 , RSN1258_CHICHI_HWA005-V.AT2  
27, SRSS, 1259, -, 1.0, -, 9.9, 20.1, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA006", 7.62, Reverse Oblique, 43.49, 47.86, 559.11, 0.075, 1.0, RSN1259_CHICHI_HWA006-N.AT2, RSN1259_CHICHI_HWA006-W.AT2 , RSN1259_CHICHI_HWA006-V.AT2  
28, SRSS, 1262, -, 1.0, -, 13.3, 27.7, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA011", 7.62, Reverse Oblique, 49.29, 53.19, 355.76, 0.025, 1.0, RSN1262_CHICHI_HWA011-E.AT2, RSN1262_CHICHI_HWA011-N.AT2 , RSN1262_CHICHI_HWA011-V.AT2  
29, SRSS, 1264, -, 1.0, -, 13.3, 31.1, 0.5, "Chi-Chi_ Taiwan", 1999, "HWA013", 7.62, Reverse Oblique, 50.5, 54.32, 330.55, 0.025, 1.0, RSN1264_CHICHI_HWA013-E.AT2, RSN1264_CHICHI_HWA013-N.AT2 , RSN1264_CHICHI_HWA013-V.AT2  
30, SRSS, 1266, -, 1.0, -, 10.9, 21.0, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA015", 7.62, Reverse Oblique, 47.04, 51.12, 453.05, 0.025, 1.0, RSN1266_CHICHI_HWA015-E.AT2, RSN1266_CHICHI_HWA015-N.AT2 , RSN1266_CHICHI_HWA015-V.AT2  
31, SRSS, 1267, -, 1.0, -, 10.1, 28.7, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA016", 7.62, Reverse Oblique, 48.19, 52.18, 576.55, 0.0625, 1.0, RSN1267_CHICHI_HWA016-E.AT2, RSN1267_CHICHI_HWA016-N.AT2 , RSN1267_CHICHI_HWA016-V.AT2  
