
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 30.0
Rrup Max (km):, 55.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
32, SRSS, 1268, -, 1.0, -, 11.9, 22.4, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA017", 7.62, Reverse Oblique, 47.04, 51.11, 578.11, 0.025, 1.0, RSN1268_CHICHI_HWA017-E.AT2, RSN1268_CHICHI_HWA017-N.AT2 , RSN1268_CHICHI_HWA017-V.AT2  
33, SRSS, 1270, -, 1.0, -, 9.8, 18.1, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA020", 7.62, Reverse Oblique, 39.8, 44.54, 626.43, 0.025, 1.0, RSN1270_CHICHI_HWA020-E.AT2, RSN1270_CHICHI_HWA020-N.AT2 , RSN1270_CHICHI_HWA020-V.AT2  
34, SRSS, 1272, -, 1.0, -, 12.3, 22.8, 0.0, "Chi-Chi_ Taiwan", 1999, "HWA023", 7.62, Reverse Oblique, 47.08, 51.15, 671.52, 0.05, 1.0, RSN1272_CHICHI_HWA023-E.AT2, RSN1272_CHICHI_HWA023-N.AT2 , RSN1272_CHICHI_HWA023-V.AT2  
35, SRSS, 1273, -, 1.0, -, 21.1, 35.0, 0.0, "Chi-Chi_ Taiwan", 1999, "HWA024", 7.62, Reverse Oblique, 38.23, 43.15, 671.52, 0.0375, 1.0, RSN1273_CHICHI_HWA024-E.AT2, RSN1273_CHICHI_HWA024-N.AT2 , RSN1273_CHICHI_HWA024-V.AT2  
36, SRSS, 1274, -, 1.0, -, 11.0, 20.5, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA025", 7.62, Reverse Oblique, 49.93, 53.79, 494.32, 0.1875, 1.0, RSN1274_CHICHI_HWA025-E.AT2, RSN1274_CHICHI_HWA025-N.AT2 , RSN1274_CHICHI_HWA025-V.AT2  
37, SRSS, 1275, -, 1.0, -, 9.9, 19.6, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA026", 7.62, Reverse Oblique, 47.96, 51.96, 457.49, 0.0375, 1.0, RSN1275_CHICHI_HWA026-E.AT2, RSN1275_CHICHI_HWA026-N.AT2 , RSN1275_CHICHI_HWA026-V.AT2  
38, SRSS, 1276, -, 1.0, -, 9.3, 17.0, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA027", 7.62, Reverse Oblique, 47.58, 51.62, 437.8, 0.0375, 1.0, RSN1276_CHICHI_HWA027-E.AT2, RSN1276_CHICHI_HWA027-N.AT2 , RSN1276_CHICHI_HWA027-V.AT2  
39, SRSS, 1277, -, 1.0, -, 14.2, 35.3, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA028", 7.62, Reverse Oblique, 49.99, 53.84, 406.7, 0.025, 1.0, RSN1277_CHICHI_HWA028-E.AT2, RSN1277_CHICHI_HWA028-N.AT2 , RSN1277_CHICHI_HWA028-V.AT2  
40, SRSS, 1278, -, 1.0, -, 11.1, 22.5, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA029", 7.62, Reverse Oblique, 50.47, 54.29, 614.05, 0.15, 1.0, RSN1278_CHICHI_HWA029-E.AT2, RSN1278_CHICHI_HWA029-N.AT2 , RSN1278_CHICHI_HWA029-V.AT2  
41, SRSS, 1279, -, 1.0, -, 10.6, 21.1, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA030", 7.62, Reverse Oblique, 42.47, 46.95, 592.18, 0.025, 1.0, RSN1279_CHICHI_HWA030-E.AT2, RSN1279_CHICHI_HWA030-N.AT2 , RSN1279_CHICHI_HWA030-V.AT2  
42, SRSS, 1280, -, 1.0, -, 8.8, 20.4, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA031", 7.62, Reverse Oblique, 47.41, 51.46, 602.29, 0.025, 1.0, RSN1280_CHICHI_HWA031-E.AT2, RSN1280_CHICHI_HWA031-N.AT2 , RSN1280_CHICHI_HWA031-V.AT2  
43, SRSS, 1281, -, 1.0, -, 8.7, 17.9, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA032", 7.62, Reverse Oblique, 42.87, 47.31, 573.04, 0.625, 1.0, RSN1281_CHICHI_HWA032-E.AT2, RSN1281_CHICHI_HWA032-N.AT2 , RSN1281_CHICHI_HWA032-V.AT2  
44, SRSS, 1282, -, 1.0, -, 9.4, 19.7, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA033", 7.62, Reverse Oblique, 49.31, 53.21, 395.57, 0.0625, 1.0, RSN1282_CHICHI_HWA033-E.AT2, RSN1282_CHICHI_HWA033-N.AT2 , RSN1282_CHICHI_HWA033-V.AT2  
45, SRSS, 1283, -, 1.0, -, 10.5, 20.1, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA034", 7.62, Reverse Oblique, 39.55, 44.32, 379.18, 0.0625, 1.0, RSN1283_CHICHI_HWA034-E.AT2, RSN1283_CHICHI_HWA034-N.AT2 , RSN1283_CHICHI_HWA034-V.AT2  
46, SRSS, 1284, -, 1.0, -, 11.4, 22.0, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA035", 7.62, Reverse Oblique, 44.02, 48.35, 677.49, 0.025, 1.0, RSN1284_CHICHI_HWA035-E.AT2, RSN1284_CHICHI_HWA035-N.AT2 , RSN1284_CHICHI_HWA035-V.AT2  
47, SRSS, 1285, -, 1.0, -, 19.8, 31.1, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA036", 7.62, Reverse Oblique, 38.97, 43.8, 503.04, 0.025, 1.0, RSN1285_CHICHI_HWA036-E.AT2, RSN1285_CHICHI_HWA036-N.AT2 , RSN1285_CHICHI_HWA036-V.AT2  
48, SRSS, 1286, -, 1.0, -, 18.9, 31.8, 0.5, "Chi-Chi_ Taiwan", 1999, "HWA037", 7.62, Reverse Oblique, 41.65, 46.2, 469.64, 0.05, 1.0, RSN1286_CHICHI_HWA037-E.AT2, RSN1286_CHICHI_HWA037-N.AT2 , RSN1286_CHICHI_HWA037-V.AT2  
49, SRSS, 1287, -, 1.0, -, 20.5, 32.4, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA038", 7.62, Reverse Oblique, 37.54, 42.54, 642.73, 0.05, 1.0, RSN1287_CHICHI_HWA038-E.AT2, RSN1287_CHICHI_HWA038-N.AT2 , RSN1287_CHICHI_HWA038-V.AT2  
50, SRSS, 1288, -, 1.0, -, 18.9, 27.7, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA039", 7.62, Reverse Oblique, 41.3, 45.89, 459.67, 0.125, 1.0, RSN1288_CHICHI_HWA039-E.AT2, RSN1288_CHICHI_HWA039-N.AT2 , RSN1288_CHICHI_HWA039-V.AT2  
51, SRSS, 1289, -, 1.0, -, 21.2, 33.5, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA041", 7.62, Reverse Oblique, 43.37, 47.76, 484.97, 0.025, 1.0, RSN1289_CHICHI_HWA041-E.AT2, RSN1289_CHICHI_HWA041-N.AT2 , RSN1289_CHICHI_HWA041-V.AT2  
52, SRSS, 1293, -, 1.0, -, 8.3, 17.3, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA046", 7.62, Reverse Oblique, 47.79, 51.8, 617.52, 0.025, 1.0, RSN1293_CHICHI_HWA046-N.AT2, RSN1293_CHICHI_HWA046-W.AT2 , RSN1293_CHICHI_HWA046-V.AT2  
53, SRSS, 1294, -, 1.0, -, 13.2, 30.5, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA048", 7.62, Reverse Oblique, 47.35, 51.4, 345.89, 0.0625, 1.0, RSN1294_CHICHI_HWA048-N.AT2, RSN1294_CHICHI_HWA048-W.AT2 , RSN1294_CHICHI_HWA048-V.AT2  
54, SRSS, 1295, -, 1.0, -, 11.7, 28.3, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA049", 7.62, Reverse Oblique, 46.65, 50.76, 508.61, 0.0625, 1.0, RSN1295_CHICHI_HWA049-N.AT2, RSN1295_CHICHI_HWA049-W.AT2 , RSN1295_CHICHI_HWA049-V.AT2  
55, SRSS, 1296, -, 1.0, -, 9.4, 15.8, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA050", 7.62, Reverse Oblique, 49.37, 53.27, 313.9, 0.0625, 1.0, RSN1296_CHICHI_HWA050-N.AT2, RSN1296_CHICHI_HWA050-W.AT2 , RSN1296_CHICHI_HWA050-V.AT2  
56, SRSS, 1297, -, 1.0, -, 12.8, 20.2, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA051", 7.62, Reverse Oblique, 49.69, 53.56, 440.5, 0.025, 1.0, RSN1297_CHICHI_HWA051-N.AT2, RSN1297_CHICHI_HWA051-W.AT2 , RSN1297_CHICHI_HWA051-V.AT2  
57, SRSS, 1299, -, 1.0, -, 23.9, 36.1, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA054", 7.62, Reverse Oblique, 38.07, 43.01, 452.83, 0.075, 1.0, RSN1299_CHICHI_HWA054-N.AT2, RSN1299_CHICHI_HWA054-W.AT2 ,  -----   
58, SRSS, 1300, -, 1.0, -, 21.2, 34.1, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA055", 7.62, Reverse Oblique, 43.04, 47.46, 369.75, 0.05, 1.0, RSN1300_CHICHI_HWA055-N.AT2, RSN1300_CHICHI_HWA055-W.AT2 , RSN1300_CHICHI_HWA055-V.AT2  
59, SRSS, 1301, -, 1.0, -, 9.5, 16.9, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA056", 7.62, Reverse Oblique, 35.9, 41.1, 511.3, 0.0375, 1.0, RSN1301_CHICHI_HWA056-E.AT2, RSN1301_CHICHI_HWA056-N.AT2 , RSN1301_CHICHI_HWA056-V.AT2  
60, SRSS, 1302, -, 1.0, -, 12.9, 19.7, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA057", 7.62, Reverse Oblique, 46.48, 50.6, 671.52, 0.025, 1.0, RSN1302_CHICHI_HWA057-E.AT2, RSN1302_CHICHI_HWA057-N.AT2 , RSN1302_CHICHI_HWA057-V.AT2  
61, SRSS, 1303, -, 1.0, -, 9.4, 17.4, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA058", 7.62, Reverse Oblique, 41.17, 45.77, 529.54, 0.025, 1.0, RSN1303_CHICHI_HWA058-E.AT2, RSN1303_CHICHI_HWA058-N.AT2 , RSN1303_CHICHI_HWA058-V.AT2  
62, SRSS, 1304, -, 1.0, -, 11.3, 20.5, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA059", 7.62, Reverse Oblique, 44.89, 49.15, 208.56, 0.025, 1.0, RSN1304_CHICHI_HWA059-E.AT2, RSN1304_CHICHI_HWA059-N.AT2 , RSN1304_CHICHI_HWA059-V.AT2  
63, SRSS, 1350, -, 1.0, -, 8.7, 18.4, 0.7, "Chi-Chi_ Taiwan", 1999, "ILA067", 7.62, Reverse Oblique, 33.27, 38.82, 665.2, 0.0375, 1.0, RSN1350_CHICHI_ILA067-E.AT2, RSN1350_CHICHI_ILA067-N.AT2 , RSN1350_CHICHI_ILA067-V.AT2  
64, SRSS, 1351, -, 1.0, -, 24.5, 43.1, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU001", 7.62, Reverse Oblique, 42.48, 44.93, 573.04, 0.0375, 1.0, RSN1351_CHICHI_KAU001-N.AT2, RSN1351_CHICHI_KAU001-W.AT2 , RSN1351_CHICHI_KAU001-V.AT2  
65, SRSS, 1375, -, 1.0, -, 25.6, 39.5, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU047", 7.62, Reverse Oblique, 52.89, 54.95, 573.04, 0.0375, 1.0, RSN1375_CHICHI_KAU047-E.AT2, RSN1375_CHICHI_KAU047-N.AT2 , RSN1375_CHICHI_KAU047-V.AT2  
66, SRSS, 1377, -, 1.0, -, 23.2, 37.3, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU050", 7.62, Reverse Oblique, 35.68, 40.49, 665.2, 0.0375, 1.0, RSN1377_CHICHI_KAU050-E.AT2, RSN1377_CHICHI_KAU050-N.AT2 , RSN1377_CHICHI_KAU050-V.AT2  
67, SRSS, 1380, -, 1.0, -, 19.0, 32.5, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU054", 7.62, Reverse Oblique, 27.37, 30.85, 497.22, 0.05, 1.0, RSN1380_CHICHI_KAU054-E.AT2, RSN1380_CHICHI_KAU054-N.AT2 , RSN1380_CHICHI_KAU054-V.AT2  
68, SRSS, 1402, -, 1.0, 7.875, 8.7, 10.2, 0.8, "Chi-Chi_ Taiwan", 1999, "NST", 7.62, Reverse Oblique, 38.36, 38.42, 491.08, 0.0625, 1.0, RSN1402_CHICHI_NST-E.AT2, RSN1402_CHICHI_NST-N.AT2 , RSN1402_CHICHI_NST-V.AT2  
69, SRSS, 1471, -, 1.0, -, 15.7, 26.5, 0.4, "Chi-Chi_ Taiwan", 1999, "TCU015", 7.62, Reverse Oblique, 49.81, 49.81, 426.0, 0.0375, 1.0, RSN1471_CHICHI_TCU015-E.AT2, RSN1471_CHICHI_TCU015-N.AT2 , RSN1471_CHICHI_TCU015-V.AT2  
70, SRSS, 1472, -, 1.0, -, 14.0, 31.8, 0.3, "Chi-Chi_ Taiwan", 1999, "TCU017", 7.62, Reverse Oblique, 54.28, 54.28, 558.76, 0.025, 1.0, RSN1472_CHICHI_TCU017-E.AT2, RSN1472_CHICHI_TCU017-N.AT2 , RSN1472_CHICHI_TCU017-V.AT2  
71, SRSS, 1474, -, 1.0, -, 12.7, 18.1, 0.1, "Chi-Chi_ Taiwan", 1999, "TCU025", 7.62, Reverse Oblique, 52.18, 52.98, 665.2, 0.0625, 1.0, RSN1474_CHICHI_TCU025-E.AT2, RSN1474_CHICHI_TCU025-N.AT2 , RSN1474_CHICHI_TCU025-V.AT2  
72, SRSS, 1477, -, 1.0, 5.929, 20.4, 32.1, 0.6, "Chi-Chi_ Taiwan", 1999, "TCU031", 7.62, Reverse Oblique, 30.17, 30.17, 489.22, 0.025, 1.0, RSN1477_CHICHI_TCU031-E.AT2, RSN1477_CHICHI_TCU031-N.AT2 , RSN1477_CHICHI_TCU031-V.AT2  
73, SRSS, 1478, -, 1.0, 8.974, 12.6, 26.7, 0.8, "Chi-Chi_ Taiwan", 1999, "TCU033", 7.62, Reverse Oblique, 40.88, 40.88, 423.4, 0.0375, 1.0, RSN1478_CHICHI_TCU033-E.AT2, RSN1478_CHICHI_TCU033-N.AT2 , RSN1478_CHICHI_TCU033-V.AT2  
74, SRSS, 1479, -, 1.0, 8.869, 13.6, 23.2, 0.9, "Chi-Chi_ Taiwan", 1999, "TCU034", 7.62, Reverse Oblique, 35.68, 35.68, 393.77, 0.05, 1.0, RSN1479_CHICHI_TCU034-E.AT2, RSN1479_CHICHI_TCU034-N.AT2 , RSN1479_CHICHI_TCU034-V.AT2  
