
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 100.0
Rjb Max (km):, 1000.0
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
15, SRSS, 1369, -, 1.0, -, 26.8, 33.5, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU039", 7.62, Reverse Oblique, 151.33, 152.65, 464.82, 0.025, 1.0, RSN1369_CHICHI_KAU039-E.AT2, RSN1369_CHICHI_KAU039-N.AT2 , RSN1369_CHICHI_KAU039-V.AT2  
16, SRSS, 1370, -, 1.0, -, 24.3, 33.8, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU040", 7.62, Reverse Oblique, 140.09, 141.51, 567.64, 0.05, 1.0, RSN1370_CHICHI_KAU040-E.AT2, RSN1370_CHICHI_KAU040-N.AT2 , RSN1370_CHICHI_KAU040-V.AT2  
17, SRSS, 1371, -, 1.0, -, 26.9, 38.2, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU042", 7.62, Reverse Oblique, 158.96, 160.21, 806.48, 0.025, 1.0, RSN1371_CHICHI_KAU042-E.AT2, RSN1371_CHICHI_KAU042-N.AT2 , RSN1371_CHICHI_KAU042-V.AT2  
18, SRSS, 1372, -, 1.0, -, 33.5, 42.7, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU043", 7.62, Reverse Oblique, 170.99, 172.16, 538.49, 0.025, 1.0, RSN1372_CHICHI_KAU043-E.AT2, RSN1372_CHICHI_KAU043-N.AT2 , RSN1372_CHICHI_KAU043-V.AT2  
19, SRSS, 1373, -, 1.0, -, 30.4, 43.6, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU044", 7.62, Reverse Oblique, 119.96, 121.61, 221.24, 0.025, 1.0, RSN1373_CHICHI_KAU044-E.AT2, RSN1373_CHICHI_KAU044-N.AT2 , RSN1373_CHICHI_KAU044-V.AT2  
20, SRSS, 1374, -, 1.0, -, 31.5, 43.0, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU046", 7.62, Reverse Oblique, 161.62, 162.86, 204.23, 0.025, 1.0, RSN1374_CHICHI_KAU046-E.AT2, RSN1374_CHICHI_KAU046-N.AT2 , RSN1374_CHICHI_KAU046-V.AT2  
21, SRSS, 1378, -, 1.0, -, 31.6, 38.4, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU051", 7.62, Reverse Oblique, 123.56, 125.17, 1004.58, 0.125, 1.0, RSN1378_CHICHI_KAU051-E.AT2, RSN1378_CHICHI_KAU051-N.AT2 , RSN1378_CHICHI_KAU051-V.AT2  
22, SRSS, 1379, -, 1.0, -, 24.4, 26.7, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU052", 7.62, Reverse Oblique, 167.9, 169.09, 573.04, 0.0375, 1.0, RSN1379_CHICHI_KAU052-E.AT2, RSN1379_CHICHI_KAU052-N.AT2 , RSN1379_CHICHI_KAU052-V.AT2  
23, SRSS, 1381, -, 1.0, -, 38.8, 52.7, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU057", 7.62, Reverse Oblique, 112.48, 113.54, 535.13, 0.0375, 1.0, RSN1381_CHICHI_KAU057-E.AT2, RSN1381_CHICHI_KAU057-N.AT2 , RSN1381_CHICHI_KAU057-V.AT2  
24, SRSS, 1382, -, 1.0, -, 35.0, 46.5, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU058", 7.62, Reverse Oblique, 107.77, 109.17, 229.66, 0.0375, 1.0, RSN1382_CHICHI_KAU058-E.AT2, RSN1382_CHICHI_KAU058-N.AT2 , RSN1382_CHICHI_KAU058-V.AT2  
25, SRSS, 1383, -, 1.0, -, 30.7, 44.2, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU062", 7.62, Reverse Oblique, 112.23, 113.46, 246.84, 0.025, 1.0, RSN1383_CHICHI_KAU062-E.AT2, RSN1383_CHICHI_KAU062-N.AT2 , RSN1383_CHICHI_KAU062-V.AT2  
26, SRSS, 1385, -, 1.0, -, 33.7, 48.1, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU064", 7.62, Reverse Oblique, 100.04, 100.51, 244.84, 0.0375, 1.0, RSN1385_CHICHI_KAU064-E.AT2, RSN1385_CHICHI_KAU064-N.AT2 , RSN1385_CHICHI_KAU064-V.AT2  
27, SRSS, 1388, -, 1.0, -, 31.9, 39.6, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU073", 7.62, Reverse Oblique, 108.84, 110.67, 216.33, 0.025, 1.0, RSN1388_CHICHI_KAU073-E.AT2, RSN1388_CHICHI_KAU073-N.AT2 , RSN1388_CHICHI_KAU073-V.AT2  
28, SRSS, 1389, -, 1.0, -, 32.7, 42.8, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU074", 7.62, Reverse Oblique, 103.68, 105.59, 228.34, 0.0375, 1.0, RSN1389_CHICHI_KAU074-E.AT2, RSN1389_CHICHI_KAU074-N.AT2 , RSN1389_CHICHI_KAU074-V.AT2  
29, SRSS, 1390, -, 1.0, -, 33.3, 41.8, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU075", 7.62, Reverse Oblique, 114.84, 116.57, 196.3, 0.025, 1.0, RSN1390_CHICHI_KAU075-E.AT2, RSN1390_CHICHI_KAU075-N.AT2 , RSN1390_CHICHI_KAU075-V.AT2  
30, SRSS, 1393, -, 1.0, -, 30.5, 43.4, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU081", 7.62, Reverse Oblique, 161.2, 162.43, 295.0, 0.025, 1.0, RSN1393_CHICHI_KAU081-E.AT2, RSN1393_CHICHI_KAU081-N.AT2 , RSN1393_CHICHI_KAU081-V.AT2  
31, SRSS, 1394, -, 1.0, -, 35.2, 52.1, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU082", 7.62, Reverse Oblique, 168.72, 169.9, 573.04, 0.025, 1.0, RSN1394_CHICHI_KAU082-E.AT2, RSN1394_CHICHI_KAU082-N.AT2 , RSN1394_CHICHI_KAU082-V.AT2  
32, SRSS, 1395, -, 1.0, -, 31.5, 48.8, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU083", 7.62, Reverse Oblique, 109.14, 110.95, 202.14, 0.025, 1.0, RSN1395_CHICHI_KAU083-E.AT2, RSN1395_CHICHI_KAU083-N.AT2 , RSN1395_CHICHI_KAU083-V.AT2  
33, SRSS, 1398, -, 1.0, -, 49.7, 76.2, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU087", 7.62, Reverse Oblique, 111.67, 113.13, 276.11, 0.025, 1.0, RSN1398_CHICHI_KAU087-N.AT2, RSN1398_CHICHI_KAU087-W.AT2 , RSN1398_CHICHI_KAU087-V.AT2  
