
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 0.0
Rrup Max (km):, 40.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
31, SRSS, 1000, -, 1.0, -, 9.4, 20.1, 0.3, "Northridge-01", 1994, "LA - Pico & Sentous", 6.69, Reverse, 27.82, 31.33, 304.68, 0.2, 1.0, RSN1000_NORTHR_PIC090.AT2, RSN1000_NORTHR_PIC180.AT2 , RSN1000_NORTHR_PIC-UP.AT2  
32, SRSS, 1001, -, 1.0, -, 6.1, 13.7, 0.7, "Northridge-01", 1994, "LA - S Grand Ave", 6.69, Reverse, 29.52, 33.99, 285.28, 0.375, 1.0, RSN1001_NORTHR_GR2090.AT2, RSN1001_NORTHR_GR2180.AT2 , RSN1001_NORTHR_GR2-UP.AT2  
33, SRSS, 1002, -, 1.0, -, 10.7, 21.0, 0.3, "Northridge-01", 1994, "LA - S. Vermont Ave", 6.69, Reverse, 27.89, 32.27, 301.93, 0.375, 1.0, RSN1002_NORTHR_VRM000.AT2, RSN1002_NORTHR_VRM090.AT2 , RSN1002_NORTHR_VRM-UP.AT2  
34, SRSS, 1003, -, 1.0, -, 5.5, 11.6, 1.6, "Northridge-01", 1994, "LA - Saturn St", 6.69, Reverse, 21.17, 27.01, 308.71, 0.1875, 1.0, RSN1003_NORTHR_STN020.AT2, RSN1003_NORTHR_STN110.AT2 , RSN1003_NORTHR_STN-UP.AT2  
35, SRSS, 1004, -, 1.0, 0.931, 4.7, 8.5, 7.0, "Northridge-01", 1994, "LA - Sepulveda VA Hospital", 6.69, Reverse, 0.0, 8.44, 380.06, 0.182, 1.0, RSN1004_NORTHR_SPV270.AT2, RSN1004_NORTHR_SPV360.AT2 , RSN1004_NORTHR_SPV-UP.AT2  
36, SRSS, 1005, -, 1.0, -, 7.3, 14.6, 0.5, "Northridge-01", 1994, "LA - Temple & Hope", 6.69, Reverse, 28.82, 31.48, 452.15, 0.2, 1.0, RSN1005_NORTHR_TEM090.AT2, RSN1005_NORTHR_TEM180.AT2 , RSN1005_NORTHR_TEM-UP.AT2  
37, SRSS, 1006, -, 1.0, -, 5.8, 11.3, 1.6, "Northridge-01", 1994, "LA - UCLA Grounds", 6.69, Reverse, 13.8, 22.49, 398.42, 0.16, 1.0, RSN1006_NORTHR_UCL090.AT2, RSN1006_NORTHR_UCL360.AT2 , RSN1006_NORTHR_UCL-UP.AT2  
38, SRSS, 1007, -, 1.0, -, 6.6, 12.3, 1.4, "Northridge-01", 1994, "Los Angeles - 7-story Univ Hospital (FF)", 6.69, Reverse, 32.39, 34.2, 332.28, 0.2, 1.0, RSN1007_NORTHR_UNI005.AT2, RSN1007_NORTHR_UNI095.AT2 , RSN1007_NORTHR_UNI-UP.AT2  
39, SRSS, 1008, -, 1.0, -, 9.6, 20.2, 0.3, "Northridge-01", 1994, "LA - W 15th St", 6.69, Reverse, 25.59, 29.74, 329.52, 0.1625, 1.0, RSN1008_NORTHR_W15090.AT2, RSN1008_NORTHR_W15180.AT2 , RSN1008_NORTHR_W15-UP.AT2  
40, SRSS, 1011, -, 1.0, -, 5.1, 8.7, 0.2, "Northridge-01", 1994, "LA - Wonderland Ave", 6.69, Reverse, 15.11, 20.29, 1222.52, 0.175, 1.0, RSN1011_NORTHR_WON095.AT2, RSN1011_NORTHR_WON185.AT2 , RSN1011_NORTHR_WON-UP.AT2  
41, SRSS, 1012, -, 1.0, -, 5.4, 8.0, 1.1, "Northridge-01", 1994, "LA 00", 6.69, Reverse, 9.87, 19.07, 706.22, 0.1625, 1.0, RSN1012_NORTHR_LA0180.AT2, RSN1012_NORTHR_LA0270.AT2 , RSN1012_NORTHR_LA0DWN.AT2  
42, SRSS, 1013, -, 1.0, 1.617, 4.0, 6.5, 1.8, "Northridge-01", 1994, "LA Dam", 6.69, Reverse, 0.0, 5.92, 628.99, 0.15, 1.0, RSN1013_NORTHR_LDM064.AT2, RSN1013_NORTHR_LDM334.AT2 , RSN1013_NORTHR_LDM-UP.AT2  
43, SRSS, 1016, -, 1.0, -, 6.0, 11.0, 0.5, "Northridge-01", 1994, "La Crescenta - New York", 6.69, Reverse, 17.81, 18.5, 411.55, 0.375, 1.0, RSN1016_NORTHR_NYA090.AT2, RSN1016_NORTHR_NYA180.AT2 , RSN1016_NORTHR_NYA-UP.AT2  
44, SRSS, 1019, -, 1.0, -, 8.4, 16.0, 0.2, "Northridge-01", 1994, "Lake Hughes #1", 6.69, Reverse, 35.46, 35.81, 425.34, 0.12, 1.0, RSN1019_NORTHR_L01000.AT2, RSN1019_NORTHR_L01090.AT2 , RSN1019_NORTHR_L01-UP.AT2  
45, SRSS, 1020, -, 1.0, -, 5.4, 9.8, 0.5, "Northridge-01", 1994, "Lake Hughes #12A", 6.69, Reverse, 20.77, 21.36, 602.1, 0.12, 1.0, RSN1020_NORTHR_H12090.AT2, RSN1020_NORTHR_H12180.AT2 , RSN1020_NORTHR_H12-UP.AT2  
46, SRSS, 1021, -, 1.0, -, 8.1, 14.1, 0.1, "Northridge-01", 1994, "Lake Hughes #4 - Camp Mend", 6.69, Reverse, 31.27, 31.66, 600.06, 0.12, 1.0, RSN1021_NORTHR_L04000.AT2, RSN1021_NORTHR_L04090.AT2 , RSN1021_NORTHR_L04-UP.AT2  
47, SRSS, 1022, -, 1.0, -, 7.3, 14.2, 0.0, "Northridge-01", 1994, "Lake Hughes #4B - Camp Mend", 6.69, Reverse, 31.3, 31.69, 523.54, 0.12, 1.0, RSN1022_NORTHR_L4B000.AT2, RSN1022_NORTHR_L4B090.AT2 , RSN1022_NORTHR_L4B-UP.AT2  
48, SRSS, 1023, -, 1.0, -, 5.4, 9.3, 0.2, "Northridge-01", 1994, "Lake Hughes #9", 6.69, Reverse, 24.86, 25.36, 670.84, 0.175, 1.0, RSN1023_NORTHR_L09000.AT2, RSN1023_NORTHR_L09090.AT2 , RSN1023_NORTHR_L09-UP.AT2  
49, SRSS, 1026, -, 1.0, -, 14.4, 23.3, 0.2, "Northridge-01", 1994, "Lawndale - Osage Ave", 6.69, Reverse, 34.31, 39.91, 311.86, 0.1625, 1.0, RSN1026_NORTHR_LOA092.AT2, RSN1026_NORTHR_LOA182.AT2 , RSN1026_NORTHR_LOA-UP.AT2  
50, SRSS, 1027, -, 1.0, -, 5.4, 12.4, 0.1, "Northridge-01", 1994, "Leona Valley #1", 6.69, Reverse, 36.86, 37.19, 499.31, 0.2, 1.0, RSN1027_NORTHR_LV1000.AT2, RSN1027_NORTHR_LV1090.AT2 , RSN1027_NORTHR_LV1-UP.AT2  
51, SRSS, 1028, -, 1.0, -, 6.0, 13.5, 0.1, "Northridge-01", 1994, "Leona Valley #2", 6.69, Reverse, 36.9, 37.24, 435.64, 0.2, 1.0, RSN1028_NORTHR_LV2000.AT2, RSN1028_NORTHR_LV2090.AT2 , RSN1028_NORTHR_LV2-UP.AT2  
52, SRSS, 1029, -, 1.0, -, 5.8, 13.5, 0.1, "Northridge-01", 1994, "Leona Valley #3", 6.69, Reverse, 37.0, 37.33, 499.31, 0.2, 1.0, RSN1029_NORTHR_LV3000.AT2, RSN1029_NORTHR_LV3090.AT2 , RSN1029_NORTHR_LV3-UP.AT2  
53, SRSS, 1030, -, 1.0, -, 6.7, 14.7, 0.1, "Northridge-01", 1994, "Leona Valley #4", 6.69, Reverse, 37.23, 37.57, 421.46, 0.2, 1.0, RSN1030_NORTHR_LV4000.AT2, RSN1030_NORTHR_LV4090.AT2 , RSN1030_NORTHR_LV4-UP.AT2  
54, SRSS, 1031, -, 1.0, -, 7.2, 16.0, 0.3, "Northridge-01", 1994, "Leona Valley #5 - Ritter", 6.69, Reverse, 37.47, 37.8, 375.22, 0.2, 1.0, RSN1031_NORTHR_LV5000.AT2, RSN1031_NORTHR_LV5090.AT2 , RSN1031_NORTHR_LV5-UP.AT2  
55, SRSS, 1032, -, 1.0, -, 5.1, 11.6, 0.3, "Northridge-01", 1994, "Leona Valley #6", 6.69, Reverse, 37.7, 38.03, 327.44, 0.2, 1.0, RSN1032_NORTHR_LV6090.AT2, RSN1032_NORTHR_LV6360.AT2 , RSN1032_NORTHR_LV6-UP.AT2  
56, SRSS, 1034, -, 1.0, -, 8.5, 17.6, 0.2, "Northridge-01", 1994, "Malibu - Point Dume Sch", 6.69, Reverse, 26.77, 33.67, 349.54, 0.3, 1.0, RSN1034_NORTHR_MAL090.AT2, RSN1034_NORTHR_MAL360.AT2 , RSN1034_NORTHR_MAL-UP.AT2  
57, SRSS, 1035, -, 1.0, -, 9.1, 20.4, 0.2, "Northridge-01", 1994, "Manhattan Beach - Manhattan", 6.69, Reverse, 33.56, 39.29, 351.57, 0.1625, 1.0, RSN1035_NORTHR_MAN000.AT2, RSN1035_NORTHR_MAN090.AT2 , RSN1035_NORTHR_MAN-UP.AT2  
58, SRSS, 1039, -, 1.0, -, 7.7, 16.1, 0.9, "Northridge-01", 1994, "Moorpark - Fire Sta", 6.69, Reverse, 16.92, 24.76, 341.58, 0.16, 1.0, RSN1039_NORTHR_MRP090.AT2, RSN1039_NORTHR_MRP180.AT2 , RSN1039_NORTHR_MRP-UP.AT2  
59, SRSS, 1041, -, 1.0, -, 6.8, 10.8, 0.3, "Northridge-01", 1994, "Mt Wilson - CIT Seis Sta", 6.69, Reverse, 35.53, 35.88, 680.37, 0.5, 1.0, RSN1041_NORTHR_MTW000.AT2, RSN1041_NORTHR_MTW090.AT2 , RSN1041_NORTHR_MTW-UP.AT2  
60, SRSS, 1042, -, 1.0, -, 7.0, 16.0, 1.2, "Northridge-01", 1994, "N Hollywood - Coldwater Can", 6.69, Reverse, 7.89, 12.51, 326.47, 0.125, 1.0, RSN1042_NORTHR_CWC180.AT2, RSN1042_NORTHR_CWC270.AT2 , RSN1042_NORTHR_CWC-UP.AT2  
61, SRSS, 1044, -, 1.0, 1.372, 2.8, 5.9, 5.7, "Northridge-01", 1994, "Newhall - Fire Sta", 6.69, Reverse, 3.16, 5.92, 269.14, 0.12, 1.0, RSN1044_NORTHR_NWH090.AT2, RSN1044_NORTHR_NWH360.AT2 , RSN1044_NORTHR_NWH-UP.AT2  
62, SRSS, 1045, -, 1.0, 2.982, 2.1, 8.8, 1.5, "Northridge-01", 1994, "Newhall - W Pico Canyon Rd.", 6.69, Reverse, 2.11, 5.48, 285.93, 0.125, 1.0, RSN1045_NORTHR_WPI046.AT2, RSN1045_NORTHR_WPI316.AT2 , RSN1045_NORTHR_WPI-UP.AT2  
63, SRSS, 1048, -, 1.0, -, 6.6, 15.7, 4.6, "Northridge-01", 1994, "Northridge - 17645 Saticoy St", 6.69, Reverse, 0.0, 12.09, 280.86, 0.1625, 1.0, RSN1048_NORTHR_STC090.AT2, RSN1048_NORTHR_STC180.AT2 ,  -----   
64, SRSS, 1049, -, 1.0, -, 6.0, 10.3, 1.9, "Northridge-01", 1994, "Pacific Palisades - Sunset", 6.69, Reverse, 13.34, 24.08, 191.06, 0.1625, 1.0, RSN1049_NORTHR_SUN190.AT2, RSN1049_NORTHR_SUN280.AT2 , RSN1049_NORTHR_SUN-UP.AT2  
65, SRSS, 1050, -, 1.0, 0.588, 2.0, 4.3, 0.9, "Northridge-01", 1994, "Pacoima Dam (downstr)", 6.69, Reverse, 4.92, 7.01, 2016.13, 0.16, 1.0, RSN1050_NORTHR_PAC175.AT2, RSN1050_NORTHR_PAC265.AT2 , RSN1050_NORTHR_PAC-UP.AT2  
66, SRSS, 1051, -, 1.0, 0.84, 3.8, 6.0, 8.7, "Northridge-01", 1994, "Pacoima Dam (upper left)", 6.69, Reverse, 4.92, 7.01, 2016.13, 0.16, 1.0, RSN1051_NORTHR_PUL104.AT2, RSN1051_NORTHR_PUL194.AT2 , RSN1051_NORTHR_PUL-UP.AT2  
67, SRSS, 1052, -, 1.0, 0.728, 5.7, 10.1, 1.8, "Northridge-01", 1994, "Pacoima Kagel Canyon", 6.69, Reverse, 5.26, 7.26, 508.08, 0.14, 1.0, RSN1052_NORTHR_PKC090.AT2, RSN1052_NORTHR_PKC360.AT2 , RSN1052_NORTHR_PKC-UP.AT2  
68, SRSS, 1054, -, 1.0, 1.232, 4.8, 8.0, 3.1, "Northridge-01", 1994, "Pardee - SCE", 6.69, Reverse, 5.54, 7.46, 325.67, 0.5, 1.0, RSN1054_NORTHR_PAR--L.AT2, RSN1054_NORTHR_PAR--T.AT2 , RSN1054_NORTHR_PAR-UP.AT2  
69, SRSS, 1055, -, 1.0, -, 6.2, 9.5, 0.7, "Northridge-01", 1994, "Pasadena - N Sierra Madre", 6.69, Reverse, 35.77, 36.12, 397.27, 0.5, 1.0, RSN1055_NORTHR_SMV180.AT2, RSN1055_NORTHR_SMV270.AT2 , RSN1055_NORTHR_SMV-UP.AT2  
70, SRSS, 1057, -, 1.0, -, 14.8, 29.7, 0.3, "Northridge-01", 1994, "Playa Del Rey - Saran", 6.69, Reverse, 24.42, 31.74, 345.72, 0.15, 1.0, RSN1057_NORTHR_SAR000.AT2, RSN1057_NORTHR_SAR270.AT2 , RSN1057_NORTHR_SAR-UP.AT2  
71, SRSS, 1063, -, 1.0, 1.246, 4.3, 9.1, 7.5, "Northridge-01", 1994, "Rinaldi Receiving Sta", 6.69, Reverse, 0.0, 6.5, 282.25, 0.1, 1.0, RSN1063_NORTHR_RRS228.AT2, RSN1063_NORTHR_RRS318.AT2 , RSN1063_NORTHR_RRS-UP.AT2  
72, SRSS, 1070, -, 1.0, -, 7.3, 14.4, 0.5, "Northridge-01", 1994, "San Gabriel - E Grand Ave", 6.69, Reverse, 38.86, 39.31, 401.37, 0.1625, 1.0, RSN1070_NORTHR_GRN180.AT2, RSN1070_NORTHR_GRN270.AT2 , RSN1070_NORTHR_GRN-UP.AT2  
73, SRSS, 1072, -, 1.0, -, 5.7, 12.4, 0.3, "Northridge-01", 1994, "San Marino - SW Academy", 6.69, Reverse, 34.55, 35.02, 379.43, 0.6, 1.0, RSN1072_NORTHR_SMA090.AT2, RSN1072_NORTHR_SMA360.AT2 , RSN1072_NORTHR_SMA-UP.AT2  
74, SRSS, 1077, -, 1.0, -, 6.9, 10.7, 2.8, "Northridge-01", 1994, "Santa Monica City Hall", 6.69, Reverse, 17.28, 26.45, 336.2, 0.14, 1.0, RSN1077_NORTHR_STM090.AT2, RSN1077_NORTHR_STM360.AT2 , RSN1077_NORTHR_STM-UP.AT2  
75, SRSS, 1078, -, 1.0, -, 4.4, 8.3, 0.9, "Northridge-01", 1994, "Santa Susana Ground", 6.69, Reverse, 1.69, 16.74, 715.12, 0.14, 1.0, RSN1078_NORTHR_SSU000.AT2, RSN1078_NORTHR_SSU090.AT2 ,  -----   
76, SRSS, 1080, -, 1.0, -, 3.7, 6.7, 4.1, "Northridge-01", 1994, "Simi Valley - Katherine Rd", 6.69, Reverse, 0.0, 13.42, 557.42, 0.2625, 1.0, RSN1080_NORTHR_KAT000.AT2, RSN1080_NORTHR_KAT090.AT2 , RSN1080_NORTHR_KAT-UP.AT2  
77, SRSS, 1082, -, 1.0, -, 5.8, 16.7, 1.5, "Northridge-01", 1994, "Sun Valley - Roscoe Blvd", 6.69, Reverse, 5.59, 10.05, 320.93, 0.125, 1.0, RSN1082_NORTHR_RO3000.AT2, RSN1082_NORTHR_RO3090.AT2 , RSN1082_NORTHR_RO3-UP.AT2  
78, SRSS, 1083, -, 1.0, -, 6.8, 15.9, 0.5, "Northridge-01", 1994, "Sunland - Mt Gleason Ave", 6.69, Reverse, 12.38, 13.35, 402.16, 0.125, 1.0, RSN1083_NORTHR_GLE170.AT2, RSN1083_NORTHR_GLE260.AT2 , RSN1083_NORTHR_GLE-UP.AT2  
