
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 0.0
Rrup Max (km):, 40.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 942, -, 1.0, -, 9.8, 21.2, 0.2, "Northridge-01", 1994, "Alhambra - Fremont School", 6.69, Reverse, 35.66, 36.77, 549.75, 0.24, 1.0, RSN942_NORTHR_ALH090.AT2, RSN942_NORTHR_ALH360.AT2 , RSN942_NORTHR_ALH-UP.AT2  
2, SRSS, 945, -, 1.0, -, 8.9, 15.5, 0.1, "Northridge-01", 1994, "Anaverde Valley - City R", 6.69, Reverse, 37.67, 38.0, 349.6, 0.2, 1.0, RSN945_NORTHR_ANA090.AT2, RSN945_NORTHR_ANA180.AT2 , RSN945_NORTHR_ANA-UP.AT2  
3, SRSS, 947, -, 1.0, -, 9.8, 17.8, 0.2, "Northridge-01", 1994, "Arcadia - Arcadia Av", 6.69, Reverse, 39.41, 39.73, 330.5, 0.2875, 1.0, RSN947_NORTHR_ARC172.AT2, RSN947_NORTHR_ARC262.AT2 , RSN947_NORTHR_ARC-UP.AT2  
4, SRSS, 949, -, 1.0, -, 6.4, 13.5, 1.5, "Northridge-01", 1994, "Arleta - Nordhoff Fire Sta", 6.69, Reverse, 3.3, 8.66, 297.71, 0.12, 1.0, RSN949_NORTHR_ARL090.AT2, RSN949_NORTHR_ARL360.AT2 , RSN949_NORTHR_ARL-UP.AT2  
5, SRSS, 952, -, 1.0, -, 5.1, 7.7, 3.0, "Northridge-01", 1994, "Beverly Hills - 12520 Mulhol", 6.69, Reverse, 12.39, 18.36, 545.66, 0.1875, 1.0, RSN952_NORTHR_MU2035.AT2, RSN952_NORTHR_MU2125.AT2 , RSN952_NORTHR_MU2-UP.AT2  
6, SRSS, 953, -, 1.0, -, 6.0, 9.3, 4.5, "Northridge-01", 1994, "Beverly Hills - 14145 Mulhol", 6.69, Reverse, 9.44, 17.15, 355.81, 0.15, 1.0, RSN953_NORTHR_MUL009.AT2, RSN953_NORTHR_MUL279.AT2 , RSN953_NORTHR_MUL-UP.AT2  
7, SRSS, 954, -, 1.0, -, 6.1, 10.7, 0.5, "Northridge-01", 1994, "Big Tujunga_ Angeles Nat F", 6.69, Reverse, 19.1, 19.74, 550.11, 0.4125, 1.0, RSN954_NORTHR_TUJ262.AT2, RSN954_NORTHR_TUJ352.AT2 , RSN954_NORTHR_TUJ-UP.AT2  
8, SRSS, 957, -, 1.0, -, 5.9, 11.6, 0.3, "Northridge-01", 1994, "Burbank - Howard Rd.", 6.69, Reverse, 15.87, 16.88, 581.93, 0.125, 1.0, RSN957_NORTHR_HOW060.AT2, RSN957_NORTHR_HOW330.AT2 , RSN957_NORTHR_HOW-UP.AT2  
9, SRSS, 959, -, 1.0, -, 6.6, 11.9, 2.8, "Northridge-01", 1994, "Canoga Park - Topanga Can", 6.69, Reverse, 0.0, 14.7, 267.49, 0.125, 1.0, RSN959_NORTHR_CNP106.AT2, RSN959_NORTHR_CNP196.AT2 , RSN959_NORTHR_CNP-UP.AT2  
10, SRSS, 960, -, 1.0, -, 3.2, 6.3, 2.0, "Northridge-01", 1994, "Canyon Country - W Lost Cany", 6.69, Reverse, 11.39, 12.44, 325.6, 0.125, 1.0, RSN960_NORTHR_LOS000.AT2, RSN960_NORTHR_LOS270.AT2 , RSN960_NORTHR_LOS-UP.AT2  
11, SRSS, 963, -, 1.0, -, 6.7, 9.1, 3.2, "Northridge-01", 1994, "Castaic - Old Ridge Route", 6.69, Reverse, 20.11, 20.72, 450.28, 0.12, 1.0, RSN963_NORTHR_ORR090.AT2, RSN963_NORTHR_ORR360.AT2 , RSN963_NORTHR_ORR-UP.AT2  
12, SRSS, 971, -, 1.0, -, 6.8, 11.7, 0.2, "Northridge-01", 1994, "Elizabeth Lake", 6.69, Reverse, 36.2, 36.55, 326.19, 0.16, 1.0, RSN971_NORTHR_ELL090.AT2, RSN971_NORTHR_ELL180.AT2 , RSN971_NORTHR_ELL-UP.AT2  
13, SRSS, 974, -, 1.0, -, 6.2, 11.5, 1.2, "Northridge-01", 1994, "Glendale - Las Palmas", 6.69, Reverse, 21.64, 22.21, 371.07, 0.375, 1.0, RSN974_NORTHR_GLP177.AT2, RSN974_NORTHR_GLP267.AT2 , RSN974_NORTHR_GLP-UP.AT2  
14, SRSS, 978, -, 1.0, -, 6.7, 15.5, 0.9, "Northridge-01", 1994, "Hollywood - Willoughby Ave", 6.69, Reverse, 17.82, 23.07, 347.7, 0.175, 1.0, RSN978_NORTHR_WIL090.AT2, RSN978_NORTHR_WIL180.AT2 , RSN978_NORTHR_WIL-UP.AT2  
15, SRSS, 982, -, 1.0, 3.157, 4.0, 12.5, 5.3, "Northridge-01", 1994, "Jensen Filter Plant Administrative Building", 6.69, Reverse, 0.0, 5.43, 373.07, 0.2, 1.0, RSN982_NORTHR_JEN022.AT2, RSN982_NORTHR_JEN292.AT2 , RSN982_NORTHR_JEN-UP.AT2  
16, SRSS, 983, -, 1.0, 3.535, 4.2, 6.9, 6.5, "Northridge-01", 1994, "Jensen Filter Plant Generator Building", 6.69, Reverse, 0.0, 5.43, 525.79, 0.14, 1.0, RSN983_NORTHR_JGB022.AT2, RSN983_NORTHR_JGB292.AT2 , RSN983_NORTHR_JGB-UP.AT2  
17, SRSS, 985, -, 1.0, -, 8.0, 17.3, 0.7, "Northridge-01", 1994, "LA - Baldwin Hills", 6.69, Reverse, 23.5, 29.88, 297.07, 0.16, 1.0, RSN985_NORTHR_BLD090.AT2, RSN985_NORTHR_BLD360.AT2 , RSN985_NORTHR_BLD-UP.AT2  
18, SRSS, 986, -, 1.0, -, 6.3, 11.0, 0.5, "Northridge-01", 1994, "LA - Brentwood VA Hospital", 6.69, Reverse, 12.92, 22.5, 416.58, 0.196, 1.0, RSN986_NORTHR_BVA195.AT2, RSN986_NORTHR_BVA285.AT2 , RSN986_NORTHR_BVA-UP.AT2  
19, SRSS, 987, -, 1.0, -, 5.8, 12.2, 1.0, "Northridge-01", 1994, "LA - Centinela St", 6.69, Reverse, 20.36, 28.3, 321.91, 0.1625, 1.0, RSN987_NORTHR_CEN155.AT2, RSN987_NORTHR_CEN245.AT2 , RSN987_NORTHR_CEN-UP.AT2  
20, SRSS, 988, -, 1.0, -, 7.2, 13.6, 1.2, "Northridge-01", 1994, "LA - Century City CC North", 6.69, Reverse, 15.53, 23.41, 277.98, 0.14, 1.0, RSN988_NORTHR_CCN090.AT2, RSN988_NORTHR_CCN360.AT2 , RSN988_NORTHR_CCN-UP.AT2  
21, SRSS, 989, -, 1.0, -, 5.6, 9.0, 0.7, "Northridge-01", 1994, "LA - Chalon Rd", 6.69, Reverse, 9.87, 20.45, 740.05, 0.2625, 1.0, RSN989_NORTHR_CHL070.AT2, RSN989_NORTHR_CHL160.AT2 , RSN989_NORTHR_CHL-UP.AT2  
22, SRSS, 990, -, 1.0, -, 6.1, 11.9, 1.1, "Northridge-01", 1994, "LA - City Terrace", 6.69, Reverse, 35.03, 36.62, 365.22, 0.2, 1.0, RSN990_NORTHR_LAC090.AT2, RSN990_NORTHR_LAC180.AT2 , RSN990_NORTHR_LAC-UP.AT2  
23, SRSS, 991, -, 1.0, -, 5.8, 10.8, 0.5, "Northridge-01", 1994, "LA - Cypress Ave", 6.69, Reverse, 28.98, 30.7, 366.71, 0.15, 1.0, RSN991_NORTHR_CYP053.AT2, RSN991_NORTHR_CYP143.AT2 , RSN991_NORTHR_CYP-UP.AT2  
24, SRSS, 992, -, 1.0, -, 8.4, 15.5, 0.3, "Northridge-01", 1994, "LA - E Vernon Ave", 6.69, Reverse, 33.33, 36.75, 283.14, 0.25, 1.0, RSN992_NORTHR_VER090.AT2, RSN992_NORTHR_VER180.AT2 , RSN992_NORTHR_VER-UP.AT2  
25, SRSS, 993, -, 1.0, -, 6.1, 11.6, 0.7, "Northridge-01", 1994, "LA - Fletcher Dr", 6.69, Reverse, 25.66, 27.26, 329.06, 0.1625, 1.0, RSN993_NORTHR_FLE144.AT2, RSN993_NORTHR_FLE234.AT2 , RSN993_NORTHR_FLE-UP.AT2  
26, SRSS, 995, -, 1.0, -, 6.4, 12.0, 2.0, "Northridge-01", 1994, "LA - Hollywood Stor FF", 6.69, Reverse, 19.73, 24.03, 316.46, 0.2, 1.0, RSN995_NORTHR_PEL090.AT2, RSN995_NORTHR_PEL360.AT2 , RSN995_NORTHR_PEL-UP.AT2  
27, SRSS, 996, -, 1.0, -, 5.7, 10.3, 0.9, "Northridge-01", 1994, "LA - N Faring Rd", 6.69, Reverse, 12.42, 20.81, 255.0, 0.1625, 1.0, RSN996_NORTHR_FAR000.AT2, RSN996_NORTHR_FAR090.AT2 , RSN996_NORTHR_FAR-UP.AT2  
28, SRSS, 997, -, 1.0, -, 6.3, 13.1, 0.4, "Northridge-01", 1994, "LA - N Figueroa St", 6.69, Reverse, 30.19, 31.16, 364.91, 0.375, 1.0, RSN997_NORTHR_FIG058.AT2, RSN997_NORTHR_FIG328.AT2 , RSN997_NORTHR_FIG-UP.AT2  
29, SRSS, 998, -, 1.0, -, 5.7, 10.0, 1.4, "Northridge-01", 1994, "LA - N Westmoreland", 6.69, Reverse, 23.4, 26.73, 315.06, 0.2875, 1.0, RSN998_NORTHR_WST000.AT2, RSN998_NORTHR_WST270.AT2 , RSN998_NORTHR_WST-UP.AT2  
30, SRSS, 999, -, 1.0, -, 5.7, 11.3, 1.4, "Northridge-01", 1994, "LA - Obregon Park", 6.69, Reverse, 35.43, 37.36, 349.43, 0.9, 1.0, RSN999_NORTHR_OBR090.AT2, RSN999_NORTHR_OBR360.AT2 , RSN999_NORTHR_OBR-UP.AT2  
