Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
112,Intensity 112,10,0,0.0518478,0.4,0.0047139
113,Intensity 113,10,0,0.0195676,0.4,0.0165797
114,Intensity 114,10,0,0.0292531,0.4,0.0100312
115,Intensity 115,10,0,0.0271107,0.4,0.0110503
116,Intensity 116,10,0,0.0348983,0.4,0.00798884
117,Intensity 117,10,0,0.0756987,0.4,0.00278234
118,Intensity 118,10,0,0.0723618,0.4,0.00296632
119,Intensity 119,10,0,0.0352621,0.4,0.00788155
120,Intensity 120,10,0,0.0675432,0.4,0.0032692
121,Intensity 121,10,0,0.0257398,0.4,0.0117988
122,Intensity 122,10,0,0.0670411,0.4,0.00330365
123,Intensity 123,10,0,0.0391768,0.4,0.0068646
124,Intensity 124,10,0,0.0284416,0.4,0.0103977
125,Intensity 125,10,0,0.0686041,0.4,0.00319832
126,Intensity 126,10,0,0.0893077,0.4,0.00219362
127,Intensity 127,10,0,0.0831084,0.4,0.0024341
128,Intensity 128,10,0,0.0745841,0.4,0.00284169
129,Intensity 129,10,0,0.0260318,0.4,0.0116323
130,Intensity 130,10,0,0.092271,0.4,0.00209188
131,Intensity 131,10,0,0.153241,0.4,0.000975919
132,Intensity 132,10,0,0.0443223,0.4,0.00582603
133,Intensity 133,10,0,0.0547261,0.4,0.00437827
134,Intensity 134,10,0,0.089339,0.4,0.0021925
135,Intensity 135,10,0,0.0278923,0.4,0.0106589
136,Intensity 136,10,0,0.0172154,0.4,0.0193684
137,Intensity 137,10,0,0.034551,0.4,0.00809357
138,Intensity 138,10,0,0.0375338,0.4,0.00726303
139,Intensity 139,10,0,0.0342726,0.4,0.0081792
140,Intensity 140,10,0,0.0213299,0.4,0.0149137
141,Intensity 141,10,0,0.0635976,0.4,0.00355669
142,Intensity 142,10,0,0.157851,0.4,0.000932035
143,Intensity 143,10,0,0.183429,0.4,0.000736291
144,Intensity 144,10,0,0.0290163,0.4,0.0101359
145,Intensity 145,10,0,0.166576,0.4,0.00085698
146,Intensity 146,10,0,0.222153,0.4,0.000541599
147,Intensity 147,10,0,0.13485,0.4,0.00118793
148,Intensity 148,10,0,0.111299,0.4,0.00158674
149,Intensity 149,10,0,0.108102,0.4,0.00165707
150,Intensity 150,10,0,0.0995695,0.4,0.00187122
151,Intensity 151,10,0,0.136776,0.4,0.00116248
152,Intensity 152,10,0,0.207895,0.4,0.000602876
153,Intensity 153,10,0,0.129695,0.4,0.00126054
154,Intensity 154,10,0,0.0924764,0.4,0.00208511
155,Intensity 155,10,0,0.126023,0.4,0.00131663
156,Intensity 156,10,0,0.106048,0.4,0.00170492
157,Intensity 157,10,0,0.0428867,0.4,0.00608807
158,Intensity 158,10,0,0.0926334,0.4,0.00207995
159,Intensity 159,10,0,0.0115457,0.4,0.0310327
160,Intensity 160,10,0,0.0552251,0.4,0.00432408
161,Intensity 161,10,0,0.0889584,0.4,0.00220613
162,Intensity 162,10,0,0.108395,0.4,0.00165042
163,Intensity 163,10,0,0.0905893,0.4,0.00214866
164,Intensity 164,10,0,0.0272816,0.4,0.0109627
165,Intensity 165,10,0,0.0728627,0.4,0.00293747
166,Intensity 166,10,0,0.0684003,0.4,0.00321175
