Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,10,0,0.192853,0.4,0.00236913
2,Intensity 2,10,0,0.0838117,0.4,0.00800127
3,Intensity 3,10,0,0.137284,0.4,0.00395039
4,Intensity 4,10,0,0.562117,0.4,0.000407382
5,Intensity 5,10,0,0.408739,0.4,0.000706147
6,Intensity 6,10,0,0.884497,0.4,0.000178692
7,Intensity 7,10,0,0.139672,0.4,0.00385121
8,Intensity 8,10,0,0.145954,0.4,0.00360838
9,Intensity 9,10,0,0.611302,0.4,0.000351088
10,Intensity 10,10,0,0.899109,0.4,0.000173281
11,Intensity 11,10,0,0.903014,0.4,0.000171875
12,Intensity 12,10,0,0.222147,0.4,0.00190286
13,Intensity 13,10,0,0.145374,0.4,0.00362975
14,Intensity 14,10,0,0.555966,0.4,0.000415356
15,Intensity 15,10,0,0.246903,0.4,0.00161132
16,Intensity 16,10,0,0.391268,0.4,0.000760108
17,Intensity 17,10,0,0.399663,0.4,0.000733427
18,Intensity 18,10,0,0.345643,0.4,0.000934672
19,Intensity 19,10,0,0.494388,0.4,0.000509882
20,Intensity 20,10,0,0.234288,0.4,0.00175047
21,Intensity 21,10,0,0.254269,0.4,0.00153786
22,Intensity 22,10,0,0.473628,0.4,0.000549125
23,Intensity 23,10,0,0.539078,0.4,0.000438485
24,Intensity 24,10,0,0.50879,0.4,0.000485083
25,Intensity 25,10,0,0.167416,0.4,0.00293854
26,Intensity 26,10,0,0.366282,0.4,0.00084887
27,Intensity 27,10,0,0.31778,0.4,0.00107327
28,Intensity 28,10,0,0.244875,0.4,0.00163252
29,Intensity 29,10,0,0.354281,0.4,0.000897221
30,Intensity 30,10,0,0.156403,0.4,0.00325501
31,Intensity 31,10,0,0.610167,0.4,0.000352252
32,Intensity 32,10,0,1.54095,0.4,6.05673e-05
33,Intensity 33,10,0,0.325971,0.4,0.00102942
34,Intensity 34,10,0,0.36541,0.4,0.000852245
35,Intensity 35,10,0,0.226096,0.4,0.0018511
36,Intensity 36,10,0,0.19488,0.4,0.00233136
37,Intensity 37,10,0,0.190568,0.4,0.00241287
38,Intensity 38,10,0,0.221307,0.4,0.00191417
39,Intensity 39,10,0,0.0899361,0.4,0.00725191
40,Intensity 40,10,0,0.0911376,0.4,0.0071183
41,Intensity 41,10,0,0.0587636,0.4,0.0129674
42,Intensity 42,10,0,0.0657457,0.4,0.0111554
43,Intensity 43,10,0,0.174456,0.4,0.00276096
44,Intensity 44,10,0,0.111944,0.4,0.00531608
45,Intensity 45,10,0,0.101874,0.4,0.00608276
46,Intensity 46,10,0,0.11842,0.4,0.00490195
47,Intensity 47,10,0,0.174178,0.4,0.00276765
48,Intensity 48,10,0,0.282483,0.4,0.00129942
49,Intensity 49,10,0,0.203847,0.4,0.00217506
50,Intensity 50,10,0,0.169319,0.4,0.0028888
51,Intensity 51,10,0,0.275032,0.4,0.00135653
52,Intensity 52,10,0,0.358836,0.4,0.000878386
53,Intensity 53,10,0,0.094672,0.4,0.00674763
54,Intensity 54,10,0,0.347583,0.4,0.000926055
55,Intensity 55,10,0,1.46682,0.4,6.69073e-05
56,Intensity 56,10,0,0.692897,0.4,0.000280273
57,Intensity 57,10,0,0.872289,0.4,0.000183404
58,Intensity 58,10,0,0.275724,0.4,0.00135107
59,Intensity 59,10,0,0.799877,0.4,0.000215483
60,Intensity 60,10,0,0.182744,0.4,0.00257269
61,Intensity 61,10,0,0.238422,0.4,0.00170287
62,Intensity 62,10,0,1.62403,0.4,5.44325e-05
63,Intensity 63,10,0,0.164136,0.4,0.00302752
64,Intensity 64,10,0,0.470379,0.4,0.000555674
65,Intensity 65,10,0,0.272334,0.4,0.00137817
66,Intensity 66,10,0,1.07575,0.4,0.000123187
67,Intensity 67,10,0,0.614748,0.4,0.000347585
68,Intensity 68,10,0,0.296657,0.4,0.00120053
69,Intensity 69,10,0,1.12439,0.4,0.0001131
70,Intensity 70,10,0,0.929087,0.4,0.000162903
71,Intensity 71,10,0,1.80775,0.4,4.36616e-05
72,Intensity 72,10,0,0.181013,0.4,0.00261032
73,Intensity 73,10,0,0.201575,0.4,0.00221307
74,Intensity 74,10,0,0.131074,0.4,0.00422841
75,Intensity 75,10,0,0.129677,0.4,0.00429522
76,Intensity 76,10,0,0.0841151,0.4,0.00796122
77,Intensity 77,10,0,0.171101,0.4,0.00284341
78,Intensity 78,10,0,0.171893,0.4,0.00282358
79,Intensity 79,10,0,0.155145,0.4,0.00329457
80,Intensity 80,10,0,0.24209,0.4,0.00166232
81,Intensity 81,10,0,0.104621,0.4,0.00585665
82,Intensity 82,10,0,0.157884,0.4,0.0032094
83,Intensity 83,10,0,0.134373,0.4,0.00407696
84,Intensity 84,10,0,0.103095,0.4,0.00598054
85,Intensity 85,10,0,0.086845,0.4,0.0076151
86,Intensity 86,10,0,0.170286,0.4,0.00286403
87,Intensity 87,10,0,0.201273,0.4,0.00221821
88,Intensity 88,10,0,0.066355,0.4,0.0110173
89,Intensity 89,10,0,0.159497,0.4,0.00316083
90,Intensity 90,10,0,0.12585,0.4,0.00448731
91,Intensity 91,10,0,0.194596,0.4,0.00233658
92,Intensity 92,10,0,0.0782473,0.4,0.00879866
93,Intensity 93,10,0,0.0883602,0.4,0.00743345
94,Intensity 94,10,0,0.150817,0.4,0.00343671
95,Intensity 95,10,0,0.0860455,0.4,0.00771388
96,Intensity 96,10,0,0.087691,0.4,0.00751279
97,Intensity 97,10,0,0.148678,0.4,0.00351059
98,Intensity 98,10,0,0.203078,0.4,0.00218782
99,Intensity 99,10,0,0.0897047,0.4,0.00727811
100,Intensity 100,10,0,0.104586,0.4,0.00585947
101,Intensity 101,10,0,0.194637,0.4,0.00233582
102,Intensity 102,10,0,0.159702,0.4,0.00315475
103,Intensity 103,10,0,0.216806,0.4,0.00197655
104,Intensity 104,10,0,0.167011,0.4,0.00294929
105,Intensity 105,10,0,0.1144,0.4,0.00515261
106,Intensity 106,10,0,0.0850105,0.4,0.0078449
107,Intensity 107,10,0,0.184218,0.4,0.00254134
108,Intensity 108,10,0,0.0662294,0.4,0.0110455
109,Intensity 109,10,0,0.144055,0.4,0.00367917
110,Intensity 110,10,0,0.0949183,0.4,0.00672298
111,Intensity 111,10,0,0.105939,0.4,0.00575303
112,Intensity 112,10,0,0.129616,0.4,0.00429819
113,Intensity 113,10,0,0.086237,0.4,0.00769003
114,Intensity 114,10,0,0.0677587,0.4,0.0107097
115,Intensity 115,10,0,0.109754,0.4,0.00546902
116,Intensity 116,10,0,0.189413,0.4,0.00243547
117,Intensity 117,10,0,0.0270111,0.4,0.0349224
118,Intensity 118,10,0,0.138144,0.4,0.00391421
119,Intensity 119,10,0,0.06875,0.4,0.010501
120,Intensity 120,10,0,0.0843251,0.4,0.00793368
121,Intensity 121,10,0,0.149329,0.4,0.00348785
122,Intensity 122,10,0,0.185448,0.4,0.00251562
123,Intensity 123,10,0,0.137722,0.4,0.00393189
124,Intensity 124,10,0,0.208889,0.4,0.00209428
125,Intensity 125,10,0,0.198352,0.4,0.00226881
126,Intensity 126,10,0,0.149557,0.4,0.00347991
