Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.0943029
2,Intensity 2,22,0,0.1,0.4,0.00507564
3,Intensity 3,22,0,0.125,0.4,0.00366069
4,Intensity 4,22,0,0.15,0.4,0.00278419
5,Intensity 5,22,0,0.175,0.4,0.00219835
6,Intensity 6,22,0,0.2,0.4,0.00178489
7,Intensity 7,22,0,0.225,0.4,0.00148091
8,Intensity 8,22,0,0.25,0.4,0.00125017
9,Intensity 9,22,0,0.275,0.4,0.00107045
10,Intensity 10,22,0,0.3,0.4,0.0009275
11,Intensity 11,22,0,0.35,0.4,0.000716627
12,Intensity 12,22,0,0.4,0.4,0.00057072
13,Intensity 13,22,0,0.45,0.4,0.000465333
14,Intensity 14,22,0,0.5,0.4,0.000386612
15,Intensity 15,22,0,0.6,0.4,0.0002788
16,Intensity 16,22,0,0.7,0.4,0.000210133
17,Intensity 17,22,0,0.707,0.4,0.000206291
18,Intensity 18,22,0,0.8,0.4,0.000163688
19,Intensity 19,22,0,0.9,0.4,0.000130818
20,Intensity 20,22,0,1,0.4,0.000106715
21,Intensity 21,22,0,1.1,0.4,8.85304e-05
22,Intensity 22,22,0,1.2,0.4,7.44849e-05
23,Intensity 23,22,0,1.3,0.4,6.34208e-05
24,Intensity 24,22,0,1.4,0.4,5.45583e-05
25,Intensity 25,22,0,1.5,0.4,4.7356e-05
26,Intensity 26,22,0,2,0.4,2.58396e-05
27,Intensity 27,22,0,3,0.4,1.05204e-05
28,Intensity 28,22,0,4,0.4,5.37406e-06
29,Intensity 29,22,0,5,0.4,3.12551e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
2,Story Drift Ratio,1,1,0.00166636,0.00144322,0.00119114,0.00156691,0.00194494,0.00130489,0.00170093,0.00132978,0.00127661,0.00152023,0.00133742,0.00147319,0.00159093,0.00166572,0.00141646,0.00123137,0.00113771,0.00130535,0.00126766,0.00131394,0.00132077,0.00170432
2,Story Drift Ratio,1,2,0.00114758,0.00152988,0.0018111,0.00172743,0.00134645,0.00117683,0.00124522,0.00196797,0.00213576,0.00134304,0.00147396,0.00185872,0.00150189,0.00132427,0.00147627,0.00167632,0.00166165,0.00177681,0.00180829,0.00186633,0.00151037,0.00122396
2,Story Drift Ratio,2,1,0.00211292,0.00184567,0.001581,0.0019969,0.00244834,0.00171272,0.00213459,0.00180527,0.0016843,0.00195978,0.00174546,0.00191223,0.0020355,0.00212533,0.00184186,0.00168701,0.0015213,0.001666,0.00166745,0.00173052,0.00171569,0.00215
2,Story Drift Ratio,2,2,0.0015126,0.00206343,0.00228128,0.00216669,0.00171785,0.00153285,0.00163577,0.00244743,0.00272364,0.001737,0.00189119,0.00233472,0.00201682,0.00170171,0.00185331,0.00213067,0.00212492,0.00221186,0.00225764,0.00236045,0.00193995,0.001614
2,Story Drift Ratio,3,1,0.00166728,0.00146457,0.00131203,0.00158146,0.00190951,0.00139973,0.00169362,0.00156295,0.00139501,0.00159626,0.00142044,0.00156394,0.00163578,0.00178328,0.00149402,0.00146715,0.00126785,0.00143335,0.00135454,0.00141473,0.00138212,0.00173774
2,Story Drift Ratio,3,2,0.0013125,0.00177267,0.00179418,0.00171308,0.0013651,0.00125315,0.00143747,0.0019242,0.00228857,0.00139622,0.00150937,0.00195348,0.00176424,0.00138674,0.00147491,0.00168327,0.00177194,0.00186019,0.00179546,0.00194204,0.00155511,0.00137478
2,Acceleration,1,1,0.130007,0.147383,0.0828712,0.143821,0.111453,0.139105,0.133552,0.19668,0.110472,0.0661333,0.048482,0.0989584,0.182053,0.073609,0.190928,0.0648855,0.0628387,0.148493,0.0930556,0.14194,0.0623229,0.0842416
2,Acceleration,1,2,0.112749,0.129771,0.122955,0.148007,0.0812673,0.0838112,0.114265,0.129485,0.162383,0.0410438,0.0533531,0.115635,0.17493,0.0763391,0.121961,0.0757594,0.0736203,0.159086,0.101418,0.137058,0.0770476,0.11998
2,Acceleration,2,1,0.138381,0.11167,0.0852487,0.109737,0.113519,0.0898512,0.110005,0.231377,0.0838603,0.0865022,0.0597272,0.0798599,0.250509,0.11752,0.140957,0.0941909,0.0559934,0.154449,0.0626352,0.122322,0.0633053,0.113484
2,Acceleration,2,2,0.10118,0.175397,0.13768,0.111493,0.0813382,0.0750276,0.105255,0.122388,0.215313,0.0685292,0.0649672,0.143526,0.177759,0.0838076,0.0962961,0.102374,0.127068,0.192431,0.134454,0.211479,0.0908509,0.165019
2,Acceleration,3,1,0.130112,0.10677,0.0711134,0.12386,0.151779,0.0796484,0.125463,0.173559,0.0743931,0.112238,0.0813963,0.0974442,0.164424,0.127558,0.129506,0.0810433,0.0664781,0.123057,0.062415,0.0937833,0.0811406,0.126837
2,Acceleration,3,2,0.0823003,0.147718,0.147257,0.130043,0.0753198,0.0689912,0.0983244,0.154622,0.258664,0.0784246,0.091331,0.159478,0.155142,0.0724497,0.1034,0.108738,0.143045,0.207482,0.166905,0.199601,0.105221,0.116233
2,Acceleration,4,1,0.211796,0.1731,0.120249,0.135418,0.255347,0.155804,0.218278,0.285587,0.138211,0.162687,0.135259,0.186805,0.219552,0.277171,0.215478,0.176432,0.108314,0.165557,0.133975,0.14444,0.129373,0.219455
2,Acceleration,4,2,0.142195,0.254337,0.224554,0.164975,0.088371,0.108705,0.182389,0.271392,0.419072,0.10695,0.142997,0.326353,0.256879,0.133293,0.154345,0.182707,0.262794,0.330612,0.267412,0.30574,0.157482,0.155263
2,Residual Drift,,,4.07051e-06,7.8042e-06,2.21613e-05,5.71466e-06,1.09486e-05,2.59928e-05,1.15019e-05,7.73306e-06,2.38899e-05,2.4697e-05,1.57311e-05,3.73544e-05,1.148e-05,2.68373e-05,8.15754e-06,1.67702e-05,7.08394e-06,4.90085e-06,5.85855e-06,1.00979e-05,1.01225e-05,3.84205e-06
3,Story Drift Ratio,1,1,0.00186292,0.00163784,0.00140415,0.00176708,0.0022217,0.00145706,0.00195276,0.00159417,0.00152636,0.0017251,0.00150015,0.00176021,0.00189093,0.00187703,0.00163346,0.00140704,0.00132776,0.00149456,0.00145438,0.00157407,0.00147885,0.00193852
3,Story Drift Ratio,1,2,0.00130733,0.00178069,0.00202159,0.00195402,0.00153025,0.00134106,0.0014174,0.00220043,0.00249521,0.00150267,0.00167508,0.00209101,0.00173458,0.00150983,0.00170927,0.00189288,0.00187107,0.00197719,0.00202287,0.00207247,0.00169302,0.00143446
3,Story Drift Ratio,2,1,0.0023453,0.00209006,0.00183527,0.00224988,0.00277675,0.00189557,0.00242507,0.00213002,0.00196636,0.00215696,0.00192828,0.00223726,0.00236821,0.00234042,0.00212733,0.00186952,0.00173896,0.00193218,0.00187839,0.00201164,0.00191233,0.00240528
3,Story Drift Ratio,2,2,0.00176521,0.0023872,0.00252046,0.00248231,0.00193817,0.00174121,0.00188469,0.0026981,0.00317197,0.00192901,0.00213836,0.00260593,0.00230515,0.00194643,0.00214223,0.0023728,0.00235808,0.0024913,0.00249031,0.0025924,0.0021541,0.00177786
3,Story Drift Ratio,3,1,0.00183025,0.00165037,0.001533,0.0017846,0.00217515,0.00156576,0.00193464,0.00181883,0.00162317,0.00173648,0.00156124,0.00180651,0.00187065,0.00194471,0.00174419,0.00161982,0.00142591,0.00166791,0.00150032,0.00161848,0.00153643,0.00195886
3,Story Drift Ratio,3,2,0.00151992,0.00202853,0.00196189,0.00195876,0.00153729,0.00142758,0.00167662,0.00212144,0.0026501,0.00154403,0.00170404,0.00218582,0.00198659,0.00163989,0.00171126,0.00185042,0.00194655,0.00200824,0.00198844,0.00213599,0.00171437,0.00157765
3,Acceleration,1,1,0.16251,0.184229,0.103589,0.179777,0.139316,0.173881,0.166941,0.24585,0.13809,0.0826667,0.0606024,0.123698,0.227567,0.0920112,0.23866,0.0811068,0.0785484,0.185617,0.116319,0.177424,0.0779037,0.105302
3,Acceleration,1,2,0.140937,0.162213,0.153694,0.185008,0.101584,0.104764,0.142831,0.161857,0.20298,0.0513048,0.0666913,0.144544,0.218663,0.095424,0.152452,0.0946993,0.0920254,0.198856,0.126773,0.171322,0.0963096,0.149975
3,Acceleration,2,1,0.171426,0.131341,0.114673,0.146714,0.167245,0.125682,0.154998,0.303781,0.11127,0.115149,0.0810474,0.114511,0.329011,0.154838,0.189084,0.126313,0.0730858,0.223287,0.0859774,0.154074,0.0858417,0.153025
3,Acceleration,2,2,0.126655,0.237938,0.170753,0.141529,0.113993,0.104224,0.154265,0.171871,0.33067,0.0931018,0.093216,0.21015,0.241904,0.109066,0.122574,0.12285,0.167771,0.254458,0.169486,0.2654,0.121009,0.219591
3,Acceleration,3,1,0.165107,0.148378,0.0966857,0.160775,0.212094,0.116557,0.156496,0.214846,0.106616,0.143836,0.103654,0.149904,0.233221,0.151568,0.178538,0.110523,0.090932,0.188351,0.0864494,0.128913,0.105238,0.158371
3,Acceleration,3,2,0.104193,0.222049,0.186445,0.173927,0.103004,0.0879963,0.15422,0.199009,0.373312,0.100254,0.124345,0.196456,0.209804,0.109953,0.141325,0.141671,0.188357,0.276682,0.210082,0.239053,0.140396,0.145297
3,Acceleration,4,1,0.285215,0.213528,0.188444,0.17571,0.38429,0.194369,0.327532,0.384453,0.203828,0.210739,0.16755,0.256364,0.288942,0.33696,0.285646,0.222924,0.142355,0.214137,0.173262,0.199022,0.170837,0.305054
3,Acceleration,4,2,0.193755,0.331105,0.303121,0.228352,0.120505,0.133326,0.272376,0.374414,0.585727,0.141279,0.175554,0.429774,0.31895,0.21214,0.185175,0.255146,0.323787,0.36669,0.351334,0.408,0.217758,0.202951
3,Residual Drift,,,4.97347e-06,8.07451e-06,2.35157e-05,9.73609e-06,1.21218e-05,2.64539e-05,1.41466e-05,7.78727e-06,2.93875e-05,2.64018e-05,1.751e-05,3.9289e-05,1.4509e-05,2.89692e-05,9.64337e-06,2.07104e-05,8.59505e-06,5.75824e-06,7.14272e-06,1.04164e-05,1.17995e-05,3.00536e-06
4,Story Drift Ratio,1,1,0.00203145,0.00180698,0.00162393,0.00194632,0.0024559,0.00159231,0.0021682,0.00180965,0.00173982,0.0019746,0.00170465,0.00199675,0.00215417,0.00210637,0.0018238,0.00158116,0.00150692,0.00173032,0.00161716,0.00180251,0.00161228,0.00213402
4,Story Drift Ratio,1,2,0.00146264,0.00200757,0.00220223,0.0022075,0.00169495,0.00149647,0.00163556,0.00239905,0.00281117,0.0016407,0.00184001,0.00228093,0.00192821,0.00174,0.00191066,0.00208085,0.00205117,0.00219473,0.00219681,0.00225134,0.00184735,0.00161691
4,Story Drift Ratio,2,1,0.00254567,0.00229969,0.00208893,0.00247088,0.00305135,0.00206361,0.00267609,0.00241439,0.00220699,0.0024567,0.0021522,0.00250618,0.00265307,0.00261862,0.00236215,0.00201194,0.0019326,0.00219434,0.0020619,0.00225454,0.00207783,0.00262167
4,Story Drift Ratio,2,2,0.00198797,0.00267019,0.002724,0.00276971,0.00213448,0.00191552,0.00212347,0.00291143,0.00355699,0.00209125,0.00233603,0.00283251,0.00256746,0.00220632,0.00239818,0.00258064,0.00254989,0.00274954,0.00268374,0.00278781,0.00233085,0.00202896
4,Story Drift Ratio,3,1,0.00196782,0.00181412,0.00174065,0.00195643,0.00242892,0.00171968,0.00215634,0.00202002,0.00183474,0.001897,0.00173386,0.00200912,0.0020731,0.00206674,0.00195534,0.00173894,0.00156961,0.0018758,0.00162682,0.00180201,0.00166863,0.00215603
