Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
110,Intensity 110,10,0,0.0325887,0.4,0.00873134
111,Intensity 111,10,0,0.0318359,0.4,0.0089989
112,Intensity 112,10,0,0.0314455,0.4,0.0091431
113,Intensity 113,10,0,0.0274305,0.4,0.0108873
114,Intensity 114,10,0,0.00911847,0.4,0.0406213
115,Intensity 115,10,0,0.0109895,0.4,0.0328489
116,Intensity 116,10,0,0.0133485,0.4,0.0262102
117,Intensity 117,10,0,0.00672769,0.4,0.0569154
118,Intensity 118,10,0,0.015847,0.4,0.0213924
119,Intensity 119,10,0,0.0106438,0.4,0.0340758
120,Intensity 120,10,0,0.00718155,0.4,0.0529869
121,Intensity 121,10,0,0.0174952,0.4,0.0189952
122,Intensity 122,10,0,0.040151,0.4,0.00664529
123,Intensity 123,10,0,0.0103966,0.4,0.035004
124,Intensity 124,10,0,0.0354973,0.4,0.00781349
125,Intensity 125,10,0,0.0201361,0.4,0.0160086
126,Intensity 126,10,0,0.0264326,0.4,0.0114101
127,Intensity 127,10,0,0.0310788,0.4,0.00928219
128,Intensity 128,10,0,0.0231498,0.4,0.0134746
129,Intensity 129,10,0,0.0206839,0.4,0.0154895
130,Intensity 130,10,0,0.0592656,0.4,0.00392305
131,Intensity 131,10,0,0.0167235,0.4,0.0200561
132,Intensity 132,10,0,0.0291066,0.4,0.0100958
133,Intensity 133,10,0,0.0128126,0.4,0.0274979
134,Intensity 134,10,0,0.0113923,0.4,0.0315155
135,Intensity 135,10,0,0.00586038,0.4,0.0661023
136,Intensity 136,10,0,0.00715126,0.4,0.0532336

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10
1,Story Drift Ratio,1,1,0.00136358,0.00136451,0.00136309,0.00136424,0.00136405,0.00136476,0.00136289,0.00136544,0.00136393,0.00136538
1,Story Drift Ratio,1,2,0.00172803,0.00173126,0.00172796,0.00172601,0.00172716,0.00172501,0.00172555,0.00172868,0.00172932,0.00172612
1,Story Drift Ratio,2,1,0.00126366,0.00126182,0.00126451,0.00126328,0.00126264,0.00126122,0.00126088,0.00126241,0.00126132,0.00126598
1,Story Drift Ratio,2,2,0.00159034,0.00159016,0.00159048,0.00159098,0.00159167,0.00159146,0.00158918,0.00159059,0.00158837,0.00159172
1,Story Drift Ratio,3,1,0.00128956,0.00128824,0.00128641,0.00128896,0.00128863,0.00128966,0.00128652,0.00128883,0.0012877,0.00128774
1,Story Drift Ratio,3,2,0.00162444,0.00162143,0.00162396,0.00162368,0.0016215,0.00162039,0.00162353,0.00162144,0.00162327,0.00162001
1,Story Drift Ratio,4,1,0.00134059,0.00134168,0.00134357,0.00134229,0.00134468,0.00134497,0.0013427,0.00134312,0.0013433,0.00134447
1,Story Drift Ratio,4,2,0.0017065,0.00170652,0.00170882,0.00170604,0.00170867,0.00170375,0.00170549,0.00170297,0.00170495,0.00170588
1,Story Drift Ratio,5,1,0.00135009,0.00135081,0.001352,0.00135051,0.00135357,0.00135354,0.00135086,0.00135326,0.0013535,0.00135146
1,Story Drift Ratio,5,2,0.00166745,0.00166483,0.00166069,0.00166456,0.00166492,0.00166189,0.00166316,0.00166334,0.00166376,0.00166145
1,Story Drift Ratio,6,1,0.00137714,0.00137809,0.00137606,0.00137631,0.00137786,0.00137924,0.00137803,0.00137976,0.00137842,0.00137731
1,Story Drift Ratio,6,2,0.00157153,0.00157571,0.00157833,0.00157451,0.00157521,0.00157573,0.00157754,0.00157444,0.00157397,0.00157689
1,Story Drift Ratio,7,1,0.00147733,0.0014796,0.00147758,0.0014791,0.00147622,0.00147834,0.00147747,0.0014773,0.00147742,0.00147877
1,Story Drift Ratio,7,2,0.00158027,0.00158165,0.00158068,0.00158098,0.00157981,0.00157975,0.00158465,0.00158089,0.00157995,0.00157763
1,Story Drift Ratio,8,1,0.00147028,0.00147115,0.00147096,0.00146988,0.00146951,0.00147323,0.00147125,0.00147015,0.00147103,0.00147109
1,Story Drift Ratio,8,2,0.0015149,0.00151745,0.00151653,0.00151342,0.00151262,0.00151247,0.00151445,0.00151401,0.00151235,0.0015135
1,Story Drift Ratio,9,1,0.00113485,0.00113476,0.00113199,0.0011329,0.00113315,0.00113263,0.0011334,0.00113299,0.00113194,0.00113151
1,Story Drift Ratio,9,2,0.00113382,0.00113655,0.00113386,0.0011331,0.00113623,0.00113279,0.00113532,0.00113324,0.00113269,0.00113238
1,Acceleration,1,1,0.100824,0.101289,0.100966,0.101085,0.101045,0.101149,0.101072,0.101196,0.101068,0.100933
1,Acceleration,1,2,0.0796937,0.0798613,0.0800171,0.0798893,0.0798065,0.0798776,0.0798212,0.0798349,0.079931,0.0799658
1,Acceleration,2,1,0.0598646,0.0596884,0.0597731,0.0596618,0.0598673,0.0597656,0.0597808,0.0597971,0.0597472,0.0598454
1,Acceleration,2,2,0.0409904,0.0408142,0.0408604,0.0409374,0.0408679,0.0409352,0.0408518,0.0409361,0.0409031,0.0409161
1,Acceleration,3,1,0.0566472,0.0565989,0.0564908,0.0564914,0.056519,0.056444,0.0565038,0.0565333,0.0564812,0.0565573
1,Acceleration,3,2,0.0377385,0.03763,0.0376344,0.0376603,0.0377565,0.0376628,0.0377167,0.037621,0.0377013,0.0376872
1,Acceleration,4,1,0.0479611,0.0480736,0.0480267,0.0480925,0.0480199,0.0479788,0.048113,0.048012,0.0479883,0.048011
1,Acceleration,4,2,0.0344965,0.0344879,0.0344717,0.0344687,0.034452,0.0345067,0.0344582,0.0345042,0.0345443,0.0345039
1,Acceleration,5,1,0.0457309,0.04574,0.0458187,0.0457711,0.045736,0.0456818,0.045724,0.0457385,0.0457229,0.0457492
1,Acceleration,5,2,0.0382271,0.0382371,0.0382471,0.0381911,0.0381604,0.0381663,0.0382053,0.0382811,0.0381828,0.0382979
1,Acceleration,6,1,0.0452379,0.0451503,0.0451575,0.0451293,0.0451407,0.0451645,0.045219,0.0451509,0.0452202,0.045184
1,Acceleration,6,2,0.0406782,0.040595,0.0407898,0.0406783,0.0407219,0.0406655,0.0406323,0.0407238,0.0407361,0.040704
1,Acceleration,7,1,0.0488233,0.0487843,0.0487413,0.048681,0.0487831,0.0487528,0.0487731,0.0488262,0.048776,0.0488196
1,Acceleration,7,2,0.044226,0.0442407,0.0442058,0.0442596,0.0442585,0.0441933,0.0441892,0.0442082,0.0442177,0.0442035
1,Acceleration,8,1,0.0561003,0.0561453,0.0560694,0.0561058,0.0560108,0.0560897,0.0562425,0.0561698,0.0562062,0.0560509
1,Acceleration,8,2,0.0468882,0.0468711,0.0467941,0.0468375,0.0468452,0.0469087,0.0469104,0.0468637,0.0469276,0.0469431
1,Acceleration,9,1,0.0765988,0.07665,0.0765732,0.0766479,0.0766079,0.0765012,0.0765001,0.0766632,0.0766789,0.0765617
1,Acceleration,9,2,0.0622074,0.0623625,0.0622857,0.0623079,0.0622384,0.0622166,0.0623333,0.0623924,0.0624013,0.0622858
1,Acceleration,10,1,0.120962,0.12101,0.121098,0.120886,0.120867,0.120914,0.120805,0.121122,0.120773,0.121132
1,Acceleration,10,2,0.0839606,0.0840996,0.083967,0.0840045,0.0840018,0.0839805,0.0840271,0.0838362,0.0839538,0.0839596
1,Residual Drift,,,7.28219e-05,7.28474e-05,7.29722e-05,7.30452e-05,7.29669e-05,7.29231e-05,7.28248e-05,7.28731e-05,7.29704e-05,7.28958e-05
2,Story Drift Ratio,1,1,0.00150106,0.00150178,0.00150154,0.00150279,0.00150448,0.00150239,0.00150067,0.00150153,0.00150272,0.0015011
2,Story Drift Ratio,1,2,0.00136721,0.00136763,0.00136872,0.00136461,0.00136594,0.00136435,0.00136649,0.00136726,0.00136817,0.00136768
2,Story Drift Ratio,2,1,0.00138243,0.00138296,0.00138222,0.00138303,0.00138069,0.00138242,0.0013834,0.00138349,0.00138275,0.00138204
2,Story Drift Ratio,2,2,0.00126178,0.00126269,0.00126399,0.00126147,0.00126273,0.00126332,0.00126335,0.00126304,0.00126259,0.00126176
2,Story Drift Ratio,3,1,0.0014092,0.00140841,0.00140775,0.00140813,0.00140897,0.00140772,0.00140951,0.00140824,0.00140798,0.00140754
2,Story Drift Ratio,3,2,0.00128323,0.00128174,0.00128177,0.00128158,0.00128003,0.00127787,0.00128154,0.00128012,0.00128217,0.0012789
2,Story Drift Ratio,4,1,0.00147903,0.00147741,0.00147564,0.00147659,0.00147686,0.00147707,0.00147578,0.00147745,0.00147649,0.00147542
2,Story Drift Ratio,4,2,0.00134022,0.00133836,0.00133984,0.0013388,0.0013379,0.00133842,0.0013388,0.00133658,0.00133747,0.00133832
2,Story Drift Ratio,5,1,0.00143473,0.00143561,0.00143522,0.0014339,0.0014347,0.00143601,0.00143635,0.001434,0.00143398,0.00143365
2,Story Drift Ratio,5,2,0.00129467,0.00129459,0.00129321,0.00129356,0.00129255,0.00129285,0.0012934,0.00129511,0.00129449,0.00129324
2,Story Drift Ratio,6,1,0.00135248,0.00135307,0.00135327,0.00135586,0.00135417,0.00135671,0.00135574,0.00135392,0.00135335,0.00135812
2,Story Drift Ratio,6,2,0.00130084,0.00130086,0.00129807,0.0013002,0.00130115,0.00129725,0.00129832,0.00130205,0.00129966,0.00130146
2,Story Drift Ratio,7,1,0.00135605,0.0013577,0.00135911,0.00136022,0.00135988,0.00135613,0.0013585,0.00136029,0.00135869,0.00135854
2,Story Drift Ratio,7,2,0.00140756,0.00140749,0.00140479,0.0014057,0.00140461,0.0014067,0.00140544,0.00140431,0.00140652,0.00140515
2,Story Drift Ratio,8,1,0.00129994,0.00130074,0.00130046,0.00130113,0.00130017,0.00130151,0.00129937,0.00130073,0.00130259,0.00130008
2,Story Drift Ratio,8,2,0.00140386,0.00140299,0.00140356,0.00140448,0.00140073,0.00140153,0.00140293,0.00140264,0.00140162,0.00140405
2,Story Drift Ratio,9,1,0.000970659,0.000971974,0.000971231,0.000973099,0.000972755,0.000972252,0.000971603,0.000972716,0.000971881,0.000970516
2,Story Drift Ratio,9,2,0.00108656,0.00108557,0.00108476,0.00108658,0.0010857,0.00108589,0.00108524,0.00108572,0.00108597,0.00108379
2,Acceleration,1,1,0.0441224,0.044112,0.0442723,0.0441673,0.0441847,0.0442834,0.044198,0.0442462,0.0441945,0.044172
2,Acceleration,1,2,0.0603173,0.0603016,0.0603548,0.0603037,0.060262,0.0603076,0.0603093,0.0602656,0.0603111,0.060315
2,Acceleration,2,1,0.0347255,0.0347362,0.0347431,0.0347332,0.0347254,0.0347864,0.0347944,0.0347526,0.0347582,0.0347014
2,Acceleration,2,2,0.0357917,0.035702,0.0357638,0.0358033,0.0357938,0.0358341,0.0358071,0.0357773,0.0357793,0.0358115
2,Acceleration,3,1,0.0369473,0.0368537,0.0368778,0.0368703,0.0369274,0.0368379,0.0368685,0.0369059,0.0368063,0.0369086
2,Acceleration,3,2,0.0348169,0.0348739,0.0348502,0.0348186,0.0348645,0.0349248,0.0349025,0.0347953,0.0347979,0.0348215
2,Acceleration,4,1,0.0347129,0.0347649,0.0347457,0.0347717,0.0347016,0.0347413,0.0347608,0.0347227,0.0347486,0.0346952
2,Acceleration,4,2,0.0319495,0.031955,0.0319416,0.0320138,0.0319956,0.0319532,0.0319908,0.0320033,0.0319143,0.0319778
2,Acceleration,5,1,0.0352561,0.0352588,0.0352129,0.0352987,0.0353165,0.0352854,0.035263,0.0352923,0.0352361,0.0352964
