Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,10,0,0.0993304,0.4,0.00512513
2,Intensity 2,10,0,0.105937,0.4,0.0046685
3,Intensity 3,10,0,0.10661,0.4,0.00462562
4,Intensity 4,10,0,0.411115,0.4,0.000544396
5,Intensity 5,10,0,0.281887,0.4,0.00102788
6,Intensity 6,10,0,0.926345,0.4,0.000123759
7,Intensity 7,10,0,0.117234,0.4,0.0040249
8,Intensity 8,10,0,0.0802638,0.4,0.00694459
9,Intensity 9,10,0,0.350811,0.4,0.00071383
10,Intensity 10,10,0,0.442546,0.4,0.000479094
11,Intensity 11,10,0,0.59684,0.4,0.000281484
12,Intensity 12,10,0,0.105614,0.4,0.00468927
13,Intensity 13,10,0,0.0592281,0.4,0.010571
14,Intensity 14,10,0,0.428444,0.4,0.000506852
15,Intensity 15,10,0,0.150864,0.4,0.00276
16,Intensity 16,10,0,0.212277,0.4,0.00162462
17,Intensity 17,10,0,0.259581,0.4,0.00117617
18,Intensity 18,10,0,0.313033,0.4,0.000864239
19,Intensity 19,10,0,0.267676,0.4,0.00111877
20,Intensity 20,10,0,0.133572,0.4,0.00331612
21,Intensity 21,10,0,0.120306,0.4,0.00387419
22,Intensity 22,10,0,0.179727,0.4,0.00210939
23,Intensity 23,10,0,0.33235,0.4,0.000781888
24,Intensity 24,10,0,0.254374,0.4,0.00121552
25,Intensity 25,10,0,0.0877203,0.4,0.00612436
26,Intensity 26,10,0,0.177754,0.4,0.00214582
27,Intensity 27,10,0,0.164813,0.4,0.00241129
28,Intensity 28,10,0,0.137991,0.4,0.00315815
29,Intensity 29,10,0,0.171734,0.4,0.00226329
30,Intensity 30,10,0,0.0952676,0.4,0.00544282
31,Intensity 31,10,0,0.36757,0.4,0.000659519
32,Intensity 32,10,0,0.770264,0.4,0.000175789
33,Intensity 33,10,0,0.164201,0.4,0.00242511
34,Intensity 34,10,0,0.216172,0.4,0.00157841
35,Intensity 35,10,0,0.162994,0.4,0.00245271
36,Intensity 36,10,0,0.140116,0.4,0.00308639
37,Intensity 37,10,0,0.110726,0.4,0.00437683
38,Intensity 38,10,0,0.185734,0.4,0.00200421
39,Intensity 39,10,0,0.0521457,0.4,0.0125507
40,Intensity 40,10,0,0.0672344,0.4,0.00888764
41,Intensity 41,10,0,0.0442471,0.4,0.0156031
42,Intensity 42,10,0,0.0298787,0.4,0.0258318
43,Intensity 43,10,0,0.126539,0.4,0.00359477
44,Intensity 44,10,0,0.0964906,0.4,0.00534392
45,Intensity 45,10,0,0.102788,0.4,0.00487759
46,Intensity 46,10,0,0.116992,0.4,0.00403717
47,Intensity 47,10,0,0.188667,0.4,0.0019558
48,Intensity 48,10,0,0.24694,0.4,0.00127531
49,Intensity 49,10,0,0.116205,0.4,0.00407749
50,Intensity 50,10,0,0.101102,0.4,0.00499582
51,Intensity 51,10,0,0.125851,0.4,0.00362398
52,Intensity 52,10,0,0.246616,0.4,0.00127802
53,Intensity 53,10,0,0.0508645,0.4,0.0129748
54,Intensity 54,10,0,0.311669,0.4,0.000870547
55,Intensity 55,10,0,0.98081,0.4,0.000110812
56,Intensity 56,10,0,0.710958,0.4,0.000204163
57,Intensity 57,10,0,0.565991,0.4,0.000309822
58,Intensity 58,10,0,0.154264,0.4,0.00266801
59,Intensity 59,10,0,0.458742,0.4,0.000449934
60,Intensity 60,10,0,0.0723343,0.4,0.00803221
61,Intensity 61,10,0,0.174689,0.4,0.00220441
62,Intensity 62,10,0,1.37397,0.4,5.66869e-05
63,Intensity 63,10,0,0.0824168,0.4,0.00669024
64,Intensity 64,10,0,0.328344,0.4,0.000797956
65,Intensity 65,10,0,0.215151,0.4,0.00159032
66,Intensity 66,10,0,0.627609,0.4,0.000256874
67,Intensity 67,10,0,0.482608,0.4,0.000411573
68,Intensity 68,10,0,0.302235,0.4,0.000916159
69,Intensity 69,10,0,0.901391,0.4,0.000130431
70,Intensity 70,10,0,0.670054,0.4,0.000227817
71,Intensity 71,10,0,0.587311,0.4,0.000289814
72,Intensity 72,10,0,0.0950203,0.4,0.00546317
73,Intensity 73,10,0,0.171943,0.4,0.00225904
74,Intensity 74,10,0,0.0805801,0.4,0.00690625
75,Intensity 75,10,0,0.0802922,0.4,0.00694112
76,Intensity 76,10,0,0.0488967,0.4,0.0136745
77,Intensity 77,10,0,0.120231,0.4,0.00387778
78,Intensity 78,10,0,0.0864651,0.4,0.00625109
79,Intensity 79,10,0,0.0964622,0.4,0.00534619
80,Intensity 80,10,0,0.169379,0.4,0.002312
81,Intensity 81,10,0,0.050369,0.4,0.0131453
82,Intensity 82,10,0,0.11048,0.4,0.00439112
83,Intensity 83,10,0,0.0915267,0.4,0.00576441
84,Intensity 84,10,0,0.0689209,0.4,0.00858886
85,Intensity 85,10,0,0.0728059,0.4,0.00795995
86,Intensity 86,10,0,0.097872,0.4,0.00523566
87,Intensity 87,10,0,0.148444,0.4,0.00282859
88,Intensity 88,10,0,0.030568,0.4,0.0251016
89,Intensity 89,10,0,0.108,0.4,0.00453911
90,Intensity 90,10,0,0.0724384,0.4,0.00801617
91,Intensity 91,10,0,0.0984366,0.4,0.00519242
92,Intensity 92,10,0,0.054174,0.4,0.0119247
93,Intensity 93,10,0,0.0666071,0.4,0.00900316
94,Intensity 94,10,0,0.0373259,0.4,0.0194653
95,Intensity 95,10,0,0.0527496,0.4,0.0123587
96,Intensity 96,10,0,0.0619775,0.4,0.00993769
97,Intensity 97,10,0,0.0937629,0.4,0.00556861
98,Intensity 98,10,0,0.118697,0.4,0.003952
99,Intensity 99,10,0,0.057474,0.4,0.0110107
100,Intensity 100,10,0,0.0902596,0.4,0.00588035
101,Intensity 101,10,0,0.0859307,0.4,0.00630635
102,Intensity 102,10,0,0.06004,0.4,0.0103772
103,Intensity 103,10,0,0.115805,0.4,0.00409823
104,Intensity 104,10,0,0.0904907,0.4,0.00585892
105,Intensity 105,10,0,0.0969205,0.4,0.00530985
106,Intensity 106,10,0,0.0776771,0.4,0.0072716
107,Intensity 107,10,0,0.0860372,0.4,0.00629527
108,Intensity 108,10,0,0.0443668,0.4,0.0155479
109,Intensity 109,10,0,0.0973562,0.4,0.00527566
110,Intensity 110,10,0,0.0497558,0.4,0.0133615
111,Intensity 111,10,0,0.0642848,0.4,0.00945297
112,Intensity 112,10,0,0.174744,0.4,0.00220333
