Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
1,Intensity 1,22,0,0.01,0.4,0.047582
2,Intensity 2,22,0,0.1,0.4,0.00249552
3,Intensity 3,22,0,0.2,0.4,0.000872671
4,Intensity 4,22,0,0.3,0.4,0.000452331
5,Intensity 5,22,0,0.4,0.4,0.000277948
6,Intensity 6,22,0,0.5,0.4,0.000188132
7,Intensity 7,22,0,0.6,0.4,0.000135604
8,Intensity 8,22,0,0.7,0.4,0.000102179
9,Intensity 9,22,0,0.8,0.4,7.95856e-05
10,Intensity 10,22,0,0.9,0.4,6.36032e-05
11,Intensity 11,22,0,1,0.4,5.18881e-05
12,Intensity 12,22,0,1.1,0.4,4.30515e-05
13,Intensity 13,22,0,1.2,0.4,3.62275e-05
14,Intensity 14,22,0,1.5,0.4,2.30487e-05
15,Intensity 15,22,0,2,0.4,1.25951e-05
16,Intensity 16,22,0,3,0.4,5.14541e-06
17,Intensity 17,22,0,4,0.4,2.63745e-06
18,Intensity 18,22,0,5,0.4,1.53907e-06

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11,EQ12,EQ13,EQ14,EQ15,EQ16,EQ17,EQ18,EQ19,EQ20,EQ21,EQ22
1,Story Drift Ratio,9,2,0.000388995,0.000684885,0.000598999,0.000338578,0.000429915,0.000509002,0.000661216,0.000703333,0.000736007,0.000271091,0.000462703,0.000463395,0.0006583,0.000520076,0.000542963,0.00049367,0.000379329,0.000673855,0.000423364,0.000582968,0.00055662,0.000588882
1,Acceleration,1,1,0.0289098,0.0486716,0.0103453,0.0178841,0.0141328,0.0316269,0.035387,0.0332483,0.0216915,0.0139294,0.0118957,0.0164173,0.0289862,0.0153713,0.0340031,0.0103898,0.00996866,0.0355919,0.0245191,0.0200564,0.0126774,0.0286409
1,Acceleration,1,2,0.0250722,0.0428551,0.0153491,0.0184045,0.0103052,0.0190554,0.0302764,0.0218892,0.0318848,0.00864487,0.0130909,0.019184,0.0278521,0.0159414,0.0217205,0.012131,0.011679,0.0381307,0.0267225,0.0193666,0.0156726,0.0407912
1,Acceleration,2,1,0.0220581,0.0331193,0.00986524,0.0112673,0.0107908,0.0236517,0.0264382,0.0218542,0.0178511,0.0149161,0.00904349,0.0142101,0.0275341,0.0190937,0.0221672,0.00891076,0.00900137,0.0250282,0.0155046,0.015808,0.00825457,0.0291089
1,Acceleration,2,2,0.0194568,0.043447,0.0150339,0.0152925,0.00864543,0.0173899,0.0303884,0.0168484,0.0345135,0.00865147,0.0109525,0.0187177,0.0224752,0.0168944,0.0180751,0.0111268,0.012473,0.0299109,0.0231348,0.0169382,0.0106535,0.0359682
1,Acceleration,3,1,0.0249141,0.0276812,0.0104789,0.0112732,0.0102068,0.019729,0.0224857,0.0196777,0.0187313,0.0152607,0.00925011,0.015143,0.0268154,0.0230551,0.0145535,0.00839311,0.0109077,0.0259874,0.0143828,0.0144984,0.00757012,0.0309566
1,Acceleration,3,2,0.0186239,0.0456339,0.0145836,0.0132324,0.00787388,0.0173666,0.0339994,0.0154912,0.0346126,0.00836955,0.0101739,0.0195114,0.0253121,0.0178743,0.0152226,0.0121954,0.014071,0.0263818,0.0194037,0.0163653,0.0104688,0.0320154
1,Acceleration,4,1,0.0235076,0.0185786,0.0111493,0.0146848,0.0114498,0.0184208,0.0247506,0.0203017,0.0168154,0.0152038,0.0104038,0.0183768,0.0221446,0.0259231,0.014255,0.0103272,0.0123298,0.0279368,0.0144482,0.0152585,0.00857451,0.0321693
1,Acceleration,4,2,0.0162662,0.0504021,0.0143798,0.0110097,0.010092,0.0190528,0.0364264,0.0162607,0.0316884,0.00765959,0.0102345,0.0206964,0.0245564,0.0185349,0.0178592,0.0167539,0.0149428,0.0289353,0.0187468,0.0166118,0.0125044,0.0256957
1,Acceleration,5,1,0.0178707,0.0225502,0.0115118,0.0180004,0.0142961,0.0202135,0.0274188,0.0215438,0.0194412,0.0136058,0.0107561,0.0198349,0.0246333,0.0260288,0.0138244,0.0119838,0.0130301,0.0286107,0.0190774,0.0162841,0.00885909,0.0296012
1,Acceleration,5,2,0.0164534,0.0483748,0.0163994,0.0115286,0.0123679,0.0189869,0.0373544,0.0176233,0.0279035,0.00946808,0.0123231,0.0223385,0.0269191,0.0201586,0.0207844,0.0202932,0.0141893,0.0280499,0.0172832,0.0175761,0.0147352,0.0231394
1,Acceleration,6,1,0.0165908,0.0244246,0.0119904,0.019669,0.0162157,0.0192563,0.0279555,0.0205466,0.0178705,0.0128452,0.0115826,0.0208955,0.028114,0.0233834,0.0128602,0.0130429,0.0129757,0.0311304,0.021853,0.0161348,0.00864574,0.0238508
1,Acceleration,6,2,0.0144842,0.0503503,0.019237,0.0134976,0.0140236,0.0181506,0.0354011,0.0183775,0.0276719,0.0111792,0.0141532,0.0213902,0.027572,0.0199539,0.022167,0.0215948,0.0130175,0.0241111,0.0172519,0.0203712,0.0175659,0.0283435
1,Acceleration,7,1,0.0181872,0.023532,0.0115189,0.0199434,0.0157681,0.0191945,0.0268524,0.0172023,0.0152274,0.0136455,0.0111959,0.0190151,0.029893,0.0213588,0.0129409,0.0144827,0.012374,0.0345025,0.0208425,0.0137426,0.00893899,0.0202409
1,Acceleration,7,2,0.0164596,0.0485483,0.0200393,0.0150479,0.0151562,0.019689,0.0310774,0.0216168,0.0248266,0.0112052,0.0137759,0.0178135,0.0263431,0.017934,0.0219582,0.0209212,0.0120345,0.0214538,0.0182851,0.0225593,0.0208337,0.0354508
1,Acceleration,8,1,0.0200537,0.023237,0.0106629,0.0197213,0.0125319,0.0201346,0.0292201,0.0157387,0.0153494,0.0157846,0.0103584,0.0170532,0.0258584,0.0158095,0.0105933,0.0139602,0.0114002,0.02834,0.0166116,0.0100899,0.0106291,0.0175269
1,Acceleration,8,2,0.0161445,0.0423051,0.0173747,0.0130595,0.0156761,0.0179612,0.0267823,0.0243188,0.0194515,0.00953319,0.0146463,0.0134402,0.0242626,0.0162968,0.0215101,0.0204513,0.0118297,0.0218534,0.0159772,0.0224505,0.0223998,0.0351759
1,Acceleration,9,1,0.0201678,0.0236646,0.0131779,0.0213811,0.0146062,0.0152441,0.028774,0.0148007,0.015616,0.0187683,0.0123315,0.0235718,0.0241934,0.0174846,0.0111691,0.0118446,0.0138069,0.0224773,0.0166269,0.012893,0.0120559,0.0283287
1,Acceleration,9,2,0.0138874,0.0354923,0.0200216,0.0126768,0.0169196,0.0202253,0.0269398,0.028406,0.0302803,0.0107954,0.016918,0.0156402,0.0270497,0.0203397,0.0222506,0.0206501,0.0149038,0.0282723,0.0153678,0.0256586,0.0236685,0.0248617
