Non-Linear
Intensity #,Name,# Demand Vectors,Modeling Dispersion,SA(T),SA(T1),MAFE
110,Intensity 110,10,0,0.0407506,0.4,0.00862048
111,Intensity 111,10,0,0.0386385,0.4,0.0092418
112,Intensity 112,10,0,0.0519958,0.4,0.00623456
113,Intensity 113,10,0,0.0265146,0.4,0.0149481
114,Intensity 114,10,0,0.0170309,0.4,0.0256654
115,Intensity 115,10,0,0.0114367,0.4,0.0408558
116,Intensity 116,10,0,0.0198724,0.4,0.0213199
117,Intensity 117,10,0,0.0129912,0.4,0.0352823
118,Intensity 118,10,0,0.023435,0.4,0.017426
119,Intensity 119,10,0,0.0154221,0.4,0.0288708
120,Intensity 120,10,0,0.0142223,0.4,0.0317525
121,Intensity 121,10,0,0.0281538,0.4,0.0138642
122,Intensity 122,10,0,0.0668165,0.4,0.00442447
123,Intensity 123,10,0,0.01245,0.4,0.0370609
124,Intensity 124,10,0,0.0439521,0.4,0.00780314
125,Intensity 125,10,0,0.0340565,0.4,0.0108825
126,Intensity 126,10,0,0.0459189,0.4,0.00736309
127,Intensity 127,10,0,0.0398912,0.4,0.00886458
128,Intensity 128,10,0,0.0263018,0.4,0.0150994
129,Intensity 129,10,0,0.0295561,0.4,0.0130391
130,Intensity 130,10,0,0.0852745,0.4,0.00313914
131,Intensity 131,10,0,0.0214511,0.4,0.0194256
132,Intensity 132,10,0,0.0440102,0.4,0.00778952
133,Intensity 133,10,0,0.0312016,0.4,0.0121725
134,Intensity 134,10,0,0.016548,0.4,0.0265595
135,Intensity 135,10,0,0.0100947,0.4,0.0470786
136,Intensity 136,10,0,0.0122259,0.4,0.0378448

Intensity #,Demand Type,Floor,Dir,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10
1,Story Drift Ratio,1,1,0.00119795,0.00119809,0.0011997,0.00119802,0.00119917,0.00119815,0.00119895,0.00120004,0.00119969,0.00119958
1,Story Drift Ratio,1,2,0.000688538,0.000688555,0.000689289,0.000690072,0.000690322,0.000689233,0.000688715,0.000689743,0.000688436,0.000689098
1,Story Drift Ratio,2,1,0.00163188,0.00163106,0.00163149,0.0016316,0.00163113,0.00163277,0.00162852,0.00163386,0.00162902,0.00163059
1,Story Drift Ratio,2,2,0.00097057,0.000970498,0.000969281,0.000968473,0.000968478,0.000969931,0.00096937,0.000968859,0.000968635,0.000970553
1,Story Drift Ratio,3,1,0.0019692,0.00197108,0.00196906,0.0019711,0.00197185,0.00197017,0.00197033,0.00197,0.00196848,0.00197157
1,Story Drift Ratio,3,2,0.0012127,0.00121234,0.00121441,0.00121117,0.00121335,0.00121147,0.00121322,0.00121366,0.0012136,0.00121461
1,Story Drift Ratio,4,1,0.00221989,0.00221795,0.00221819,0.00221856,0.00221693,0.0022175,0.00221583,0.00221617,0.00222122,0.00221537
1,Story Drift Ratio,4,2,0.00136674,0.00136964,0.00136916,0.00136918,0.00136698,0.00136906,0.00136783,0.00136544,0.00136881,0.00136857
1,Story Drift Ratio,5,1,0.00226689,0.0022645,0.00226802,0.00226079,0.00226045,0.00226144,0.00226509,0.00226561,0.00226292,0.00226597
1,Story Drift Ratio,5,2,0.00141388,0.00141416,0.00141234,0.00141439,0.00141434,0.00141218,0.00141521,0.00141412,0.00141474,0.00141382
1,Story Drift Ratio,6,1,0.00234081,0.00234284,0.00234319,0.0023421,0.00234198,0.0023421,0.00234215,0.00233995,0.0023415,0.00234121
1,Story Drift Ratio,6,2,0.001481,0.00147985,0.00147965,0.00147915,0.00148,0.00147772,0.00147795,0.00148083,0.00147846,0.00147977
1,Story Drift Ratio,7,1,0.0023212,0.00231686,0.00231842,0.00231682,0.00231637,0.00232036,0.00231402,0.00231793,0.00231638,0.00231404
1,Story Drift Ratio,7,2,0.00147412,0.00147438,0.00147521,0.00147611,0.00147427,0.00147644,0.0014749,0.00147655,0.00147632,0.00147505
1,Story Drift Ratio,8,1,0.00230052,0.00229938,0.00230045,0.00230738,0.00230308,0.00230106,0.00229988,0.00230148,0.0022994,0.00229971
1,Story Drift Ratio,8,2,0.00146461,0.00146565,0.00146496,0.0014662,0.00146353,0.00146482,0.00146156,0.00146468,0.00146275,0.00146328
1,Story Drift Ratio,9,1,0.00195859,0.00195637,0.00195358,0.00195263,0.00195639,0.00195535,0.00195502,0.00195584,0.00195522,0.00195451
1,Story Drift Ratio,9,2,0.00124111,0.00124061,0.00124226,0.00124073,0.0012416,0.00124316,0.00124245,0.00124136,0.00123994,0.00124144
1,Acceleration,1,1,0.100999,0.101257,0.101014,0.101087,0.101008,0.100985,0.101177,0.101097,0.101017,0.10105
1,Acceleration,1,2,0.07981,0.0797571,0.0798086,0.0798731,0.0799252,0.0796986,0.0798642,0.0797794,0.0797389,0.0799344
1,Acceleration,2,1,0.0779808,0.0778188,0.0778724,0.0779002,0.0778188,0.0778745,0.0777801,0.0777091,0.0778076,0.0779701
1,Acceleration,2,2,0.0643788,0.0645096,0.0643979,0.0643389,0.0644741,0.0643292,0.0642812,0.0643907,0.0644223,0.064405
1,Acceleration,3,1,0.0666677,0.066518,0.066694,0.066592,0.0664431,0.0665198,0.0666009,0.0665011,0.0665616,0.0666115
1,Acceleration,3,2,0.0575666,0.0574369,0.0575276,0.0575776,0.0576185,0.0576497,0.0575487,0.0576307,0.0576244,0.0575808
1,Acceleration,4,1,0.0702644,0.0702308,0.0702267,0.0702347,0.0702587,0.0701662,0.0701514,0.0702086,0.0702709,0.0702495
1,Acceleration,4,2,0.0519882,0.0520065,0.0520847,0.0520357,0.0520349,0.0520267,0.0519754,0.0519467,0.0519374,0.0520164
1,Acceleration,5,1,0.0874212,0.0873124,0.0875236,0.0874109,0.0874585,0.0875024,0.0874202,0.0874013,0.0873413,0.087547
1,Acceleration,5,2,0.0479507,0.0478955,0.0479104,0.0478528,0.0479097,0.0478818,0.047972,0.0480272,0.047928,0.0479497
1,Acceleration,6,1,0.117262,0.117107,0.116918,0.117023,0.117172,0.116825,0.117044,0.116981,0.11697,0.117184
1,Acceleration,6,2,0.0619823,0.0620837,0.0620106,0.06203,0.0621042,0.0620182,0.0620524,0.0620735,0.0620644,0.0619627
1,Acceleration,7,1,0.15906,0.158854,0.158719,0.158983,0.158868,0.158737,0.158484,0.158802,0.158954,0.15872
1,Acceleration,7,2,0.0644317,0.0643837,0.064405,0.0643949,0.064334,0.0644226,0.0643845,0.0643588,0.0643348,0.0644824
1,Acceleration,8,1,0.210122,0.209588,0.209134,0.20998,0.209551,0.209662,0.209848,0.210027,0.209599,0.209989
1,Acceleration,8,2,0.0552296,0.0552849,0.0551347,0.0552238,0.0552092,0.0551844,0.0551786,0.0551705,0.0552287,0.0551973
1,Acceleration,9,1,0.231133,0.231193,0.231044,0.231134,0.231497,0.231421,0.231375,0.230888,0.230958,0.230979
1,Acceleration,9,2,0.0720086,0.0721932,0.072103,0.072136,0.0720484,0.0721175,0.0720252,0.0720464,0.0719729,0.0721348
1,Acceleration,10,1,0.223776,0.223475,0.223327,0.22384,0.223789,0.224352,0.223837,0.223964,0.223489,0.223975
1,Acceleration,10,2,0.0850144,0.0848748,0.0849639,0.0848863,0.0848235,0.0849182,0.084829,0.0849417,0.0848111,0.0849281
1,Residual Drift,,,1.85007e-05,1.85431e-05,1.85151e-05,1.85228e-05,1.85141e-05,1.85394e-05,1.85181e-05,1.85129e-05,1.85265e-05,1.85137e-05
2,Story Drift Ratio,1,1,0.000601003,0.000601507,0.000601317,0.000600908,0.000600691,0.000601559,0.00060129,0.000601366,0.000600213,0.000601327
2,Story Drift Ratio,1,2,0.000605383,0.000603933,0.000605519,0.000605503,0.000605837,0.000606577,0.000606007,0.000605613,0.000606092,0.000606221
2,Story Drift Ratio,2,1,0.000823045,0.000822803,0.000822392,0.000823517,0.000822753,0.000822179,0.000822836,0.000823249,0.000823807,0.000823329
2,Story Drift Ratio,2,2,0.000850154,0.000851223,0.000851223,0.000851758,0.000851392,0.00084996,0.000852063,0.000850325,0.00084924,0.000849542
2,Story Drift Ratio,3,1,0.00100742,0.00100787,0.00100612,0.00100613,0.00100697,0.00100522,0.00100652,0.00100606,0.00100608,0.00100694
2,Story Drift Ratio,3,2,0.00106977,0.00106813,0.00106779,0.00106723,0.00106919,0.00106877,0.00106691,0.00106925,0.00106824,0.00106946
2,Story Drift Ratio,4,1,0.00108697,0.00108772,0.00108703,0.00108791,0.00108699,0.00108558,0.00108769,0.00108651,0.00108437,0.00108814
2,Story Drift Ratio,4,2,0.00117858,0.00117995,0.00117906,0.00117825,0.00117868,0.00117984,0.00117838,0.00117881,0.00117847,0.00118103
