
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 40.0
Rrup Max (km):, 200.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
17, SRSS, 969, -, 1.0, -, 8.4, 16.1, 0.1, "Northridge-01", 1994, "Duarte - Mel Canyon Rd.", 6.69, Reverse, 48.37, 48.63, 459.14, 0.5375, 1.0, RSN969_NORTHR_MEL090.AT2, RSN969_NORTHR_MEL180.AT2 , RSN969_NORTHR_MEL-UP.AT2  
18, SRSS, 970, -, 1.0, -, 10.4, 20.1, 0.3, "Northridge-01", 1994, "El Monte - Fairview Av", 6.69, Reverse, 44.51, 44.79, 290.63, 0.1625, 1.0, RSN970_NORTHR_FAI095.AT2, RSN970_NORTHR_FAI185.AT2 , RSN970_NORTHR_FAI-UP.AT2  
19, SRSS, 972, -, 1.0, -, 5.9, 10.9, 0.1, "Northridge-01", 1994, "Featherly Park - Maint", 6.69, Reverse, 82.01, 82.32, 367.54, 0.3, 1.0, RSN972_NORTHR_FEA000.AT2, RSN972_NORTHR_FEA090.AT2 , RSN972_NORTHR_FEA-UP.AT2  
20, SRSS, 973, -, 1.0, -, 9.2, 19.0, 0.2, "Northridge-01", 1994, "Garden Grove - Santa Rita", 6.69, Reverse, 63.73, 66.64, 301.11, 0.375, 1.0, RSN973_NORTHR_GAR000.AT2, RSN973_NORTHR_GAR270.AT2 ,  -----   
21, SRSS, 975, -, 1.0, -, 10.8, 16.6, 0.1, "Northridge-01", 1994, "Glendora - N Oakbank", 6.69, Reverse, 53.71, 53.94, 362.31, 0.4125, 1.0, RSN975_NORTHR_OAK080.AT2, RSN975_NORTHR_OAK170.AT2 , RSN975_NORTHR_OAK-UP.AT2  
22, SRSS, 976, -, 1.0, -, 10.5, 20.7, 0.1, "Northridge-01", 1994, "Hacienda Heights - Colima", 6.69, Reverse, 56.55, 57.02, 337.0, 0.5, 1.0, RSN976_NORTHR_COM140.AT2, RSN976_NORTHR_COM230.AT2 , RSN976_NORTHR_COM-UP.AT2  
23, SRSS, 977, -, 1.0, -, 11.2, 20.5, 0.1, "Northridge-01", 1994, "Hemet - Ryan Airfield", 6.69, Reverse, 144.62, 144.71, 290.93, 0.3, 1.0, RSN977_NORTHR_HEM000.AT2, RSN977_NORTHR_HEM090.AT2 , RSN977_NORTHR_HEM-UP.AT2  
24, SRSS, 979, -, 1.0, -, 12.1, 22.0, 0.1, "Northridge-01", 1994, "Huntington Bch - Waikiki", 6.69, Reverse, 66.43, 69.5, 270.54, 0.175, 1.0, RSN979_NORTHR_WAI200.AT2, RSN979_NORTHR_WAI290.AT2 , RSN979_NORTHR_WAI-UP.AT2  
25, SRSS, 980, -, 1.0, -, 11.3, 28.0, 0.1, "Northridge-01", 1994, "Huntington Beach - Lake St", 6.69, Reverse, 74.7, 77.45, 315.52, 0.2, 1.0, RSN980_NORTHR_HNT000.AT2, RSN980_NORTHR_HNT090.AT2 , RSN980_NORTHR_HNT-UP.AT2  
26, SRSS, 981, -, 1.0, -, 11.8, 21.6, 0.2, "Northridge-01", 1994, "Inglewood - Union Oil", 6.69, Reverse, 37.18, 42.2, 316.02, 0.16, 1.0, RSN981_NORTHR_ING000.AT2, RSN981_NORTHR_ING090.AT2 , RSN981_NORTHR_ING-UP.AT2  
