
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, 40.0
Rrup Max (km):, 200.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Northridge-01
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
6.0,0.00535125,0.0143182,0.00199996,0.0007436,0.00303152,0.00825718,0.00514222,0.00360669,0.01087053,0.00204617,0.00678568,0.01041249,0.00424937,0.00767797,0.01022945,0.00580141,0.00361785,0.00312972,0.00513485,0.00119463,0.01273374,0.00132438,0.0044998,0.00588756,0.00129792,0.00097156,0.0074963,0.00453067,0.00713809,0.00680161,0.00261494,0.00764557,0.00400947,0.00143203,0.00849576,0.00288796,0.00371842,0.0012282,0.00114834,0.00736659,0.0008757,0.03540772,0.00612214,0.00491492,0.00440575,0.00347425,0.00273552,0.01190044,0.00129081,0.00209984,0.00264587,0.00077153,0.00249455,0.00143842,0.00107021,0.0025268,0.00665421,0.00179657,0.01469591,0.00456593,0.01862999,0.00559806,0.00910594,0.00118808,0.01056507,0.00407248,0.01147038,0.00138979,0.00196175,0.00168258,0.00117327
6.5,0.00437821,0.01210499,0.00158354,0.00060392,0.00266201,0.0074812,0.00371794,0.00287627,0.01046341,0.0020252,0.00703227,0.00815302,0.00366948,0.00567393,0.00828428,0.00401534,0.00322645,0.00275727,0.0039145,0.00084394,0.01032021,0.0011613,0.00365881,0.00477358,0.00108829,0.00083666,0.00478566,0.00312463,0.00541488,0.00560782,0.00222319,0.00556261,0.00338146,0.00124301,0.0060477,0.0022817,0.00282253,0.00101942,0.00093829,0.00698665,0.00071218,0.02923464,0.00423191,0.00379388,0.00343664,0.00251807,0.00234282,0.00885995,0.00108078,0.0017475,0.00218804,0.00061013,0.00188308,0.00110017,0.00089382,0.00214557,0.00498456,0.00136667,0.01268812,0.00374052,0.01647135,0.0042057,0.00797761,0.00096508,0.00843169,0.00318205,0.01148607,0.00116895,0.00146704,0.00124815,0.00087678
7.0,0.00367181,0.0101114,0.00133337,0.00049422,0.00231338,0.00680599,0.00265456,0.00225752,0.00941689,0.00178701,0.00813926,0.00571421,0.00329091,0.00441187,0.00661192,0.00339236,0.00269923,0.00246915,0.00314854,0.00071291,0.00862708,0.00092881,0.00304331,0.00348481,0.00093607,0.00071704,0.0039456,0.00239632,0.00438363,0.00434912,0.00188456,0.00428116,0.00249958,0.00108104,0.00455221,0.00188125,0.00225927,0.0008069,0.00076821,0.00672281,0.00060074,0.02255435,0.00300286,0.00312215,0.00289919,0.00197985,0.00202663,0.00862436,0.00091138,0.00144283,0.001808,0.00050276,0.00150271,0.00086403,0.00076845,0.00182747,0.00342133,0.00106326,0.0116079,0.00340796,0.01444899,0.00338519,0.00691199,0.00078927,0.00714075,0.00300976,0.01034718,0.0010077,0.00117297,0.00095855,0.0007041
7.5,0.00305746,0.00812821,0.00115007,0.00042451,0.00208087,0.00642628,0.00230554,0.00192354,0.00610728,0.0014318,0.00774879,0.00483102,0.00280973,0.00381453,0.00618206,0.00280578,0.0023228,0.0021385,0.00255976,0.0006437,0.00724428,0.00077109,0.00262495,0.00266206,0.00082721,0.00061689,0.00324016,0.00197293,0.00357406,0.00352204,0.00160611,0.00371445,0.00195254,0.00092899,0.00374504,0.00158228,0.00187756,0.00065188,0.00062429,0.00659688,0.00052754,0.01736056,0.00254327,0.00261525,0.00251601,0.00168953,0.00176596,0.00701198,0.00077404,0.0011856,0.00150078,0.00042781,0.00126898,0.00070188,0.00065386,0.00157542,0.00228238,0.00090369,0.00951045,0.00272346,0.0119683,0.00295033,0.00539902,0.00066618,0.00552391,0.00326938,0.0084871,0.00088193,0.00096286,0.00077773,0.00058958
8.0,0.00256634,0.00659978,0.00099793,0.00036013,0.00174497,0.00582324,0.00203127,0.00171051,0.00428939,0.00108028,0.00580872,0.00382089,0.00214438,0.00372093,0.00572583,0.00221231,0.00192282,0.0018297,0.00215641,0.00055397,0.00610851,0.0006551,0.00200821,0.00248878,0.00073467,0.00054034,0.0030232,0.00175638,0.00298304,0.00302605,0.00142085,0.00322696,0.00159019,0.00080133,0.00341848,0.00134362,0.00160807,0.00053652,0.00050885,0.00621228,0.00046948,0.01385682,0.00201383,0.00222116,0.0021899,0.0014362,0.00154855,0.00555155,0.00066444,0.00097629,0.00125576,0.00037209,0.00111532,0.00059662,0.00055822,0.00135729,0.00191334,0.00083851,0.00736355,0.00208984,0.00976236,0.00271465,0.0043999,0.00059331,0.00455915,0.00335611,0.0070612,0.00077893,0.0008097,0.00065527,0.00050451
8.5,0.00218197,0.00546685,0.00087088,0.00032638,0.001385,0.00488027,0.00175502,0.00164276,0.00348337,0.00081574,0.00477271,0.00312536,0.00176351,0.00363728,0.00428842,0.00170483,0.00158402,0.0015606,0.00188388,0.00046587,0.00561607,0.00054747,0.00184115,0.00237821,0.0006423,0.00047713,0.00259388,0.0016779,0.00264695,0.00257929,0.00125246,0.00273943,0.00129544,0.0006906,0.00303227,0.00115088,0.00139752,0.00046853,0.000419,0.00582059,0.00041628,0.01140398,0.00150199,0.00188998,0.00190316,0.00120774,0.00136606,0.00415287,0.00057834,0.00081092,0.00106182,0.00032825,0.0010038,0.00053165,0.00048658,0.00117886,0.00165464,0.00077478,0.0063396,0.00182257,0.00783882,0.00245417,0.00362026,0.00051481,0.00379565,0.00367332,0.00532772,0.00069205,0.00069562,0.00056505,0.00044045
9.0,0.00184732,0.00452947,0.00075342,0.00028583,0.00110907,0.00413226,0.00150091,0.00150681,0.00270326,0.000709,0.003598,0.00282425,0.00149732,0.00332716,0.00320361,0.00153051,0.0013291,0.00132561,0.00166092,0.00039457,0.00456799,0.00046691,0.00157312,0.00220945,0.00056997,0.00042153,0.00198451,0.00142301,0.00237441,0.00222002,0.00110016,0.00219665,0.00106331,0.00060562,0.00262823,0.00099653,0.00121976,0.00040834,0.00035967,0.00512755,0.00036736,0.00936939,0.0013492,0.00153757,0.00165543,0.00101674,0.00121214,0.00364981,0.00051035,0.00068251,0.00090882,0.00029228,0.00091371,0.00047311,0.00043024,0.00102502,0.00133857,0.00070587,0.00573232,0.00154883,0.00623225,0.00215256,0.00305733,0.0004659,0.00305513,0.00326145,0.00440776,0.00061835,0.00060743,0.00049412,0.0003916
9.5,0.0015808,0.00380551,0.00065666,0.0002424,0.00094142,0.00345128,0.00129341,0.00123213,0.00213607,0.0006096,0.00269748,0.00253541,0.00125904,0.00286687,0.00302061,0.00135899,0.00114197,0.0011289,0.00147641,0.00034308,0.00371535,0.00043133,0.00139427,0.00224171,0.00050891,0.00037409,0.00169368,0.00114866,0.00216127,0.00194119,0.00098192,0.00184093,0.00090651,0.00054414,0.00228139,0.00087379,0.00106556,0.00036197,0.00031678,0.00425891,0.00032454,0.00782624,0.00111337,0.00126427,0.00144461,0.00088114,0.0010817,0.0032189,0.00045535,0.00058334,0.000788,0.00026195,0.00083502,0.00042068,0.00038228,0.00088836,0.00116295,0.00063409,0.00509873,0.0013514,0.00512002,0.00184968,0.0025424,0.00041535,0.00270197,0.00240779,0.00378363,0.00055415,0.00053627,0.00043622,0.00035236
10.0,0.00138192,0.00326298,0.00058526,0.00020455,0.00084673,0.00291359,0.00114678,0.00110571,0.00182813,0.0005186,0.00214185,0.00226436,0.00111926,0.00233752,0.0030081,0.00116128,0.00100146,0.00097521,0.00132101,0.00030738,0.00318805,0.00040843,0.00136668,0.00220335,0.00045534,0.00033559,0.00157273,0.00098941,0.00196103,0.00172245,0.00088575,0.0015578,0.00079138,0.00049619,0.00193336,0.00077595,0.00093237,0.00032806,0.00028108,0.00351179,0.00028874,0.0066428,0.0010252,0.00104059,0.00126613,0.00075985,0.00097061,0.00275688,0.00040951,0.00050645,0.00069205,0.00023594,0.00076345,0.00037438,0.0003432,0.00078165,0.00100511,0.00056377,0.00451203,0.00118834,0.00407648,0.00157735,0.00214898,0.00036599,0.00236045,0.0021353,0.00359949,0.00049787,0.00047713,0.00038775,0.00031871
11.0,0.00108273,0.00247132,0.00047436,0.00015293,0.00072107,0.00202319,0.00092363,0.00079051,0.00167115,0.00050108,0.00167914,0.00176162,0.00099823,0.00182238,0.00254417,0.00084717,0.00080728,0.00077684,0.0010741,0.00026193,0.00226593,0.00035578,0.00113244,0.00207758,0.00037975,0.00027932,0.00128141,0.00076737,0.00162067,0.00139908,0.00072852,0.00116436,0.00062988,0.00042288,0.00153406,0.0006323,0.0007235,0.000275,0.00022543,0.00252574,0.00023567,0.00493448,0.0008268,0.0008337,0.00098815,0.00060676,0.00079357,0.00185865,0.00033618,0.00039824,0.00055272,0.00019378,0.0006367,0.00030455,0.00028272,0.00062177,0.00082134,0.00044011,0.00351884,0.00090461,0.00265264,0.00116882,0.00161592,0.00029413,0.00182415,0.00160282,0.00323475,0.0004084,0.00038439,0.00031054,0.00026223
12.0,0.00088165,0.00198551,0.00039149,0.00012477,0.0005829,0.0014391,0.00077567,0.00057505,0.00129261,0.00048473,0.00149927,0.00147317,0.00087171,0.00164769,0.00171913,0.00065255,0.00068091,0.00068216,0.00088973,0.00022842,0.00214771,0.00029645,0.00098226,0.00161974,0.00031835,0.00023721,0.00109765,0.00060024,0.0013069,0.00116507,0.00061334,0.00096758,0.00053737,0.00036487,0.00136281,0.00053177,0.00057742,0.00023847,0.00018595,0.00200688,0.00019898,0.00395704,0.00062751,0.00065321,0.00079243,0.00048469,0.00066085,0.00147778,0.00027989,0.00033241,0.00045824,0.00016147,0.00053037,0.00025757,0.00024053,0.00050181,0.00067721,0.00034624,0.00277164,0.00073461,0.00203144,0.00092631,0.00126508,0.00025259,0.0015158,0.00119388,0.00271959,0.00033965,0.00031608,0.00025222,0.00021747
13.0,0.00072681,0.00161452,0.00032719,0.00010762,0.0004948,0.0010828,0.00066527,0.0005391,0.00103283,0.00044916,0.00132162,0.00122812,0.00070889,0.00122735,0.00134389,0.0005774,0.00058822,0.00058394,0.00075034,0.00019735,0.00191996,0.00024105,0.00079522,0.00119502,0.00026175,0.00020183,0.00089938,0.00049834,0.00109299,0.0009849,0.0005127,0.00083631,0.00046771,0.00031573,0.00103738,0.00045619,0.00047499,0.00020884,0.00015666,0.00157162,0.00017097,0.00334662,0.00049878,0.00051956,0.00065544,0.00039701,0.00055912,0.0011903,0.00023608,0.00028819,0.00039012,0.00013633,0.00044344,0.00021975,0.00020688,0.00041372,0.00057057,0.00029593,0.00223058,0.00066174,0.0015964,0.00076272,0.00106435,0.00022012,0.00126399,0.00102765,0.00208871,0.00028623,0.00026482,0.00020816,0.0001815
14.0,0.00060115,0.00131411,0.000275,9.487e-05,0.00040781,0.0008225,0.00056899,0.00047606,0.00082237,0.00040143,0.00111744,0.00106416,0.00056277,0.00107748,0.00100944,0.00050915,0.00051231,0.00049335,0.00064323,0.0001685,0.00153041,0.00020324,0.00062626,0.00082347,0.00022304,0.00017247,0.00076177,0.00041881,0.00092575,0.00084241,0.00042955,0.00072973,0.00040876,0.00027369,0.00081977,0.00039645,0.00040088,0.00018581,0.00013336,0.00127289,0.00014799,0.00283428,0.00041857,0.00042377,0.00055705,0.00033607,0.00047952,0.00095873,0.00020176,0.00024994,0.00033823,0.00011651,0.00037356,0.00018891,0.00017771,0.00034911,0.00048887,0.00025591,0.0018861,0.00056694,0.00125812,0.00064044,0.00090056,0.00018853,0.00106006,0.00087041,0.00148031,0.00024483,0.00022552,0.00017512,0.00015472
15.0,0.00050875,0.00109629,0.00023609,8.406e-05,0.00033415,0.00066123,0.00048524,0.00041375,0.00067459,0.00035569,0.00091776,0.0009079,0.00045736,0.00092342,0.00077085,0.00044208,0.00044708,0.00043398,0.00055911,0.00014322,0.00126791,0.00018112,0.00058378,0.00070144,0.00019675,0.00014901,0.00065121,0.00035149,0.00079269,0.00072826,0.00037201,0.00063343,0.00035712,0.00024178,0.00070701,0.00034773,0.000345,0.00016598,0.00011469,0.00103594,0.00012863,0.00240305,0.00035831,0.00035604,0.00048301,0.00029296,0.00041606,0.00079139,0.00017459,0.0002173,0.00029698,0.00010068,0.00031775,0.00016401,0.00015354,0.00030182,0.00042165,0.00022148,0.00160104,0.00046986,0.00102637,0.00054584,0.00076299,0.00016087,0.00090183,0.00075552,0.0011442,0.0002119,0.00019468,0.0001502,0.00013451
20.0,0.00026366,0.00054063,0.00012858,4.713e-05,0.00019725,0.00031124,0.00026789,0.000254,0.0003474,0.00017831,0.00037044,0.00051059,0.00025375,0.00040259,0.00044811,0.00024123,0.00024046,0.00024966,0.00031654,7.357e-05,0.00068526,0.00010229,0.00033046,0.0002585,0.00011932,8.477e-05,0.00033295,0.00019588,0.00042108,0.00039954,0.0002045,0.00032907,0.00018685,0.00013254,0.00039435,0.00019842,0.00019126,9.583e-05,6.16e-05,0.00045597,6.941e-05,0.00116816,0.0001877,0.00018959,0.00027428,0.00016866,0.00023222,0.00041647,9.719e-05,0.000123,0.00017233,5.521e-05,0.0001642,9.018e-05,8.393e-05,0.00017055,0.00022956,0.00011775,0.00078327,0.00024278,0.00055506,0.00029263,0.00036211,8.808e-05,0.00050378,0.00032758,0.00048903,0.00011724,0.00010727,8.444e-05,7.436e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-943 Horizontal-1 pSa (g),RSN-943 Horizontal-2 pSa (g),RSN-943 Vertical pSa (g),RSN-944 Horizontal-1 pSa (g),RSN-944 Horizontal-2 pSa (g),RSN-944 Vertical pSa (g),RSN-946 Horizontal-1 pSa (g),RSN-946 Horizontal-2 pSa (g),RSN-946 Vertical pSa (g),RSN-948 Horizontal-1 pSa (g),RSN-948 Horizontal-2 pSa (g),RSN-948 Vertical pSa (g),RSN-950 Horizontal-1 pSa (g),RSN-950 Horizontal-2 pSa (g),RSN-950 Vertical pSa (g),RSN-951 Horizontal-1 pSa (g),RSN-951 Horizontal-2 pSa (g),RSN-951 Vertical pSa (g),RSN-955 Horizontal-1 pSa (g),RSN-955 Horizontal-2 pSa (g),RSN-955 Vertical pSa (g),RSN-956 Horizontal-1 pSa (g),RSN-956 Horizontal-2 pSa (g),RSN-956 Vertical pSa (g),RSN-958 Horizontal-1 pSa (g),RSN-958 Horizontal-2 pSa (g),RSN-958 Vertical pSa (g),RSN-961 Horizontal-1 pSa (g),RSN-961 Horizontal-2 pSa (g),RSN-961 Vertical pSa (g),RSN-962 Horizontal-1 pSa (g),RSN-962 Horizontal-2 pSa (g),RSN-962 Vertical pSa (g),RSN-964 Horizontal-1 pSa (g),RSN-964 Horizontal-2 pSa (g),RSN-964 Vertical pSa (g),RSN-965 Horizontal-1 pSa (g),RSN-965 Horizontal-2 pSa (g),RSN-965 Vertical pSa (g),RSN-966 Horizontal-1 pSa (g),RSN-966 Horizontal-2 pSa (g),RSN-966 Vertical pSa (g),RSN-967 Horizontal-1 pSa (g),RSN-967 Horizontal-2 pSa (g),RSN-967 Vertical pSa (g),RSN-968 Horizontal-1 pSa (g),RSN-968 Horizontal-2 pSa (g),RSN-968 Vertical pSa (g),RSN-969 Horizontal-1 pSa (g),RSN-969 Horizontal-2 pSa (g),RSN-969 Vertical pSa (g),RSN-970 Horizontal-1 pSa (g),RSN-970 Horizontal-2 pSa (g),RSN-970 Vertical pSa (g),RSN-972 Horizontal-1 pSa (g),RSN-972 Horizontal-2 pSa (g),RSN-972 Vertical pSa (g),RSN-973 Horizontal-1 pSa (g),RSN-973 Horizontal-2 pSa (g),RSN-973 Vertical pSa (g),RSN-975 Horizontal-1 pSa (g),RSN-975 Horizontal-2 pSa (g),RSN-975 Vertical pSa (g),RSN-976 Horizontal-1 pSa (g),RSN-976 Horizontal-2 pSa (g),RSN-976 Vertical pSa (g),RSN-977 Horizontal-1 pSa (g),RSN-977 Horizontal-2 pSa (g),RSN-977 Vertical pSa (g),RSN-979 Horizontal-1 pSa (g),RSN-979 Horizontal-2 pSa (g),RSN-979 Vertical pSa (g),RSN-980 Horizontal-1 pSa (g),RSN-980 Horizontal-2 pSa (g),RSN-980 Vertical pSa (g),RSN-981 Horizontal-1 pSa (g),RSN-981 Horizontal-2 pSa (g),RSN-981 Vertical pSa (g),RSN-984 Horizontal-1 pSa (g),RSN-984 Horizontal-2 pSa (g),RSN-984 Vertical pSa (g),RSN-1014 Horizontal-1 pSa (g),RSN-1014 Horizontal-2 pSa (g),RSN-1014 Vertical pSa (g),RSN-1015 Horizontal-1 pSa (g),RSN-1015 Horizontal-2 pSa (g),RSN-1015 Vertical pSa (g),RSN-1017 Horizontal-1 pSa (g),RSN-1017 Horizontal-2 pSa (g),RSN-1017 Vertical pSa (g),RSN-1018 Horizontal-1 pSa (g),RSN-1018 Horizontal-2 pSa (g),RSN-1018 Vertical pSa (g),RSN-1024 Horizontal-1 pSa (g),RSN-1024 Horizontal-2 pSa (g),RSN-1024 Vertical pSa (g),RSN-1025 Horizontal-1 pSa (g),RSN-1025 Horizontal-2 pSa (g),RSN-1025 Vertical pSa (g),RSN-1033 Horizontal-1 pSa (g),RSN-1033 Horizontal-2 pSa (g),RSN-1033 Vertical pSa (g),RSN-1036 Horizontal-1 pSa (g),RSN-1036 Horizontal-2 pSa (g),RSN-1036 Vertical pSa (g),RSN-1037 Horizontal-1 pSa (g),RSN-1037 Horizontal-2 pSa (g),RSN-1037 Vertical pSa (g),RSN-1038 Horizontal-1 pSa (g),RSN-1038 Horizontal-2 pSa (g),RSN-1038 Vertical pSa (g),RSN-1040 Horizontal-1 pSa (g),RSN-1040 Horizontal-2 pSa (g),RSN-1040 Vertical pSa (g),RSN-1043 Horizontal-1 pSa (g),RSN-1043 Horizontal-2 pSa (g),RSN-1043 Vertical pSa (g),RSN-1046 Horizontal-1 pSa (g),RSN-1046 Horizontal-2 pSa (g),RSN-1046 Vertical pSa (g),RSN-1047 Horizontal-1 pSa (g),RSN-1047 Horizontal-2 pSa (g),RSN-1047 Vertical pSa (g),RSN-1053 Horizontal-1 pSa (g),RSN-1053 Horizontal-2 pSa (g),RSN-1053 Vertical pSa (g),RSN-1056 Horizontal-1 pSa (g),RSN-1056 Horizontal-2 pSa (g),RSN-1056 Vertical pSa (g),RSN-1058 Horizontal-1 pSa (g),RSN-1058 Horizontal-2 pSa (g),RSN-1058 Vertical pSa (g),RSN-1059 Horizontal-1 pSa (g),RSN-1059 Horizontal-2 pSa (g),RSN-1059 Vertical pSa (g),RSN-1060 Horizontal-1 pSa (g),RSN-1060 Horizontal-2 pSa (g),RSN-1060 Vertical pSa (g),RSN-1061 Horizontal-1 pSa (g),RSN-1061 Horizontal-2 pSa (g),RSN-1061 Vertical pSa (g),RSN-1062 Horizontal-1 pSa (g),RSN-1062 Horizontal-2 pSa (g),RSN-1062 Vertical pSa (g),RSN-1064 Horizontal-1 pSa (g),RSN-1064 Horizontal-2 pSa (g),RSN-1064 Vertical pSa (g),RSN-1065 Horizontal-1 pSa (g),RSN-1065 Horizontal-2 pSa (g),RSN-1065 Vertical pSa (g),RSN-1066 Horizontal-1 pSa (g),RSN-1066 Horizontal-2 pSa (g),RSN-1066 Vertical pSa (g),RSN-1067 Horizontal-1 pSa (g),RSN-1067 Horizontal-2 pSa (g),RSN-1067 Vertical pSa (g),RSN-1069 Horizontal-1 pSa (g),RSN-1069 Horizontal-2 pSa (g),RSN-1069 Vertical pSa (g),RSN-1071 Horizontal-1 pSa (g),RSN-1071 Horizontal-2 pSa (g),RSN-1071 Vertical pSa (g),RSN-1073 Horizontal-1 pSa (g),RSN-1073 Horizontal-2 pSa (g),RSN-1073 Vertical pSa (g),RSN-1074 Horizontal-1 pSa (g),RSN-1074 Horizontal-2 pSa (g),RSN-1074 Vertical pSa (g),RSN-1075 Horizontal-1 pSa (g),RSN-1075 Horizontal-2 pSa (g),RSN-1075 Vertical pSa (g),RSN-1076 Horizontal-1 pSa (g),RSN-1076 Horizontal-2 pSa (g),RSN-1076 Vertical pSa (g),RSN-1079 Horizontal-1 pSa (g),RSN-1079 Horizontal-2 pSa (g),RSN-1079 Vertical pSa (g),RSN-1088 Horizontal-1 pSa (g),RSN-1088 Horizontal-2 pSa (g),RSN-1088 Vertical pSa (g),RSN-1090 Horizontal-1 pSa (g),RSN-1090 Horizontal-2 pSa (g),RSN-1090 Vertical pSa (g),RSN-1092 Horizontal-1 pSa (g),RSN-1092 Horizontal-2 pSa (g),RSN-1092 Vertical pSa (g),RSN-1093 Horizontal-1 pSa (g),RSN-1093 Horizontal-2 pSa (g),RSN-1093 Vertical pSa (g),RSN-1094 Horizontal-1 pSa (g),RSN-1094 Horizontal-2 pSa (g),RSN-1094 Vertical pSa (g),RSN-1095 Horizontal-1 pSa (g),RSN-1095 Horizontal-2 pSa (g),RSN-1095 Vertical pSa (g),RSN-1096 Horizontal-1 pSa (g),RSN-1096 Horizontal-2 pSa (g),RSN-1096 Vertical pSa (g),RSN-1097 Horizontal-1 pSa (g),RSN-1097 Horizontal-2 pSa (g),RSN-1097 Vertical pSa (g),RSN-1098 Horizontal-1 pSa (g),RSN-1098 Horizontal-2 pSa (g),RSN-1098 Vertical pSa (g)
0.01,0.0682027,0.03711952,0.0131,0.07476378,0.06730077,0.0444,0.04656015,0.06909713,0.0297,0.09245793,0.1185097,0.06,0.09812546,0.1361225,0.0474,0.1026946,0.06510904,0.053,0.09911065,0.1030483,0.0395,0.1506955,0.09526527,0.0308,0.1255382,0.1211923,0.0511,0.09818698,0.09292186,0.0493,0.09243408,0.09040496,0.0475,0.09031277,0.1271914,0.0447,0.07511356,0.06784754,0.0584,0.1057776,0.08261514,0.0447,0.1441146,0.1653307,0.0577,0.1607434,0.2326413,0.133,0.08105807,0.02810477,0.0501,0.1271218,0.159402,0.0627,0.1051315,0.1006185,0.0249,0.1053653,0.1065638,,0.046969,0.09420079,0.0473,0.0752902,0.04838213,0.041,0.06449286,0.04614948,0.0274,0.08974125,0.07790442,0.0203,0.0911815,0.07091606,0.0189,0.09348881,0.1023481,0.0559,0.2127523,0.135033,0.0582,0.03693524,0.05267855,0.0211,0.0659928,0.06972319,0.0398,0.1079487,0.2118226,0.0603,0.09696807,0.114964,0.0501,0.1345713,0.1273121,0.0572,0.06436846,0.08266696,0.046,0.0727369,0.06071957,0.0343,0.03747012,0.05325282,0.0268,0.05089066,0.06016262,0.0236,0.1805528,0.1303983,0.0816,0.08092657,0.07065215,0.0345,0.05629991,0.06937638,0.0474,0.04150002,0.06159158,0.0174,0.1039905,0.0855105,0.0213,0.06224463,0.06725641,0.0411,0.0478453,0.05773095,0.0343,0.1360097,0.2260979,0.0685,0.1042992,0.08622456,0.0375,0.07279543,0.05183647,0.0179,0.07329398,0.0544423,0.0438,0.1558106,0.1256367,0.0749,0.05979554,0.06475396,0.0221,0.1163698,0.1072536,0.0412,0.07650192,0.04010024,0.0235,0.03458376,0.06943098,0.0132,0.08518674,0.09685872,0.0445,0.0815383,0.09988554,0.0127,0.1017295,0.09599876,0.0713,0.09134115,0.09932353,0.0445,0.07784155,0.06938786,0.0397,0.1405336,0.1303007,0.0543,0.06271925,0.08483612,0.0374,0.1489087,0.1903216,0.0506,0.07025474,0.07217273,0.0256,0.05449845,0.07549506,0.0252,0.04027797,0.04592845,0.0266,0.06582713,0.06808308,0.0525,0.07583171,0.0448327,0.0243,0.05680466,0.03719456,0.0345,0.04283926,0.04246251,0.0215,0.04770717,0.06028263,0.0354
0.02,0.06885575,0.03748629,0.0132,0.07411091,0.06664939,0.0437,0.04703622,0.06935033,0.0296,0.09110399,0.1181625,0.0593,0.09696101,0.1355816,0.048,0.1023437,0.06410547,0.0525,0.09762064,0.1018205,0.0389,0.1497854,0.09396076,0.0321,0.1267323,0.122174,0.051,0.09764925,0.09183022,0.0488,0.09160673,0.08908782,0.0473,0.08955299,0.1242146,0.0437,0.0747676,0.06768029,0.0581,0.104909,0.0818182,0.0441,0.1430029,0.1637079,0.0591,0.1630213,0.2357275,0.134,0.07965642,0.0285958,0.0495,0.1262027,0.1577315,0.0639,0.1064954,0.1020058,0.0251,0.1041131,0.1059301,,0.04662732,0.09287667,0.0465,0.07417212,0.04803187,0.0408,0.06383821,0.04615267,0.0272,0.08957488,0.07722133,0.02,0.09186529,0.07170942,0.019,0.09355005,0.1034185,0.056,0.2148159,0.1370181,0.0582,0.0373101,0.05294069,0.0213,0.06662066,0.0703957,0.0399,0.1072896,0.2114065,0.0594,0.09655954,0.1145038,0.0494,0.133399,0.1257893,0.0586,0.06509015,0.08345608,0.0463,0.07236794,0.06111408,0.0337,0.03761106,0.05382272,0.0269,0.05128219,0.06087035,0.0237,0.1817298,0.1292998,0.0808,0.08016095,0.06978452,0.0339,0.05585369,0.06923919,0.0473,0.04195025,0.06222493,0.0175,0.1030693,0.08502188,0.0213,0.06142883,0.06703416,0.0411,0.04723286,0.05839517,0.0342,0.137355,0.2291852,0.0687,0.105507,0.08674457,0.0376,0.07185901,0.05144044,0.0181,0.07405191,0.05498929,0.0441,0.1544235,0.1247089,0.0746,0.06047276,0.06549125,0.0222,0.117773,0.1085781,0.0414,0.07734986,0.04057008,0.0236,0.03400638,0.0687901,0.0135,0.08468343,0.09596248,0.0446,0.08125354,0.09921958,0.0123,0.1028128,0.0971339,0.0718,0.09140862,0.09880156,0.0454,0.07851756,0.07005008,0.0401,0.1394896,0.1283504,0.0551,0.06209776,0.08488192,0.0371,0.1483375,0.1907941,0.0502,0.06901123,0.07117403,0.0254,0.05503303,0.07608422,0.0254,0.03969935,0.04576957,0.0262,0.06492498,0.06749245,0.0529,0.07564914,0.04461265,0.024,0.05682999,0.03710225,0.0341,0.04293275,0.04295519,0.0217,0.04758579,0.06040378,0.0349
