
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 80.0
Rrup Max (km):, 100.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
11, SRSS, 1310, -, 1.0, -, 34.2, 53.8, 0.4, "Chi-Chi_ Taiwan", 1999, "ILA004", 7.62, Reverse Oblique, 86.61, 88.89, 124.27, 0.0625, 1.0, RSN1310_CHICHI_ILA004-N.AT2, RSN1310_CHICHI_ILA004-W.AT2 , RSN1310_CHICHI_ILA004-V.AT2  
12, SRSS, 1311, -, 1.0, -, 22.9, 52.1, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA005", 7.62, Reverse Oblique, 84.88, 87.2, 239.33, 0.025, 1.0, RSN1311_CHICHI_ILA005-N.AT2, RSN1311_CHICHI_ILA005-W.AT2 , RSN1311_CHICHI_ILA005-V.AT2  
13, SRSS, 1312, -, 1.0, -, 13.1, 33.3, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA006", 7.62, Reverse Oblique, 82.69, 85.07, 279.41, 0.025, 1.0, RSN1312_CHICHI_ILA006-N.AT2, RSN1312_CHICHI_ILA006-W.AT2 , RSN1312_CHICHI_ILA006-V.AT2  
14, SRSS, 1313, -, 1.0, -, 12.2, 22.6, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA007", 7.62, Reverse Oblique, 81.65, 84.07, 496.27, 0.025, 1.0, RSN1313_CHICHI_ILA007-N.AT2, RSN1313_CHICHI_ILA007-W.AT2 , RSN1313_CHICHI_ILA007-V.AT2  
15, SRSS, 1314, -, 1.0, -, 25.6, 44.0, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA008", 7.62, Reverse Oblique, 82.4, 84.8, 299.28, 0.05, 1.0, RSN1314_CHICHI_ILA008-N.AT2, RSN1314_CHICHI_ILA008-W.AT2 , RSN1314_CHICHI_ILA008-V.AT2  
16, SRSS, 1315, -, 1.0, -, 14.6, 29.2, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA010", 7.62, Reverse Oblique, 77.64, 80.18, 573.04, 0.025, 1.0, RSN1315_CHICHI_ILA010-N.AT2, RSN1315_CHICHI_ILA010-W.AT2 , RSN1315_CHICHI_ILA010-V.AT2  
17, SRSS, 1316, -, 1.0, -, 15.7, 29.7, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA012", 7.62, Reverse Oblique, 85.88, 88.18, 259.21, 0.0625, 1.0, RSN1316_CHICHI_ILA012-N.AT2, RSN1316_CHICHI_ILA012-W.AT2 , RSN1316_CHICHI_ILA012-V.AT2  
18, SRSS, 1317, -, 1.0, -, 13.1, 33.7, 0.6, "Chi-Chi_ Taiwan", 1999, "ILA013", 7.62, Reverse Oblique, 81.7, 84.12, 199.48, 0.025, 1.0, RSN1317_CHICHI_ILA013-N.AT2, RSN1317_CHICHI_ILA013-W.AT2 , RSN1317_CHICHI_ILA013-V.AT2  
19, SRSS, 1318, -, 1.0, -, 13.6, 29.1, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA014", 7.62, Reverse Oblique, 78.15, 80.66, 300.77, 0.0375, 1.0, RSN1318_CHICHI_ILA014-N.AT2, RSN1318_CHICHI_ILA014-W.AT2 , RSN1318_CHICHI_ILA014-V.AT2  
20, SRSS, 1319, -, 1.0, -, 16.5, 28.0, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA015", 7.62, Reverse Oblique, 83.02, 85.4, 782.59, 0.0625, 1.0, RSN1319_CHICHI_ILA015-N.AT2, RSN1319_CHICHI_ILA015-W.AT2 , RSN1319_CHICHI_ILA015-V.AT2  
21, SRSS, 1320, -, 1.0, -, 14.1, 25.4, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA016", 7.62, Reverse Oblique, 79.9, 82.36, 271.1, 0.0625, 1.0, RSN1320_CHICHI_ILA016-N.AT2, RSN1320_CHICHI_ILA016-W.AT2 , RSN1320_CHICHI_ILA016-V.AT2  
22, SRSS, 1323, -, 1.0, -, 15.1, 38.1, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA027", 7.62, Reverse Oblique, 80.79, 83.22, 215.0, 0.125, 1.0, RSN1323_CHICHI_ILA027-E.AT2, RSN1323_CHICHI_ILA027-N.AT2 , RSN1323_CHICHI_ILA027-V.AT2  
23, SRSS, 1324, -, 1.0, -, 17.1, 32.1, 0.3, "Chi-Chi_ Taiwan", 1999, "ILA030", 7.62, Reverse Oblique, 83.25, 85.62, 200.98, 0.025, 1.0, RSN1324_CHICHI_ILA030-E.AT2, RSN1324_CHICHI_ILA030-N.AT2 , RSN1324_CHICHI_ILA030-V.AT2  
24, SRSS, 1325, -, 1.0, -, 11.6, 20.2, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA031", 7.62, Reverse Oblique, 80.88, 83.31, 649.25, 0.0, 1.0, RSN1325_CHICHI_ILA031-E.AT2, RSN1325_CHICHI_ILA031-N.AT2 , RSN1325_CHICHI_ILA031-V.AT2  
25, SRSS, 1326, -, 1.0, -, 9.8, 22.2, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA032", 7.62, Reverse Oblique, 81.81, 84.22, 295.48, 0.1625, 1.0, RSN1326_CHICHI_ILA032-E.AT2, RSN1326_CHICHI_ILA032-N.AT2 , RSN1326_CHICHI_ILA032-V.AT2  
26, SRSS, 1327, -, 1.0, -, 11.2, 21.7, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA035", 7.62, Reverse Oblique, 91.27, 93.43, 293.01, 0.1625, 1.0, RSN1327_CHICHI_ILA035-E.AT2, RSN1327_CHICHI_ILA035-N.AT2 , RSN1327_CHICHI_ILA035-V.AT2  
27, SRSS, 1328, -, 1.0, -, 18.4, 28.5, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA036", 7.62, Reverse Oblique, 87.73, 89.98, 181.0, 0.0625, 1.0, RSN1328_CHICHI_ILA036-E.AT2, RSN1328_CHICHI_ILA036-N.AT2 , RSN1328_CHICHI_ILA036-V.AT2  
28, SRSS, 1329, -, 1.0, -, 16.8, 28.8, 0.3, "Chi-Chi_ Taiwan", 1999, "ILA037", 7.62, Reverse Oblique, 81.69, 84.11, 210.17, 0.0625, 1.0, RSN1329_CHICHI_ILA037-E.AT2, RSN1329_CHICHI_ILA037-N.AT2 , RSN1329_CHICHI_ILA037-V.AT2  
29, SRSS, 1330, -, 1.0, -, 14.8, 26.7, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA039", 7.62, Reverse Oblique, 83.75, 86.11, 227.18, 0.1875, 1.0, RSN1330_CHICHI_ILA039-E.AT2, RSN1330_CHICHI_ILA039-N.AT2 , RSN1330_CHICHI_ILA039-V.AT2  
30, SRSS, 1331, -, 1.0, -, 26.9, 49.5, 0.4, "Chi-Chi_ Taiwan", 1999, "ILA041", 7.62, Reverse Oblique, 85.66, 87.97, 196.88, 0.025, 1.0, RSN1331_CHICHI_ILA041-N.AT2, RSN1331_CHICHI_ILA041-W.AT2 , RSN1331_CHICHI_ILA041-V.AT2  
31, SRSS, 1332, -, 1.0, -, 18.2, 43.5, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA042", 7.62, Reverse Oblique, 83.31, 85.68, 209.36, 0.025, 1.0, RSN1332_CHICHI_ILA042-E.AT2, RSN1332_CHICHI_ILA042-N.AT2 , RSN1332_CHICHI_ILA042-V.AT2  
32, SRSS, 1334, -, 1.0, -, 18.8, 40.8, 0.3, "Chi-Chi_ Taiwan", 1999, "ILA044", 7.62, Reverse Oblique, 78.0, 80.53, 158.13, 0.05, 1.0, RSN1334_CHICHI_ILA044-N.AT2, RSN1334_CHICHI_ILA044-W.AT2 , RSN1334_CHICHI_ILA044-V.AT2  
33, SRSS, 1336, -, 1.0, -, 29.3, 40.4, 0.4, "Chi-Chi_ Taiwan", 1999, "ILA048", 7.62, Reverse Oblique, 86.67, 88.95, 199.59, 0.0375, 1.0, RSN1336_CHICHI_ILA048-N.AT2, RSN1336_CHICHI_ILA048-W.AT2 , RSN1336_CHICHI_ILA048-V.AT2  
34, SRSS, 1337, -, 1.0, -, 20.2, 33.9, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA049", 7.62, Reverse Oblique, 85.67, 87.97, 190.0, 0.025, 1.0, RSN1337_CHICHI_ILA049-E.AT2, RSN1337_CHICHI_ILA049-N.AT2 , RSN1337_CHICHI_ILA049-V.AT2  
35, SRSS, 1340, -, 1.0, -, 13.6, 23.0, 0.0, "Chi-Chi_ Taiwan", 1999, "ILA052", 7.62, Reverse Oblique, 82.74, 85.13, 612.47, 0.05, 1.0, RSN1340_CHICHI_ILA052-E.AT2, RSN1340_CHICHI_ILA052-N.AT2 , RSN1340_CHICHI_ILA052-V.AT2  
36, SRSS, 1342, -, 1.0, -, 34.0, 60.4, 0.4, "Chi-Chi_ Taiwan", 1999, "ILA055", 7.62, Reverse Oblique, 88.05, 90.3, 266.77, 0.0625, 1.0, RSN1342_CHICHI_ILA055-N.AT2, RSN1342_CHICHI_ILA055-W.AT2 , RSN1342_CHICHI_ILA055-V.AT2  
37, SRSS, 1343, -, 1.0, -, 44.1, 52.3, 0.4, "Chi-Chi_ Taiwan", 1999, "ILA056", 7.62, Reverse Oblique, 89.84, 92.04, 223.71, 0.0625, 1.0, RSN1343_CHICHI_ILA056-N.AT2, RSN1343_CHICHI_ILA056-W.AT2 , RSN1343_CHICHI_ILA056-V.AT2  
38, SRSS, 1344, -, 1.0, -, 19.4, 46.8, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA059", 7.62, Reverse Oblique, 83.97, 86.32, 236.84, 0.05, 1.0, RSN1344_CHICHI_ILA059-N.AT2, RSN1344_CHICHI_ILA059-W.AT2 , RSN1344_CHICHI_ILA059-V.AT2  
39, SRSS, 1356, -, 1.0, -, 37.0, 46.6, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU010", 7.62, Reverse Oblique, 97.5, 98.16, 215.36, 0.0375, 1.0, RSN1356_CHICHI_KAU010-E.AT2, RSN1356_CHICHI_KAU010-N.AT2 , RSN1356_CHICHI_KAU010-V.AT2  
40, SRSS, 1358, -, 1.0, -, 27.3, 39.6, 0.2, "Chi-Chi_ Taiwan", 1999, "KAU012", 7.62, Reverse Oblique, 83.71, 84.61, 516.18, 0.0625, 1.0, RSN1358_CHICHI_KAU012-E.AT2, RSN1358_CHICHI_KAU012-N.AT2 , RSN1358_CHICHI_KAU012-V.AT2  
41, SRSS, 1362, -, 1.0, -, 29.2, 43.9, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU022", 7.62, Reverse Oblique, 96.84, 98.88, 217.05, 0.025, 1.0, RSN1362_CHICHI_KAU022-E.AT2, RSN1362_CHICHI_KAU022-N.AT2 , RSN1362_CHICHI_KAU022-V.AT2  
42, SRSS, 1376, -, 1.0, -, 29.7, 47.4, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU048", 7.62, Reverse Oblique, 91.46, 93.61, 295.66, 0.025, 1.0, RSN1376_CHICHI_KAU048-E.AT2, RSN1376_CHICHI_KAU048-N.AT2 , RSN1376_CHICHI_KAU048-V.AT2  
43, SRSS, 1384, -, 1.0, -, 34.6, 47.4, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU063", 7.62, Reverse Oblique, 92.78, 92.83, 227.24, 0.0375, 1.0, RSN1384_CHICHI_KAU063-E.AT2, RSN1384_CHICHI_KAU063-N.AT2 , RSN1384_CHICHI_KAU063-V.AT2  
44, SRSS, 1391, -, 1.0, -, 32.4, 41.3, 0.0, "Chi-Chi_ Taiwan", 1999, "KAU077", 7.62, Reverse Oblique, 80.51, 82.96, 665.2, 0.0375, 1.0, RSN1391_CHICHI_KAU077-E.AT2, RSN1391_CHICHI_KAU077-N.AT2 , RSN1391_CHICHI_KAU077-V.AT2  
45, SRSS, 1392, -, 1.0, -, 26.8, 37.4, 0.1, "Chi-Chi_ Taiwan", 1999, "KAU078", 7.62, Reverse Oblique, 86.72, 88.99, 531.85, 0.025, 1.0, RSN1392_CHICHI_KAU078-E.AT2, RSN1392_CHICHI_KAU078-N.AT2 , RSN1392_CHICHI_KAU078-V.AT2  
46, SRSS, 1396, -, 1.0, -, 35.0, 57.9, 0.2, "Chi-Chi_ Taiwan", 1999, "KAU085", 7.62, Reverse Oblique, 85.95, 86.54, 260.75, 0.0375, 1.0, RSN1396_CHICHI_KAU085-N.AT2, RSN1396_CHICHI_KAU085-W.AT2 , RSN1396_CHICHI_KAU085-V.AT2  
47, SRSS, 1397, -, 1.0, -, 40.2, 58.6, 0.2, "Chi-Chi_ Taiwan", 1999, "KAU086", 7.62, Reverse Oblique, 95.87, 96.59, 216.8, 0.0375, 1.0, RSN1397_CHICHI_KAU086-N.AT2, RSN1397_CHICHI_KAU086-W.AT2 , RSN1397_CHICHI_KAU086-V.AT2  
48, SRSS, 1406, -, 1.0, -, 23.8, 34.4, 0.0, "Chi-Chi_ Taiwan", 1999, "SSD", 7.62, Reverse Oblique, 83.38, 85.75, 535.13, 0.375, 1.0, RSN1406_CHICHI_SSD-E.AT2, RSN1406_CHICHI_SSD-N.AT2 , RSN1406_CHICHI_SSD-V.AT2  
49, SRSS, 1419, -, 1.0, -, 14.3, 35.7, 0.6, "Chi-Chi_ Taiwan", 1999, "TAP017", 7.62, Reverse Oblique, 97.69, 98.93, 217.83, 0.0375, 1.0, RSN1419_CHICHI_TAP017-N.AT2, RSN1419_CHICHI_TAP017-E.AT2 , RSN1419_CHICHI_TAP017-V.AT2  
50, SRSS, 1422, -, 1.0, -, 18.0, 34.8, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP024", 7.62, Reverse Oblique, 94.87, 96.39, 194.98, 0.025, 1.0, RSN1422_CHICHI_TAP024-S.AT2, RSN1422_CHICHI_TAP024-W.AT2 , RSN1422_CHICHI_TAP024-V.AT2  
51, SRSS, 1423, -, 1.0, -, 13.0, 31.3, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP026", 7.62, Reverse Oblique, 95.84, 97.64, 194.28, 0.0375, 1.0, RSN1423_CHICHI_TAP026-N.AT2, RSN1423_CHICHI_TAP026-E.AT2 , RSN1423_CHICHI_TAP026-V.AT2  
52, SRSS, 1424, -, 1.0, -, 16.7, 27.3, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP028", 7.62, Reverse Oblique, 94.73, 96.59, 287.94, 0.025, 1.0, RSN1424_CHICHI_TAP028-N.AT2, RSN1424_CHICHI_TAP028-E.AT2 , RSN1424_CHICHI_TAP028-V.AT2  
53, SRSS, 1425, -, 1.0, -, 9.0, 20.9, 0.5, "Chi-Chi_ Taiwan", 1999, "TAP032", 7.62, Reverse Oblique, 93.15, 94.84, 308.88, 0.0375, 1.0, RSN1425_CHICHI_TAP032-E.AT2, RSN1425_CHICHI_TAP032-N.AT2 , RSN1425_CHICHI_TAP032-V.AT2  
54, SRSS, 1426, -, 1.0, -, 17.8, 25.1, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP034", 7.62, Reverse Oblique, 90.59, 92.73, 538.69, 0.025, 1.0, RSN1426_CHICHI_TAP034-E.AT2, RSN1426_CHICHI_TAP034-N.AT2 , RSN1426_CHICHI_TAP034-V.AT2  
55, SRSS, 1427, -, 1.0, -, 15.1, 22.5, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP035", 7.62, Reverse Oblique, 87.67, 89.91, 438.13, 0.025, 1.0, RSN1427_CHICHI_TAP035-E.AT2, RSN1427_CHICHI_TAP035-N.AT2 , RSN1427_CHICHI_TAP035-V.AT2  
56, SRSS, 1428, -, 1.0, -, 15.4, 22.7, 0.0, "Chi-Chi_ Taiwan", 1999, "TAP036", 7.62, Reverse Oblique, 86.16, 88.45, 671.52, 0.025, 1.0, RSN1428_CHICHI_TAP036-E.AT2, RSN1428_CHICHI_TAP036-N.AT2 , RSN1428_CHICHI_TAP036-V.AT2  
57, SRSS, 1431, -, 1.0, -, 14.9, 29.2, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP043", 7.62, Reverse Oblique, 89.96, 91.19, 388.16, 0.025, 1.0, RSN1431_CHICHI_TAP043-E.AT2, RSN1431_CHICHI_TAP043-N.AT2 , RSN1431_CHICHI_TAP043-V.AT2  
58, SRSS, 1433, -, 1.0, -, 14.3, 28.3, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP047", 7.62, Reverse Oblique, 83.57, 84.46, 403.2, 0.025, 1.0, RSN1433_CHICHI_TAP047-E.AT2, RSN1433_CHICHI_TAP047-N.AT2 , RSN1433_CHICHI_TAP047-V.AT2  
59, SRSS, 1436, -, 1.0, -, 13.9, 25.6, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP052", 7.62, Reverse Oblique, 98.51, 99.24, 433.88, 0.025, 1.0, RSN1436_CHICHI_TAP052-E.AT2, RSN1436_CHICHI_TAP052-N.AT2 , RSN1436_CHICHI_TAP052-V.AT2  
60, SRSS, 1437, -, 1.0, -, 13.3, 21.7, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP053", 7.62, Reverse Oblique, 90.34, 92.42, 538.69, 0.0375, 1.0, RSN1437_CHICHI_TAP053-E.AT2, RSN1437_CHICHI_TAP053-N.AT2 , RSN1437_CHICHI_TAP053-V.AT2  
61, SRSS, 1442, -, 1.0, -, 15.8, 25.8, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP067", 7.62, Reverse Oblique, 95.31, 97.39, 807.68, 0.025, 1.0, RSN1442_CHICHI_TAP067-E.AT2, RSN1442_CHICHI_TAP067-N.AT2 , RSN1442_CHICHI_TAP067-V.AT2  
62, SRSS, 1452, -, 1.0, -, 17.7, 29.0, 0.1, "Chi-Chi_ Taiwan", 1999, "TAP086", 7.62, Reverse Oblique, 92.01, 94.16, 887.68, 0.025, 1.0, RSN1452_CHICHI_TAP086-E.AT2, RSN1452_CHICHI_TAP086-N.AT2 , RSN1452_CHICHI_TAP086-V.AT2  
63, SRSS, 1457, -, 1.0, -, 16.0, 29.1, 0.2, "Chi-Chi_ Taiwan", 1999, "TAP097", 7.62, Reverse Oblique, 97.26, 99.16, 237.23, 0.0375, 1.0, RSN1457_CHICHI_TAP097-N.AT2, RSN1457_CHICHI_TAP097-W.AT2 , RSN1457_CHICHI_TAP097-V.AT2  
64, SRSS, 1463, -, 1.0, -, 25.1, 40.5, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU003", 7.62, Reverse Oblique, 86.57, 86.57, 517.33, 0.0375, 1.0, RSN1463_CHICHI_TCU003-E.AT2, RSN1463_CHICHI_TCU003-N.AT2 , RSN1463_CHICHI_TCU003-V.AT2  
65, SRSS, 1465, -, 1.0, -, 18.1, 33.4, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU007", 7.62, Reverse Oblique, 87.63, 88.2, 463.88, 0.025, 1.0, RSN1465_CHICHI_TCU007-E.AT2, RSN1465_CHICHI_TCU007-N.AT2 , RSN1465_CHICHI_TCU007-V.AT2  
66, SRSS, 1466, -, 1.0, -, 27.3, 40.4, 0.3, "Chi-Chi_ Taiwan", 1999, "TCU008", 7.62, Reverse Oblique, 84.95, 85.09, 441.58, 0.025, 1.0, RSN1466_CHICHI_TCU008-E.AT2, RSN1466_CHICHI_TCU008-N.AT2 , RSN1466_CHICHI_TCU008-V.AT2  
67, SRSS, 1467, -, 1.0, -, 21.3, 33.9, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU009", 7.62, Reverse Oblique, 80.83, 81.08, 460.1, 0.025, 1.0, RSN1467_CHICHI_TCU009-E.AT2, RSN1467_CHICHI_TCU009-N.AT2 , RSN1467_CHICHI_TCU009-V.AT2  
68, SRSS, 1468, -, 1.0, -, 25.3, 39.7, 0.3, "Chi-Chi_ Taiwan", 1999, "TCU010", 7.62, Reverse Oblique, 82.23, 82.27, 446.15, 0.0375, 1.0, RSN1468_CHICHI_TCU010-E.AT2, RSN1468_CHICHI_TCU010-N.AT2 , RSN1468_CHICHI_TCU010-V.AT2  
69, SRSS, 1470, -, 1.0, -, 18.5, 34.9, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU014", 7.62, Reverse Oblique, 92.26, 92.7, 496.47, 0.025, 1.0, RSN1470_CHICHI_TCU014-E.AT2, RSN1470_CHICHI_TCU014-N.AT2 , RSN1470_CHICHI_TCU014-V.AT2  
70, SRSS, 1516, -, 1.0, -, 24.5, 37.4, 0.3, "Chi-Chi_ Taiwan", 1999, "TCU083", 7.62, Reverse Oblique, 80.18, 80.32, 354.63, 0.025, 1.0, RSN1516_CHICHI_TCU083-E.AT2, RSN1516_CHICHI_TCU083-N.AT2 , RSN1516_CHICHI_TCU083-V.AT2  
71, SRSS, 1522, -, 1.0, -, 17.3, 32.0, 0.2, "Chi-Chi_ Taiwan", 1999, "TCU092", 7.62, Reverse Oblique, 87.67, 88.07, 422.28, 0.025, 1.0, RSN1522_CHICHI_TCU092-E.AT2, RSN1522_CHICHI_TCU092-N.AT2 , RSN1522_CHICHI_TCU092-V.AT2  
72, SRSS, 1559, -, 1.0, -, 25.7, 36.7, 0.0, "Chi-Chi_ Taiwan", 1999, "TTN003", 7.62, Reverse Oblique, 92.86, 94.99, 506.64, 0.0375, 1.0, RSN1559_CHICHI_TTN003-N.AT2, RSN1559_CHICHI_TTN003-W.AT2 , RSN1559_CHICHI_TTN003-V.AT2  
73, SRSS, 1561, -, 1.0, -, 25.7, 41.4, 0.0, "Chi-Chi_ Taiwan", 1999, "TTN005", 7.62, Reverse Oblique, 80.39, 82.84, 407.59, 0.0375, 1.0, RSN1561_CHICHI_TTN005-E.AT2, RSN1561_CHICHI_TTN005-N.AT2 , RSN1561_CHICHI_TTN005-V.AT2  
