
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 80.0
Rrup Max (km):, 100.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1192, -, 1.0, -, 28.7, 56.0, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY023", 7.62, Reverse Oblique, 81.07, 81.28, 279.78, 0.0375, 1.0, RSN1192_CHICHI_CHY023-N.AT2, RSN1192_CHICHI_CHY023-W.AT2 , RSN1192_CHICHI_CHY023-V.AT2  
2, SRSS, 1221, -, 1.0, -, 21.7, 38.0, 0.5, "Chi-Chi_ Taiwan", 1999, "CHY065", 7.62, Reverse Oblique, 82.78, 83.43, 250.0, 0.0375, 1.0, RSN1221_CHICHI_CHY065-E.AT2, RSN1221_CHICHI_CHY065-N.AT2 , RSN1221_CHICHI_CHY065-V.AT2  
3, SRSS, 1222, -, 1.0, -, 43.4, 86.6, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY066", 7.62, Reverse Oblique, 89.38, 89.48, 211.97, 0.0375, 1.0, RSN1222_CHICHI_CHY066-N.AT2, RSN1222_CHICHI_CHY066-W.AT2 , RSN1222_CHICHI_CHY066-V.AT2  
4, SRSS, 1223, -, 1.0, -, 37.2, 76.2, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY067", 7.62, Reverse Oblique, 83.56, 83.56, 227.97, 0.0375, 1.0, RSN1223_CHICHI_CHY067-N.AT2, RSN1223_CHICHI_CHY067-W.AT2 , RSN1223_CHICHI_CHY067-V.AT2  
5, SRSS, 1224, -, 1.0, -, 32.1, 46.2, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY069", 7.62, Reverse Oblique, 86.01, 86.02, 224.42, 0.025, 1.0, RSN1224_CHICHI_CHY069-E.AT2, RSN1224_CHICHI_CHY069-N.AT2 , RSN1224_CHICHI_CHY069-V.AT2  
6, SRSS, 1225, -, 1.0, -, 29.1, 40.4, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY070", 7.62, Reverse Oblique, 83.54, 83.61, 265.45, 0.025, 1.0, RSN1225_CHICHI_CHY070-E.AT2, RSN1225_CHICHI_CHY070-N.AT2 , RSN1225_CHICHI_CHY070-V.AT2  
7, SRSS, 1241, -, 1.0, -, 36.5, 60.8, 0.1, "Chi-Chi_ Taiwan", 1999, "CHY096", 7.62, Reverse Oblique, 82.2, 82.26, 293.61, 0.05, 1.0, RSN1241_CHICHI_CHY096-N.AT2, RSN1241_CHICHI_CHY096-W.AT2 , RSN1241_CHICHI_CHY096-V.AT2  
8, SRSS, 1250, -, 1.0, -, 69.2, 134.2, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY116", 7.62, Reverse Oblique, 81.31, 81.31, 195.38, 0.0375, 1.0, RSN1250_CHICHI_CHY116-N.AT2, RSN1250_CHICHI_CHY116-W.AT2 , RSN1250_CHICHI_CHY116-V.AT2  
9, SRSS, 1308, -, 1.0, -, 18.0, 30.6, 0.1, "Chi-Chi_ Taiwan", 1999, "ILA002", 7.62, Reverse Oblique, 95.51, 97.58, 219.78, 0.05, 1.0, RSN1308_CHICHI_ILA002-N.AT2, RSN1308_CHICHI_ILA002-W.AT2 , RSN1308_CHICHI_ILA002-V.AT2  
10, SRSS, 1309, -, 1.0, -, 21.7, 48.1, 0.2, "Chi-Chi_ Taiwan", 1999, "ILA003", 7.62, Reverse Oblique, 90.62, 92.81, 263.82, 0.0625, 1.0, RSN1309_CHICHI_ILA003-N.AT2, RSN1309_CHICHI_ILA003-W.AT2 , RSN1309_CHICHI_ILA003-V.AT2  
