
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 0.0
Rrup Max (km):, 30.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1180, -, 1.0, -, 31.6, 54.4, 0.8, "Chi-Chi_ Taiwan", 1999, "CHY002", 7.62, Reverse Oblique, 24.96, 24.96, 235.13, 0.0375, 1.0, RSN1180_CHICHI_CHY002-N.AT2, RSN1180_CHICHI_CHY002-W.AT2 , RSN1180_CHICHI_CHY002-V.AT2  
2, SRSS, 1182, -, 1.0, 2.5704, 5.6, 26.7, 2.0, "Chi-Chi_ Taiwan", 1999, "CHY006", 7.62, Reverse Oblique, 9.76, 9.76, 438.19, 0.0375, 1.0, RSN1182_CHICHI_CHY006-N.AT2, RSN1182_CHICHI_CHY006-W.AT2 , RSN1182_CHICHI_CHY006-V.AT2  
3, SRSS, 1184, -, 1.0, -, 6.9, 29.8, 0.7, "Chi-Chi_ Taiwan", 1999, "CHY010", 7.62, Reverse Oblique, 19.93, 19.96, 538.69, 0.0375, 1.0, RSN1184_CHICHI_CHY010-N.AT2, RSN1184_CHICHI_CHY010-W.AT2 , RSN1184_CHICHI_CHY010-V.AT2  
4, SRSS, 1193, -, 1.0, 6.65, 13.8, 27.0, 1.8, "Chi-Chi_ Taiwan", 1999, "CHY024", 7.62, Reverse Oblique, 9.62, 9.62, 427.73, 0.025, 1.0, RSN1193_CHICHI_CHY024-E.AT2, RSN1193_CHICHI_CHY024-N.AT2 , RSN1193_CHICHI_CHY024-V.AT2  
5, SRSS, 1194, -, 1.0, -, 22.2, 35.3, 1.2, "Chi-Chi_ Taiwan", 1999, "CHY025", 7.62, Reverse Oblique, 19.07, 19.07, 277.5, 0.0625, 1.0, RSN1194_CHICHI_CHY025-E.AT2, RSN1194_CHICHI_CHY025-N.AT2 , RSN1194_CHICHI_CHY025-V.AT2  
6, SRSS, 1195, -, 1.0, -, 33.8, 44.7, 0.6, "Chi-Chi_ Taiwan", 1999, "CHY026", 7.62, Reverse Oblique, 29.52, 29.52, 226.01, 0.05, 1.0, RSN1195_CHICHI_CHY026-E.AT2, RSN1195_CHICHI_CHY026-N.AT2 , RSN1195_CHICHI_CHY026-V.AT2  
7, SRSS, 1197, -, 1.0, -, 4.8, 8.7, 5.9, "Chi-Chi_ Taiwan", 1999, "CHY028", 7.62, Reverse Oblique, 3.12, 3.12, 542.61, 0.15, 1.0, RSN1197_CHICHI_CHY028-E.AT2, RSN1197_CHICHI_CHY028-N.AT2 , RSN1197_CHICHI_CHY028-V.AT2  
8, SRSS, 1198, -, 1.0, -, 9.1, 32.3, 0.9, "Chi-Chi_ Taiwan", 1999, "CHY029", 7.62, Reverse Oblique, 10.96, 10.96, 544.74, 0.0375, 1.0, RSN1198_CHICHI_CHY029-E.AT2, RSN1198_CHICHI_CHY029-N.AT2 , RSN1198_CHICHI_CHY029-V.AT2  
9, SRSS, 1201, -, 1.0, -, 6.6, 29.9, 1.8, "Chi-Chi_ Taiwan", 1999, "CHY034", 7.62, Reverse Oblique, 14.82, 14.82, 378.75, 0.0375, 1.0, RSN1201_CHICHI_CHY034-N.AT2, RSN1201_CHICHI_CHY034-W.AT2 , RSN1201_CHICHI_CHY034-V.AT2  
10, SRSS, 1202, -, 1.0, -, 7.7, 27.9, 1.6, "Chi-Chi_ Taiwan", 1999, "CHY035", 7.62, Reverse Oblique, 12.6, 12.65, 573.04, 0.05, 1.0, RSN1202_CHICHI_CHY035-E.AT2, RSN1202_CHICHI_CHY035-N.AT2 , RSN1202_CHICHI_CHY035-V.AT2  
