
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 0.0
Rrup Max (km):, 30.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
11, SRSS, 1203, -, 1.0, -, 12.3, 32.8, 1.9, "Chi-Chi_ Taiwan", 1999, "CHY036", 7.62, Reverse Oblique, 16.04, 16.04, 233.14, 0.0625, 1.0, RSN1203_CHICHI_CHY036-E.AT2, RSN1203_CHICHI_CHY036-N.AT2 , RSN1203_CHICHI_CHY036-V.AT2  
12, SRSS, 1205, -, 1.0, -, 12.1, 30.2, 3.6, "Chi-Chi_ Taiwan", 1999, "CHY041", 7.62, Reverse Oblique, 19.37, 19.83, 492.26, 0.05, 1.0, RSN1205_CHICHI_CHY041-E.AT2, RSN1205_CHICHI_CHY041-N.AT2 , RSN1205_CHICHI_CHY041-V.AT2  
13, SRSS, 1206, -, 1.0, -, 24.2, 37.1, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY042", 7.62, Reverse Oblique, 27.47, 28.17, 665.2, 0.075, 1.0, RSN1206_CHICHI_CHY042-E.AT2, RSN1206_CHICHI_CHY042-N.AT2 , RSN1206_CHICHI_CHY042-V.AT2  
14, SRSS, 1208, -, 1.0, -, 21.2, 33.0, 0.8, "Chi-Chi_ Taiwan", 1999, "CHY046", 7.62, Reverse Oblique, 24.1, 24.1, 442.15, 0.05, 1.0, RSN1208_CHICHI_CHY046-E.AT2, RSN1208_CHICHI_CHY046-N.AT2 , RSN1208_CHICHI_CHY046-V.AT2  
15, SRSS, 1209, -, 1.0, -, 21.4, 34.9, 1.1, "Chi-Chi_ Taiwan", 1999, "CHY047", 7.62, Reverse Oblique, 24.13, 24.13, 169.52, 0.0375, 1.0, RSN1209_CHICHI_CHY047-N.AT2, RSN1209_CHICHI_CHY047-W.AT2 , RSN1209_CHICHI_CHY047-V.AT2  
16, SRSS, 1227, -, 1.0, -, 19.1, 32.0, 1.1, "Chi-Chi_ Taiwan", 1999, "CHY074", 7.62, Reverse Oblique, 0.7, 10.8, 553.43, 0.025, 1.0, RSN1227_CHICHI_CHY074-E.AT2, RSN1227_CHICHI_CHY074-N.AT2 , RSN1227_CHICHI_CHY074-V.AT2  
17, SRSS, 1231, -, 1.0, -, 7.0, 22.0, 9.3, "Chi-Chi_ Taiwan", 1999, "CHY080", 7.62, Reverse Oblique, 0.11, 2.69, 496.21, 0.125, 1.0, RSN1231_CHICHI_CHY080-E.AT2, RSN1231_CHICHI_CHY080-N.AT2 , RSN1231_CHICHI_CHY080-V.AT2  
18, SRSS, 1234, -, 1.0, -, 23.6, 31.4, 1.0, "Chi-Chi_ Taiwan", 1999, "CHY086", 7.62, Reverse Oblique, 27.57, 28.42, 665.2, 0.125, 1.0, RSN1234_CHICHI_CHY086-E.AT2, RSN1234_CHICHI_CHY086-N.AT2 , RSN1234_CHICHI_CHY086-V.AT2  
19, SRSS, 1235, -, 1.0, -, 19.0, 31.9, 0.6, "Chi-Chi_ Taiwan", 1999, "CHY087", 7.62, Reverse Oblique, 28.79, 28.91, 505.2, 0.0375, 1.0, RSN1235_CHICHI_CHY087-E.AT2, RSN1235_CHICHI_CHY087-N.AT2 , RSN1235_CHICHI_CHY087-V.AT2  
20, SRSS, 1238, -, 1.0, -, 26.3, 51.0, 1.0, "Chi-Chi_ Taiwan", 1999, "CHY092", 7.62, Reverse Oblique, 22.69, 22.69, 253.72, 0.0625, 1.0, RSN1238_CHICHI_CHY092-N.AT2, RSN1238_CHICHI_CHY092-W.AT2 , RSN1238_CHICHI_CHY092-V.AT2  
21, SRSS, 1244, -, 1.0, 5.341, 13.5, 30.4, 3.0, "Chi-Chi_ Taiwan", 1999, "CHY101", 7.62, Reverse Oblique, 9.94, 9.94, 258.89, 0.05, 1.0, RSN1244_CHICHI_CHY101-E.AT2, RSN1244_CHICHI_CHY101-N.AT2 , RSN1244_CHICHI_CHY101-V.AT2  
22, SRSS, 1246, -, 1.0, -, 26.1, 49.9, 1.5, "Chi-Chi_ Taiwan", 1999, "CHY104", 7.62, Reverse Oblique, 18.02, 18.02, 223.24, 0.0625, 1.0, RSN1246_CHICHI_CHY104-N.AT2, RSN1246_CHICHI_CHY104-W.AT2 , RSN1246_CHICHI_CHY104-V.AT2  
23, SRSS, 1476, -, 1.0, 5.285, 16.5, 22.3, 0.8, "Chi-Chi_ Taiwan", 1999, "TCU029", 7.62, Reverse Oblique, 28.04, 28.04, 406.53, 0.05, 1.0, RSN1476_CHICHI_TCU029-E.AT2, RSN1476_CHICHI_TCU029-N.AT2 , RSN1476_CHICHI_TCU029-V.AT2  
24, SRSS, 1480, -, 1.0, 5.383, 15.1, 27.0, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU036", 7.62, Reverse Oblique, 19.83, 19.83, 478.07, 0.025, 1.0, RSN1480_CHICHI_TCU036-E.AT2, RSN1480_CHICHI_TCU036-N.AT2 , RSN1480_CHICHI_TCU036-V.AT2  
25, SRSS, 1481, -, 1.0, 9.576, 15.9, 28.3, 1.0, "Chi-Chi_ Taiwan", 1999, "TCU038", 7.62, Reverse Oblique, 25.42, 25.42, 297.86, 0.0625, 1.0, RSN1481_CHICHI_TCU038-E.AT2, RSN1481_CHICHI_TCU038-N.AT2 , RSN1481_CHICHI_TCU038-V.AT2  
26, SRSS, 1482, -, 1.0, 9.331, 15.8, 26.3, 0.9, "Chi-Chi_ Taiwan", 1999, "TCU039", 7.62, Reverse Oblique, 19.89, 19.89, 540.66, 0.025, 1.0, RSN1482_CHICHI_TCU039-E.AT2, RSN1482_CHICHI_TCU039-N.AT2 , RSN1482_CHICHI_TCU039-V.AT2  
27, SRSS, 1483, -, 1.0, 6.433, 18.4, 29.6, 0.6, "Chi-Chi_ Taiwan", 1999, "TCU040", 7.62, Reverse Oblique, 22.06, 22.06, 362.03, 0.0375, 1.0, RSN1483_CHICHI_TCU040-E.AT2, RSN1483_CHICHI_TCU040-N.AT2 , RSN1483_CHICHI_TCU040-V.AT2  
28, SRSS, 1484, -, 1.0, -, 14.8, 21.4, 1.1, "Chi-Chi_ Taiwan", 1999, "TCU042", 7.62, Reverse Oblique, 26.31, 26.31, 578.98, 0.0625, 1.0, RSN1484_CHICHI_TCU042-E.AT2, RSN1484_CHICHI_TCU042-N.AT2 , RSN1484_CHICHI_TCU042-V.AT2  
29, SRSS, 1485, -, 1.0, 9.338, 8.8, 11.3, 1.4, "Chi-Chi_ Taiwan", 1999, "TCU045", 7.62, Reverse Oblique, 26.0, 26.0, 704.64, 0.05, 1.0, RSN1485_CHICHI_TCU045-E.AT2, RSN1485_CHICHI_TCU045-N.AT2 , RSN1485_CHICHI_TCU045-V.AT2  
30, SRSS, 1486, -, 1.0, 8.043, 11.2, 18.4, 0.4, "Chi-Chi_ Taiwan", 1999, "TCU046", 7.62, Reverse Oblique, 16.74, 16.74, 465.55, 0.075, 1.0, RSN1486_CHICHI_TCU046-E.AT2, RSN1486_CHICHI_TCU046-N.AT2 , RSN1486_CHICHI_TCU046-V.AT2  
31, SRSS, 1488, -, 1.0, -, 22.6, 33.3, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU048", 7.62, Reverse Oblique, 13.53, 13.53, 551.21, 0.05, 1.0, RSN1488_CHICHI_TCU048-E.AT2, RSN1488_CHICHI_TCU048-N.AT2 , RSN1488_CHICHI_TCU048-V.AT2  
32, SRSS, 1489, -, 1.0, 10.22, 17.7, 22.7, 1.4, "Chi-Chi_ Taiwan", 1999, "TCU049", 7.62, Reverse Oblique, 3.76, 3.76, 487.27, 0.025, 1.0, RSN1489_CHICHI_TCU049-E.AT2, RSN1489_CHICHI_TCU049-N.AT2 , RSN1489_CHICHI_TCU049-V.AT2  
33, SRSS, 1490, -, 1.0, -, 19.4, 27.0, 0.8, "Chi-Chi_ Taiwan", 1999, "TCU050", 7.62, Reverse Oblique, 9.49, 9.49, 542.41, 0.0375, 1.0, RSN1490_CHICHI_TCU050-E.AT2, RSN1490_CHICHI_TCU050-N.AT2 , RSN1490_CHICHI_TCU050-V.AT2  
34, SRSS, 1491, -, 1.0, 10.381, 20.0, 28.9, 1.2, "Chi-Chi_ Taiwan", 1999, "TCU051", 7.62, Reverse Oblique, 7.64, 7.64, 350.06, 0.0375, 1.0, RSN1491_CHICHI_TCU051-E.AT2, RSN1491_CHICHI_TCU051-N.AT2 , RSN1491_CHICHI_TCU051-V.AT2  
35, SRSS, 1492, -, 1.0, 11.956, 5.7, 16.7, 2.9, "Chi-Chi_ Taiwan", 1999, "TCU052", 7.62, Reverse Oblique, 0.0, 0.66, 579.1, 0.05, 1.0, RSN1492_CHICHI_TCU052-E.AT2, RSN1492_CHICHI_TCU052-N.AT2 , RSN1492_CHICHI_TCU052-V.AT2  
36, SRSS, 1493, -, 1.0, 13.118, 18.8, 27.7, 0.9, "Chi-Chi_ Taiwan", 1999, "TCU053", 7.62, Reverse Oblique, 5.95, 5.95, 454.55, 0.0375, 1.0, RSN1493_CHICHI_TCU053-E.AT2, RSN1493_CHICHI_TCU053-N.AT2 , RSN1493_CHICHI_TCU053-V.AT2  
37, SRSS, 1494, -, 1.0, -, 20.1, 25.5, 1.1, "Chi-Chi_ Taiwan", 1999, "TCU054", 7.62, Reverse Oblique, 5.28, 5.28, 460.69, 0.025, 1.0, RSN1494_CHICHI_TCU054-E.AT2, RSN1494_CHICHI_TCU054-N.AT2 , RSN1494_CHICHI_TCU054-V.AT2  
38, SRSS, 1495, -, 1.0, -, 19.2, 26.8, 1.7, "Chi-Chi_ Taiwan", 1999, "TCU055", 7.62, Reverse Oblique, 6.34, 6.34, 359.13, 0.25, 1.0, RSN1495_CHICHI_TCU055-E.AT2, RSN1495_CHICHI_TCU055-N.AT2 , RSN1495_CHICHI_TCU055-V.AT2  
39, SRSS, 1496, -, 1.0, 8.939, 22.9, 31.8, 0.9, "Chi-Chi_ Taiwan", 1999, "TCU056", 7.62, Reverse Oblique, 10.48, 10.48, 403.2, 0.05, 1.0, RSN1496_CHICHI_TCU056-E.AT2, RSN1496_CHICHI_TCU056-N.AT2 , RSN1496_CHICHI_TCU056-V.AT2  
40, SRSS, 1497, -, 1.0, -, 20.6, 29.8, 0.6, "Chi-Chi_ Taiwan", 1999, "TCU057", 7.62, Reverse Oblique, 11.83, 11.83, 555.23, 0.0375, 1.0, RSN1497_CHICHI_TCU057-E.AT2, RSN1497_CHICHI_TCU057-N.AT2 , RSN1497_CHICHI_TCU057-V.AT2  
41, SRSS, 1498, -, 1.0, 7.784, 22.0, 32.0, 1.6, "Chi-Chi_ Taiwan", 1999, "TCU059", 7.62, Reverse Oblique, 17.11, 17.11, 272.67, 0.0375, 1.0, RSN1498_CHICHI_TCU059-E.AT2, RSN1498_CHICHI_TCU059-N.AT2 , RSN1498_CHICHI_TCU059-V.AT2  
42, SRSS, 1499, -, 1.0, -, 20.0, 26.7, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU060", 7.62, Reverse Oblique, 8.51, 8.51, 375.42, 0.0375, 1.0, RSN1499_CHICHI_TCU060-E.AT2, RSN1499_CHICHI_TCU060-N.AT2 , RSN1499_CHICHI_TCU060-V.AT2  
43, SRSS, 1500, -, 1.0, -, 24.9, 36.9, 1.3, "Chi-Chi_ Taiwan", 1999, "TCU061", 7.62, Reverse Oblique, 17.17, 17.17, 379.64, 0.05, 1.0, RSN1500_CHICHI_TCU061-E.AT2, RSN1500_CHICHI_TCU061-N.AT2 , RSN1500_CHICHI_TCU061-V.AT2  
44, SRSS, 1501, -, 1.0, 6.552, 21.4, 33.1, 1.5, "Chi-Chi_ Taiwan", 1999, "TCU063", 7.62, Reverse Oblique, 9.78, 9.78, 476.14, 0.0375, 1.0, RSN1501_CHICHI_TCU063-E.AT2, RSN1501_CHICHI_TCU063-N.AT2 , RSN1501_CHICHI_TCU063-V.AT2  
45, SRSS, 1502, -, 1.0, 8.456, 19.5, 28.4, 0.6, "Chi-Chi_ Taiwan", 1999, "TCU064", 7.62, Reverse Oblique, 16.59, 16.59, 645.72, 0.0375, 1.0, RSN1502_CHICHI_TCU064-E.AT2, RSN1502_CHICHI_TCU064-N.AT2 , RSN1502_CHICHI_TCU064-V.AT2  
46, SRSS, 1503, -, 1.0, 5.74, 20.5, 28.6, 7.7, "Chi-Chi_ Taiwan", 1999, "TCU065", 7.62, Reverse Oblique, 0.57, 0.57, 305.85, 0.075, 1.0, RSN1503_CHICHI_TCU065-E.AT2, RSN1503_CHICHI_TCU065-N.AT2 , RSN1503_CHICHI_TCU065-V.AT2  
47, SRSS, 1504, -, 1.0, -, 11.0, 23.0, 3.6, "Chi-Chi_ Taiwan", 1999, "TCU067", 7.62, Reverse Oblique, 0.62, 0.62, 433.63, 0.0375, 1.0, RSN1504_CHICHI_TCU067-E.AT2, RSN1504_CHICHI_TCU067-N.AT2 , RSN1504_CHICHI_TCU067-V.AT2  
48, SRSS, 1505, -, 1.0, 12.285, 7.5, 13.2, 3.3, "Chi-Chi_ Taiwan", 1999, "TCU068", 7.62, Reverse Oblique, 0.0, 0.32, 487.34, 0.0375, 1.0, RSN1505_CHICHI_TCU068-E.AT2, RSN1505_CHICHI_TCU068-N.AT2 , RSN1505_CHICHI_TCU068-V.AT2  
49, SRSS, 1506, -, 1.0, -, 20.8, 28.9, 2.3, "Chi-Chi_ Taiwan", 1999, "TCU070", 7.62, Reverse Oblique, 19.0, 19.0, 401.26, 0.0375, 1.0, RSN1506_CHICHI_TCU070-E.AT2, RSN1506_CHICHI_TCU070-N.AT2 , RSN1506_CHICHI_TCU070-V.AT2  
50, SRSS, 1507, -, 1.0, -, 16.3, 24.6, 9.5, "Chi-Chi_ Taiwan", 1999, "TCU071", 7.62, Reverse Oblique, 0.0, 5.8, 624.85, 0.25, 1.0, RSN1507_CHICHI_TCU071-E.AT2, RSN1507_CHICHI_TCU071-N.AT2 , RSN1507_CHICHI_TCU071-V.AT2  
51, SRSS, 1508, -, 1.0, -, 15.5, 24.0, 5.8, "Chi-Chi_ Taiwan", 1999, "TCU072", 7.62, Reverse Oblique, 0.0, 7.08, 468.14, 0.0625, 1.0, RSN1508_CHICHI_TCU072-E.AT2, RSN1508_CHICHI_TCU072-N.AT2 , RSN1508_CHICHI_TCU072-V.AT2  
52, SRSS, 1509, -, 1.0, -, 13.3, 19.7, 6.4, "Chi-Chi_ Taiwan", 1999, "TCU074", 7.62, Reverse Oblique, 0.0, 13.46, 549.43, 0.1625, 1.0, RSN1509_CHICHI_TCU074-E.AT2, RSN1509_CHICHI_TCU074-N.AT2 , RSN1509_CHICHI_TCU074-V.AT2  
53, SRSS, 1510, -, 1.0, 4.998, 20.8, 31.2, 3.0, "Chi-Chi_ Taiwan", 1999, "TCU075", 7.62, Reverse Oblique, 0.89, 0.89, 573.02, 0.05, 1.0, RSN1510_CHICHI_TCU075-E.AT2, RSN1510_CHICHI_TCU075-N.AT2 , RSN1510_CHICHI_TCU075-V.AT2  
54, SRSS, 1511, -, 1.0, 4.732, 17.5, 29.5, 3.7, "Chi-Chi_ Taiwan", 1999, "TCU076", 7.62, Reverse Oblique, 2.74, 2.74, 614.98, 0.125, 1.0, RSN1511_CHICHI_TCU076-E.AT2, RSN1511_CHICHI_TCU076-N.AT2 , RSN1511_CHICHI_TCU076-V.AT2  
55, SRSS, 1512, -, 1.0, -, 20.0, 26.1, 5.8, "Chi-Chi_ Taiwan", 1999, "TCU078", 7.62, Reverse Oblique, 0.0, 8.2, 443.04, 0.1875, 1.0, RSN1512_CHICHI_TCU078-E.AT2, RSN1512_CHICHI_TCU078-N.AT2 , RSN1512_CHICHI_TCU078-V.AT2  
56, SRSS, 1513, -, 1.0, -, 19.8, 26.9, 7.7, "Chi-Chi_ Taiwan", 1999, "TCU079", 7.62, Reverse Oblique, 0.0, 10.97, 363.99, 0.25, 1.0, RSN1513_CHICHI_TCU079-E.AT2, RSN1513_CHICHI_TCU079-N.AT2 , RSN1513_CHICHI_TCU079-V.AT2  
57, SRSS, 1515, -, 1.0, 8.099, 19.4, 27.0, 1.3, "Chi-Chi_ Taiwan", 1999, "TCU082", 7.62, Reverse Oblique, 5.16, 5.16, 472.81, 0.05, 1.0, RSN1515_CHICHI_TCU082-E.AT2, RSN1515_CHICHI_TCU082-N.AT2 , RSN1515_CHICHI_TCU082-V.AT2  
58, SRSS, 1517, -, 1.0, -, 17.5, 23.0, 20.3, "Chi-Chi_ Taiwan", 1999, "TCU084", 7.62, Reverse Oblique, 0.0, 11.48, 665.2, 0.25, 1.0, RSN1517_CHICHI_TCU084-E.AT2, RSN1517_CHICHI_TCU084-N.AT2 , RSN1517_CHICHI_TCU084-V.AT2  
59, SRSS, 1519, -, 1.0, 10.395, 16.1, 24.1, 0.5, "Chi-Chi_ Taiwan", 1999, "TCU087", 7.62, Reverse Oblique, 6.98, 6.98, 538.69, 0.0625, 1.0, RSN1519_CHICHI_TCU087-E.AT2, RSN1519_CHICHI_TCU087-N.AT2 , RSN1519_CHICHI_TCU087-V.AT2  
60, SRSS, 1520, -, 1.0, -, 5.4, 10.0, 2.7, "Chi-Chi_ Taiwan", 1999, "TCU088", 7.62, Reverse Oblique, 4.67, 18.16, 665.2, 0.1, 1.0, RSN1520_CHICHI_TCU088-N.AT2, RSN1520_CHICHI_TCU088-E.AT2 , RSN1520_CHICHI_TCU088-V.AT2  
61, SRSS, 1521, -, 1.0, -, 21.8, 24.9, 3.0, "Chi-Chi_ Taiwan", 1999, "TCU089", 7.62, Reverse Oblique, 0.0, 9.0, 671.52, 0.0875, 1.0, RSN1521_CHICHI_TCU089-E.AT2, RSN1521_CHICHI_TCU089-N.AT2 , RSN1521_CHICHI_TCU089-V.AT2  
62, SRSS, 1527, -, 1.0, -, 20.8, 26.8, 0.6, "Chi-Chi_ Taiwan", 1999, "TCU100", 7.62, Reverse Oblique, 11.37, 11.37, 535.13, 0.0375, 1.0, RSN1527_CHICHI_TCU100-E.AT2, RSN1527_CHICHI_TCU100-N.AT2 , RSN1527_CHICHI_TCU100-V.AT2  
63, SRSS, 1528, -, 1.0, 10.318, 17.0, 19.2, 1.0, "Chi-Chi_ Taiwan", 1999, "TCU101", 7.62, Reverse Oblique, 2.11, 2.11, 389.41, 0.05, 1.0, RSN1528_CHICHI_TCU101-E.AT2, RSN1528_CHICHI_TCU101-N.AT2 , RSN1528_CHICHI_TCU101-V.AT2  
64, SRSS, 1529, -, 1.0, 9.632, 15.1, 19.6, 2.0, "Chi-Chi_ Taiwan", 1999, "TCU102", 7.62, Reverse Oblique, 1.49, 1.49, 714.27, 0.0625, 1.0, RSN1529_CHICHI_TCU102-E.AT2, RSN1529_CHICHI_TCU102-N.AT2 , RSN1529_CHICHI_TCU102-V.AT2  
65, SRSS, 1530, -, 1.0, 8.687, 15.1, 24.2, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU103", 7.62, Reverse Oblique, 6.08, 6.08, 494.1, 0.0625, 1.0, RSN1530_CHICHI_TCU103-E.AT2, RSN1530_CHICHI_TCU103-N.AT2 , RSN1530_CHICHI_TCU103-V.AT2  
66, SRSS, 1531, -, 1.0, 7.189, 19.8, 30.4, 0.5, "Chi-Chi_ Taiwan", 1999, "TCU104", 7.62, Reverse Oblique, 12.87, 12.87, 410.45, 0.0375, 1.0, RSN1531_CHICHI_TCU104-E.AT2, RSN1531_CHICHI_TCU104-N.AT2 , RSN1531_CHICHI_TCU104-V.AT2  
67, SRSS, 1532, -, 1.0, -, 18.9, 28.0, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU105", 7.62, Reverse Oblique, 17.16, 17.16, 575.54, 0.0375, 1.0, RSN1532_CHICHI_TCU105-E.AT2, RSN1532_CHICHI_TCU105-N.AT2 , RSN1532_CHICHI_TCU105-V.AT2  
68, SRSS, 1533, -, 1.0, -, 23.5, 33.8, 1.4, "Chi-Chi_ Taiwan", 1999, "TCU106", 7.62, Reverse Oblique, 14.97, 14.97, 451.37, 0.05, 1.0, RSN1533_CHICHI_TCU106-E.AT2, RSN1533_CHICHI_TCU106-N.AT2 , RSN1533_CHICHI_TCU106-V.AT2  
69, SRSS, 1534, -, 1.0, -, 24.4, 37.4, 1.3, "Chi-Chi_ Taiwan", 1999, "TCU107", 7.62, Reverse Oblique, 15.99, 15.99, 409.0, 0.0375, 1.0, RSN1534_CHICHI_TCU107-E.AT2, RSN1534_CHICHI_TCU107-N.AT2 , RSN1534_CHICHI_TCU107-V.AT2  
70, SRSS, 1535, -, 1.0, -, 24.4, 31.4, 1.6, "Chi-Chi_ Taiwan", 1999, "TCU109", 7.62, Reverse Oblique, 13.06, 13.06, 535.13, 0.0625, 1.0, RSN1535_CHICHI_TCU109-E.AT2, RSN1535_CHICHI_TCU109-N.AT2 , RSN1535_CHICHI_TCU109-V.AT2  
71, SRSS, 1536, -, 1.0, -, 20.5, 34.6, 2.2, "Chi-Chi_ Taiwan", 1999, "TCU110", 7.62, Reverse Oblique, 11.58, 11.58, 212.72, 0.05, 1.0, RSN1536_CHICHI_TCU110-E.AT2, RSN1536_CHICHI_TCU110-N.AT2 , RSN1536_CHICHI_TCU110-V.AT2  
72, SRSS, 1537, -, 1.0, -, 29.4, 45.1, 0.9, "Chi-Chi_ Taiwan", 1999, "TCU111", 7.62, Reverse Oblique, 22.12, 22.12, 237.53, 0.05, 1.0, RSN1537_CHICHI_TCU111-E.AT2, RSN1537_CHICHI_TCU111-N.AT2 , RSN1537_CHICHI_TCU111-V.AT2  
73, SRSS, 1538, -, 1.0, -, 33.4, 48.7, 0.7, "Chi-Chi_ Taiwan", 1999, "TCU112", 7.62, Reverse Oblique, 27.48, 27.48, 190.54, 0.0625, 1.0, RSN1538_CHICHI_TCU112-E.AT2, RSN1538_CHICHI_TCU112-N.AT2 , RSN1538_CHICHI_TCU112-V.AT2  
