
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 55.0
Rrup Max (km):, 80.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
15, SRSS, 1237, -, 1.0, -, 31.3, 46.5, 0.3, "Chi-Chi_ Taiwan", 1999, "CHY090", 7.62, Reverse Oblique, 58.42, 58.42, 180.33, 0.0375, 1.0, RSN1237_CHICHI_CHY090-E.AT2, RSN1237_CHICHI_CHY090-N.AT2 , RSN1237_CHICHI_CHY090-V.AT2  
16, SRSS, 1242, -, 1.0, -, 40.5, 73.9, 0.2, "Chi-Chi_ Taiwan", 1999, "CHY099", 7.62, Reverse Oblique, 65.27, 65.28, 228.84, 0.025, 1.0, RSN1242_CHICHI_CHY099-N.AT2, RSN1242_CHICHI_CHY099-W.AT2 , RSN1242_CHICHI_CHY099-V.AT2  
17, SRSS, 1256, -, 1.0, -, 14.1, 24.4, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA002", 7.62, Reverse Oblique, 53.3, 56.93, 789.18, 0.075, 1.0, RSN1256_CHICHI_HWA002-N.AT2, RSN1256_CHICHI_HWA002-W.AT2 , RSN1256_CHICHI_HWA002-V.AT2  
18, SRSS, 1257, -, 1.0, -, 14.4, 25.9, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA003", 7.62, Reverse Oblique, 52.46, 56.14, 1525.85, 0.05, 1.0, RSN1257_CHICHI_HWA003-N.AT2, RSN1257_CHICHI_HWA003-W.AT2 , RSN1257_CHICHI_HWA003-V.AT2  
19, SRSS, 1260, -, 1.0, -, 11.8, 35.8, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA007", 7.62, Reverse Oblique, 52.62, 56.3, 358.72, 0.025, 1.0, RSN1260_CHICHI_HWA007-E.AT2, RSN1260_CHICHI_HWA007-N.AT2 , RSN1260_CHICHI_HWA007-V.AT2  
20, SRSS, 1261, -, 1.0, -, 13.7, 33.4, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA009", 7.62, Reverse Oblique, 52.37, 56.06, 373.23, 0.0625, 1.0, RSN1261_CHICHI_HWA009-E.AT2, RSN1261_CHICHI_HWA009-N.AT2 , RSN1261_CHICHI_HWA009-V.AT2  
21, SRSS, 1263, -, 1.0, -, 11.1, 33.7, 0.2, "Chi-Chi_ Taiwan", 1999, "HWA012", 7.62, Reverse Oblique, 53.0, 56.65, 414.42, 0.15, 1.0, RSN1263_CHICHI_HWA012-E.AT2, RSN1263_CHICHI_HWA012-N.AT2 , RSN1263_CHICHI_HWA012-V.AT2  
22, SRSS, 1265, -, 1.0, -, 10.6, 32.5, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA014", 7.62, Reverse Oblique, 51.49, 55.23, 277.28, 0.025, 1.0, RSN1265_CHICHI_HWA014-E.AT2, RSN1265_CHICHI_HWA014-N.AT2 , RSN1265_CHICHI_HWA014-V.AT2  
23, SRSS, 1269, -, 1.0, -, 13.5, 29.6, 0.4, "Chi-Chi_ Taiwan", 1999, "HWA019", 7.62, Reverse Oblique, 51.87, 55.59, 494.82, 0.025, 1.0, RSN1269_CHICHI_HWA019-E.AT2, RSN1269_CHICHI_HWA019-N.AT2 , RSN1269_CHICHI_HWA019-V.AT2  
24, SRSS, 1271, -, 1.0, -, 14.5, 22.3, 0.3, "Chi-Chi_ Taiwan", 1999, "HWA022", 7.62, Reverse Oblique, 58.76, 62.07, 567.64, 0.025, 1.0, RSN1271_CHICHI_HWA022-E.AT2, RSN1271_CHICHI_HWA022-N.AT2 , RSN1271_CHICHI_HWA022-V.AT2  
25, SRSS, 1290, -, 1.0, -, 14.5, 26.6, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA043", 7.62, Reverse Oblique, 54.5, 58.05, 543.06, 0.0625, 1.0, RSN1290_CHICHI_HWA043-E.AT2, RSN1290_CHICHI_HWA043-N.AT2 , RSN1290_CHICHI_HWA043-V.AT2  
26, SRSS, 1291, -, 1.0, -, 16.1, 31.4, 0.1, "Chi-Chi_ Taiwan", 1999, "HWA044", 7.62, Reverse Oblique, 54.68, 58.22, 534.41, 0.025, 1.0, RSN1291_CHICHI_HWA044-E.AT2, RSN1291_CHICHI_HWA044-N.AT2 , RSN1291_CHICHI_HWA044-V.AT2  
