
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2021-09-08


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.5
Magnitude Max:, 7.8
Rrup Min (km):, 55.0
Rrup Max (km):, 80.0
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
4.2,0.04145971,0.08476837,0.0202777,0.07551505,0.09321661,0.08941918,0.02279318,0.07390939,0.01792839,0.06647637,0.0713065,0.09144346,0.01692731,0.0272803,0.02365955,0.10161942,0.04853039,0.07671384,0.08543509,0.03478002,0.04038655,0.06571702,0.05347464,0.05744656,0.07618029,0.07628022,0.02660567,0.04544348,0.04265736,0.02641866,0.04024816,0.04445972,0.03016599,0.00407709,0.044124,0.01264818,0.03719366,0.01363153,0.01296289,0.03375808,0.01234474,0.01546171,0.03565447,0.02213842,0.00656562,0.08931277,0.06367153,0.10957629,0.07824565,0.13507603,0.02296551,0.07098941,0.03760787,0.01879794,0.02278202,0.02146735,0.01172471,0.01105168,0.01085961,0.01371626,0.01570954,0.01001545,0.04177145,0.01973458,0.01771616,0.02464636,0.01542215,0.03104003,0.02230116,0.01254461,0.02267022,0.01630495
4.4,0.03935621,0.08107204,0.01910537,0.06995764,0.0737148,0.08923425,0.01964122,0.06712625,0.01843505,0.06545518,0.06675413,0.07944324,0.01455976,0.02403113,0.01778075,0.09014844,0.05045026,0.06834209,0.07300834,0.03448291,0.03482935,0.05432115,0.04590463,0.04929535,0.06090023,0.05866175,0.02414847,0.04334875,0.04359298,0.02472559,0.03199961,0.04676255,0.03144215,0.00349984,0.04566123,0.01194445,0.04505264,0.01370142,0.01307842,0.03388801,0.01213983,0.01481248,0.03269595,0.02197363,0.00628949,0.09338817,0.06012968,0.11545725,0.08217802,0.14517253,0.0192611,0.07299364,0.03653266,0.01848842,0.02252912,0.01810801,0.01331966,0.01223998,0.0103137,0.01433597,0.01716209,0.01063391,0.0356859,0.01859969,0.01676402,0.02453402,0.01423421,0.03294358,0.02684775,0.01361032,0.02481458,0.01806493
4.6,0.03763023,0.07800382,0.01815339,0.06199526,0.05985428,0.09518351,0.01868071,0.06197775,0.01776344,0.06339063,0.05601182,0.07589026,0.01122555,0.02015412,0.01823855,0.07386517,0.04969733,0.06903821,0.0733641,0.0342239,0.03161041,0.0471869,0.04147801,0.04301879,0.05163929,0.05086293,0.02230205,0.03851767,0.041942,0.02226788,0.02344886,0.04495029,0.03399032,0.00310754,0.04796285,0.01195979,0.046914,0.01320068,0.01294978,0.03534672,0.01169766,0.01358273,0.03098805,0.02373412,0.00568595,0.10056932,0.05966504,0.10839266,0.08284759,0.14092881,0.01715446,0.07796045,0.03413125,0.0177616,0.0242862,0.01509922,0.01420093,0.01335256,0.01124003,0.01468301,0.01926424,0.01076947,0.03080637,0.01772376,0.01484399,0.02692211,0.0134621,0.03257831,0.02781167,0.01416196,0.02464008,0.02032858
4.8,0.03681022,0.07765731,0.01744836,0.05813089,0.06281051,0.09968576,0.01826712,0.06238611,0.0191576,0.06405152,0.05352406,0.07703634,0.01062306,0.01828545,0.01627686,0.06651786,0.04398022,0.06977468,0.08088555,0.0327662,0.02914431,0.03994968,0.03968344,0.0378128,0.0475792,0.04518347,0.02093708,0.03267187,0.03627624,0.02084397,0.02065969,0.03891465,0.0362928,0.00284777,0.05016871,0.01388436,0.0440773,0.01242387,0.01294978,0.03593606,0.0120056,0.01473713,0.03149961,0.02424125,0.00549991,0.10703741,0.06255675,0.10490164,0.08182444,0.13490013,0.01652583,0.08234159,0.03131294,0.0168661,0.02442432,0.01337556,0.01558784,0.01358329,0.01107791,0.01491691,0.01932898,0.01245196,0.02836925,0.0177552,0.01332177,0.02905797,0.01249319,0.02928993,0.02732786,0.01393191,0.02336948,0.02159466
5.0,0.03613815,0.07790603,0.01676335,0.05061943,0.07386186,0.10274332,0.01804404,0.06660916,0.02055992,0.06357252,0.05251819,0.07592584,0.00961514,0.0157607,0.01715312,0.06156135,0.0373228,0.07511365,0.08719479,0.02971108,0.02689677,0.0382585,0.04035227,0.03903351,0.04437777,0.04471512,0.01944663,0.02761751,0.02914832,0.01995153,0.01920186,0.03328418,0.03661023,0.00266489,0.04950623,0.01420794,0.03896248,0.01347601,0.01409105,0.03465061,0.01241217,0.01585093,0.032017,0.02323272,0.00576703,0.10957529,0.06511961,0.09956335,0.08195979,0.13013787,0.0153308,0.08396224,0.02843657,0.01659351,0.02287847,0.01272883,0.01518366,0.01376116,0.0114561,0.01503987,0.01905776,0.01317421,0.02672576,0.01839961,0.01381364,0.02923855,0.01257419,0.02376019,0.0252597,0.01341337,0.02261147,0.02015686
5.5,0.03368108,0.07713795,0.01470631,0.06398885,0.09408084,0.09188846,0.01925165,0.06655201,0.01946568,0.05496936,0.04511628,0.06647011,0.01154143,0.01070639,0.01733966,0.05931804,0.02856032,0.07373219,0.0723624,0.02043857,0.02610943,0.04261315,0.04441373,0.0400492,0.04141929,0.04332715,0.01698552,0.019086,0.02051639,0.01881078,0.01532636,0.02722005,0.02846759,0.00228283,0.04036102,0.01410787,0.02970175,0.01323619,0.01312778,0.02866907,0.01192718,0.01527334,0.03002141,0.02188715,0.00605333,0.0963046,0.06253146,0.08545175,0.08793263,0.14082826,0.01580392,0.08743226,0.02365447,0.01731142,0.01742714,0.01305184,0.01174847,0.01161526,0.00932304,0.01150633,0.01689583,0.01062605,0.02103129,0.01999511,0.01422462,0.02239407,0.01253785,0.02049166,0.01860675,0.01220312,0.01936276,0.01692644
6.0,0.03024959,0.07324504,0.01249283,0.06340591,0.07300222,0.07704426,0.01783089,0.06828832,0.01467492,0.03890281,0.04152169,0.04910749,0.01074872,0.00741365,0.01802072,0.05869019,0.02315483,0.06190156,0.05565298,0.01497995,0.01998464,0.03617194,0.03742336,0.03709229,0.03560948,0.03685688,0.01536958,0.01729517,0.01935713,0.01631945,0.01411108,0.02086849,0.02091221,0.00187723,0.02755305,0.01333233,0.02215826,0.01274619,0.01394846,0.02461129,0.01311271,0.01389952,0.02440119,0.0151872,0.00598643,0.09153751,0.05884464,0.1017223,0.0892273,0.14272678,0.01421352,0.0787157,0.02027051,0.0189235,0.01471918,0.01219434,0.01130259,0.00894472,0.00787566,0.00955984,0.01430552,0.01011079,0.01887582,0.02273403,0.01571794,0.0207092,0.01357864,0.0206941,0.01620175,0.01194314,0.01649101,0.01455499
6.5,0.02746928,0.07003928,0.01077341,0.05369035,0.05706746,0.06222523,0.01725287,0.07234298,0.01161573,0.02680507,0.04508148,0.03731261,0.01220784,0.0053221,0.01670989,0.03928428,0.02092937,0.05109739,0.04191963,0.01442582,0.01679936,0.02958164,0.02956583,0.0294834,0.03016292,0.02940573,0.01599218,0.01744267,0.01940134,0.01569403,0.01482891,0.01871219,0.01761726,0.00154386,0.01895174,0.01311665,0.01680987,0.0138819,0.01471577,0.02057963,0.0138329,0.01432742,0.02055036,0.01346405,0.00523881,0.10196755,0.05551585,0.10799351,0.08645388,0.1378691,0.01405911,0.07254569,0.01936004,0.01790191,0.0131303,0.01317055,0.01005623,0.00846786,0.0071572,0.00857685,0.01182465,0.00883394,0.01569312,0.02243075,0.01686574,0.02053717,0.01357743,0.01964736,0.01591048,0.01229617,0.01461642,0.01193128
7.0,0.02610877,0.06743249,0.01010889,0.06047279,0.05384827,0.05225967,0.01944255,0.06894097,0.01165866,0.0282377,0.05073834,0.04455927,0.01251634,0.00395256,0.01455295,0.03809235,0.01647141,0.04096811,0.04005476,0.01470075,0.01581495,0.02417248,0.02508819,0.02295497,0.02472348,0.02499701,0.01651973,0.01759786,0.01759039,0.01564918,0.01747685,0.0165764,0.01517251,0.00130549,0.01866824,0.01404214,0.01625088,0.01447334,0.01432642,0.01824479,0.01379981,0.01464892,0.01865595,0.01373375,0.00435474,0.10536194,0.0516775,0.10870428,0.08191548,0.12518382,0.01443065,0.06556696,0.01675422,0.01618184,0.01299437,0.01210332,0.00915825,0.00774371,0.00653532,0.00786612,0.0108409,0.00757189,0.0149266,0.01917638,0.01395665,0.0203646,0.01415105,0.01854336,0.0145198,0.01267998,0.01324356,0.01104664
7.5,0.0242599,0.0609249,0.00966013,0.05463295,0.04515993,0.05153436,0.02115469,0.05402387,0.01257762,0.02518308,0.05463686,0.03788664,0.01338811,0.00328263,0.0141387,0.03438925,0.01402987,0.03179775,0.03766901,0.01567535,0.01448625,0.02138198,0.02222653,0.02153046,0.01880417,0.02011732,0.01667247,0.0175499,0.01541194,0.01537806,0.0193263,0.01607209,0.0172665,0.00112987,0.01908079,0.01491171,0.01735893,0.01499758,0.01448963,0.01895113,0.01476991,0.0155959,0.0175799,0.01223093,0.003668,0.09589266,0.04593538,0.10247539,0.07800129,0.11206076,0.01516461,0.05868788,0.01465923,0.01454757,0.01306949,0.01157963,0.00849668,0.00711644,0.00591224,0.00754001,0.01107823,0.00719021,0.01579704,0.01589804,0.01189762,0.01904869,0.01246167,0.01773831,0.01535869,0.01120269,0.01283607,0.01013736
8.0,0.02214295,0.05493965,0.00892452,0.04888297,0.04126422,0.03876859,0.01843475,0.03657806,0.01183098,0.01950949,0.04987722,0.02999785,0.0119197,0.00265325,0.01537529,0.02933031,0.01266537,0.02430135,0.03324517,0.01445084,0.01548552,0.02303161,0.02314782,0.02094748,0.01942143,0.02070643,0.01542659,0.0150766,0.01388418,0.01459702,0.01847775,0.01724943,0.01775102,0.00098946,0.01929619,0.01529807,0.01757683,0.01539041,0.01476711,0.01785942,0.01531494,0.01593577,0.01616167,0.01079229,0.00324061,0.0897998,0.04200098,0.09201234,0.07350187,0.10485211,0.01550362,0.05227826,0.01555105,0.01178451,0.01152125,0.01012313,0.00769158,0.00699288,0.00557741,0.00684913,0.00928282,0.00688171,0.01462481,0.01265548,0.0101779,0.01789283,0.01048166,0.0166417,0.01444993,0.01055849,0.011744,0.00952101
8.5,0.02037444,0.05024395,0.00826205,0.04132367,0.03947271,0.03568131,0.01612684,0.02715207,0.01192133,0.01906063,0.04034688,0.0294679,0.01089819,0.00226042,0.01362312,0.02727598,0.01256686,0.02408633,0.03086282,0.01223018,0.01476759,0.0212608,0.02127366,0.01891219,0.0192111,0.0198733,0.01303374,0.01233673,0.01127574,0.01326356,0.01515931,0.01721228,0.01754285,0.00087257,0.01925019,0.01490346,0.01759054,0.01509457,0.01485964,0.01792302,0.01553561,0.01580304,0.0140878,0.0087272,0.00298682,0.08287352,0.03965329,0.08576706,0.06861798,0.09521849,0.01573999,0.04878907,0.01480338,0.01002135,0.0105378,0.00858681,0.00778848,0.00675025,0.00541662,0.00702557,0.00914034,0.00713025,0.01294785,0.01141847,0.00881315,0.01561924,0.00918991,0.01488662,0.01265885,0.00959882,0.01045547,0.00927339
9.0,0.01865587,0.04558313,0.00763532,0.03163031,0.03636861,0.03550143,0.01411391,0.02287358,0.01113386,0.02056478,0.03329789,0.03091021,0.01014076,0.00189596,0.01284513,0.02520483,0.01279241,0.02596168,0.03082662,0.00983765,0.01251694,0.01947854,0.01899056,0.01544154,0.01725715,0.01746747,0.01185752,0.01085291,0.009865,0.01286784,0.01217448,0.01556728,0.01665049,0.00077514,0.01821918,0.01481077,0.01693421,0.01508528,0.0148234,0.01719964,0.01536469,0.0154962,0.01234629,0.00769575,0.00273492,0.07553754,0.03706207,0.07933968,0.06322016,0.08309018,0.01510487,0.04506858,0.01266759,0.00863795,0.00901473,0.00854317,0.00732359,0.00606484,0.00507634,0.00679182,0.00850333,0.00669213,0.01144727,0.01030113,0.00835249,0.01473274,0.00819494,0.01218982,0.01054009,0.0081121,0.00872442,0.00854893
9.5,0.01656549,0.04071535,0.00673986,0.0223932,0.02826235,0.03163603,0.01098225,0.01990382,0.00960853,0.01809929,0.02834143,0.02731676,0.00867326,0.00159707,0.01243895,0.0218771,0.01285183,0.02501138,0.02787317,0.00774706,0.01046963,0.01703432,0.01664318,0.01312112,0.01404878,0.01498324,0.01092736,0.0097207,0.00852891,0.01216406,0.01056761,0.01489779,0.01564039,0.00069328,0.01636793,0.01411161,0.01629319,0.01420388,0.01398209,0.01562639,0.01430288,0.01458017,0.01036725,0.00708158,0.00255413,0.06986333,0.03420981,0.07146142,0.0571552,0.07209895,0.01434056,0.04146114,0.01019067,0.0075183,0.00805104,0.00781916,0.00672353,0.00570287,0.00488475,0.00590519,0.00765088,0.00575634,0.00976473,0.00848659,0.00711678,0.01309661,0.00760404,0.01056374,0.009641,0.0070532,0.00793308,0.00744126
10.0,0.01454815,0.03629535,0.00583129,0.01660261,0.02160342,0.02468873,0.00956079,0.01879382,0.00757877,0.01416668,0.02165305,0.02350178,0.00710295,0.00133524,0.01095076,0.01995074,0.01078768,0.02092355,0.02241229,0.00649839,0.00853178,0.01453994,0.01465106,0.01119177,0.01207996,0.01378949,0.01063591,0.00866454,0.00727607,0.01158568,0.0093778,0.01408231,0.01450503,0.00062357,0.01562308,0.01293324,0.0148616,0.01290169,0.01296924,0.0135409,0.01329225,0.01355444,0.00872197,0.00649992,0.00240365,0.06297825,0.03110575,0.06244255,0.05055792,0.06743181,0.01292956,0.03802504,0.00814428,0.0064496,0.00737917,0.00664529,0.00668773,0.00501657,0.00496411,0.0061106,0.00712136,0.00572655,0.00823589,0.00680545,0.00574654,0.01188532,0.00673829,0.0097618,0.00800286,0.00622893,0.00706514,0.00668761
11.0,0.0112236,0.0292753,0.00430292,0.01238443,0.01485194,0.01543008,0.00786936,0.01344205,0.00574328,0.00963958,0.01367821,0.01303514,0.00544706,0.00098285,0.00664937,0.01420814,0.00849722,0.01192543,0.013173,0.00520889,0.00560672,0.0122112,0.01213366,0.00856755,0.01031149,0.01149575,0.00986685,0.00666754,0.00617704,0.01015068,0.00780732,0.01126002,0.0110929,0.00051235,0.01304083,0.01108425,0.01156047,0.01075606,0.01105401,0.01005639,0.01121607,0.01155041,0.00787405,0.00576403,0.00218324,0.04791484,0.02454262,0.05218857,0.04281144,0.05631893,0.01023333,0.03093744,0.00574738,0.00539723,0.00568504,0.00487712,0.00456623,0.00389854,0.00367969,0.00447776,0.00524952,0.00405605,0.00593168,0.00495614,0.00452396,0.00921443,0.00499974,0.00711071,0.00608167,0.00533158,0.0062076,0.00532226
12.0,0.00916943,0.02418029,0.00347715,0.00851357,0.00973354,0.01029136,0.00650143,0.01046136,0.00455369,0.00775552,0.01019793,0.01022921,0.00452821,0.00076537,0.00717405,0.01208338,0.00790276,0.00926781,0.00921394,0.00437489,0.00437786,0.01013873,0.01013292,0.00576511,0.01009339,0.00995419,0.00886486,0.00537872,0.00497218,0.00900993,0.00705459,0.00845918,0.00760865,0.00042889,0.00968356,0.00940508,0.00906381,0.00914318,0.00942329,0.00811266,0.00971592,0.01004518,0.00705425,0.0050275,0.00211675,0.04226302,0.01950803,0.04420089,0.037065,0.04331791,0.00866815,0.02411423,0.00489293,0.00485115,0.00425603,0.00423234,0.00374967,0.00298973,0.00284918,0.00374045,0.00436508,0.00347669,0.00486427,0.00387314,0.00384655,0.00734029,0.00466896,0.0057489,0.00482338,0.00477532,0.00500138,0.00462934
13.0,0.0077063,0.01972515,0.00301073,0.00729454,0.00728116,0.00833501,0.00565633,0.00730597,0.0039476,0.00642274,0.00761967,0.00964027,0.00353974,0.00063662,0.00766503,0.00947493,0.00624904,0.00721031,0.00844254,0.00324179,0.00375109,0.01010362,0.01011456,0.00455917,0.00939569,0.00943578,0.00839609,0.00456838,0.00402659,0.00853623,0.00667482,0.00656771,0.00620255,0.00036411,0.00813884,0.00815129,0.00720255,0.00770373,0.00807183,0.00653559,0.00827138,0.0084843,0.00615622,0.00413313,0.00187713,0.03556458,0.01679116,0.03514339,0.03125879,0.03360204,0.00713427,0.0202382,0.0043256,0.00437997,0.00356583,0.00357514,0.00319256,0.00248055,0.00239389,0.0028457,0.0035207,0.00298153,0.00408467,0.00363503,0.00310588,0.00617205,0.00412177,0.00438718,0.00381534,0.00425135,0.00395226,0.00382981
14.0,0.006562,0.01618342,0.00266074,0.00602242,0.00683299,0.00702746,0.0045573,0.00629752,0.00362549,0.00516117,0.00642925,0.00645941,0.00287474,0.00056122,0.00601364,0.00741024,0.00538494,0.00643215,0.00614796,0.00250365,0.00329211,0.00995952,0.01002019,0.00416111,0.00907383,0.00964716,0.00760515,0.00410398,0.0034178,0.00788416,0.00644817,0.00475925,0.00503993,0.0003127,0.00668616,0.00708771,0.00513807,0.00669701,0.00691255,0.00510259,0.00709783,0.00746293,0.00483202,0.00350553,0.00158113,0.02834986,0.0140037,0.02711423,0.02592567,0.02909931,0.00593367,0.01781385,0.00355106,0.00342182,0.00390796,0.0026515,0.00316852,0.00277159,0.00268844,0.00310505,0.00353246,0.00303012,0.00325781,0.00302787,0.00251368,0.00512496,0.00340131,0.00385542,0.0034839,0.00344891,0.00346963,0.00355538
15.0,0.00563972,0.01364755,0.00233056,0.00565068,0.00618726,0.00630867,0.00361475,0.0058911,0.00292309,0.00406369,0.00645744,0.00557841,0.00213874,0.00049344,0.00475239,0.00613002,0.00476292,0.00578176,0.00625611,0.00207409,0.00288537,0.00918481,0.00929619,0.00370061,0.00857852,0.00935539,0.00667512,0.00375769,0.00302962,0.00673667,0.00583972,0.00363873,0.00397339,0.00027149,0.00510834,0.00623775,0.00409565,0.00579754,0.00601263,0.00420829,0.0061809,0.00628928,0.00374635,0.00288484,0.00150109,0.02215562,0.01135743,0.02365093,0.02104504,0.02505865,0.00537243,0.0155511,0.00296568,0.00254778,0.00323953,0.00216182,0.00290132,0.00241255,0.00257731,0.00291499,0.00302699,0.00276892,0.00307081,0.00238128,0.0022385,0.00418309,0.00255976,0.00305378,0.0029812,0.00268983,0.00299348,0.00323046
20.0,0.00298912,0.00623616,0.00143274,0.00337185,0.00365595,0.00309661,0.00197776,0.00369054,0.00179313,0.00268897,0.00354374,0.00345797,0.00139671,0.00026673,0.002305,0.00358915,0.00272313,0.00296902,0.00313734,0.00146678,0.00218666,0.00547853,0.00539023,0.00174294,0.00529659,0.0057349,0.00402736,0.00272029,0.00262649,0.00402076,0.00470294,0.00206588,0.00232732,0.0001515,0.00227933,0.00347544,0.00206147,0.00331649,0.00336952,0.00254409,0.00347556,0.00360297,0.00198168,0.00147607,0.00067823,0.01065769,0.00450329,0.01060562,0.00851625,0.01012941,0.00321841,0.00697194,0.00195208,0.00160941,0.00133664,0.0015711,0.00114412,0.00120315,0.00106273,0.00111657,0.00131964,0.00113178,0.00197243,0.00180125,0.00152377,0.00181717,0.0015832,0.0018182,0.00141957,0.00158992,0.00148196,0.0013282

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
Period (sec),RSN-1185 Horizontal-1 pSa (g),RSN-1185 Horizontal-2 pSa (g),RSN-1185 Vertical pSa (g),RSN-1188 Horizontal-1 pSa (g),RSN-1188 Horizontal-2 pSa (g),RSN-1188 Vertical pSa (g),RSN-1189 Horizontal-1 pSa (g),RSN-1189 Horizontal-2 pSa (g),RSN-1189 Vertical pSa (g),RSN-1191 Horizontal-1 pSa (g),RSN-1191 Horizontal-2 pSa (g),RSN-1191 Vertical pSa (g),RSN-1207 Horizontal-1 pSa (g),RSN-1207 Horizontal-2 pSa (g),RSN-1207 Vertical pSa (g),RSN-1214 Horizontal-1 pSa (g),RSN-1214 Horizontal-2 pSa (g),RSN-1214 Vertical pSa (g),RSN-1215 Horizontal-1 pSa (g),RSN-1215 Horizontal-2 pSa (g),RSN-1215 Vertical pSa (g),RSN-1216 Horizontal-1 pSa (g),RSN-1216 Horizontal-2 pSa (g),RSN-1216 Vertical pSa (g),RSN-1217 Horizontal-1 pSa (g),RSN-1217 Horizontal-2 pSa (g),RSN-1217 Vertical pSa (g),RSN-1218 Horizontal-1 pSa (g),RSN-1218 Horizontal-2 pSa (g),RSN-1218 Vertical pSa (g),RSN-1219 Horizontal-1 pSa (g),RSN-1219 Horizontal-2 pSa (g),RSN-1219 Vertical pSa (g),RSN-1220 Horizontal-1 pSa (g),RSN-1220 Horizontal-2 pSa (g),RSN-1220 Vertical pSa (g),RSN-1226 Horizontal-1 pSa (g),RSN-1226 Horizontal-2 pSa (g),RSN-1226 Vertical pSa (g),RSN-1229 Horizontal-1 pSa (g),RSN-1229 Horizontal-2 pSa (g),RSN-1229 Vertical pSa (g),RSN-1237 Horizontal-1 pSa (g),RSN-1237 Horizontal-2 pSa (g),RSN-1237 Vertical pSa (g),RSN-1242 Horizontal-1 pSa (g),RSN-1242 Horizontal-2 pSa (g),RSN-1242 Vertical pSa (g),RSN-1256 Horizontal-1 pSa (g),RSN-1256 Horizontal-2 pSa (g),RSN-1256 Vertical pSa (g),RSN-1257 Horizontal-1 pSa (g),RSN-1257 Horizontal-2 pSa (g),RSN-1257 Vertical pSa (g),RSN-1260 Horizontal-1 pSa (g),RSN-1260 Horizontal-2 pSa (g),RSN-1260 Vertical pSa (g),RSN-1261 Horizontal-1 pSa (g),RSN-1261 Horizontal-2 pSa (g),RSN-1261 Vertical pSa (g),RSN-1263 Horizontal-1 pSa (g),RSN-1263 Horizontal-2 pSa (g),RSN-1263 Vertical pSa (g),RSN-1265 Horizontal-1 pSa (g),RSN-1265 Horizontal-2 pSa (g),RSN-1265 Vertical pSa (g),RSN-1269 Horizontal-1 pSa (g),RSN-1269 Horizontal-2 pSa (g),RSN-1269 Vertical pSa (g),RSN-1271 Horizontal-1 pSa (g),RSN-1271 Horizontal-2 pSa (g),RSN-1271 Vertical pSa (g),RSN-1290 Horizontal-1 pSa (g),RSN-1290 Horizontal-2 pSa (g),RSN-1290 Vertical pSa (g),RSN-1291 Horizontal-1 pSa (g),RSN-1291 Horizontal-2 pSa (g),RSN-1291 Vertical pSa (g),RSN-1292 Horizontal-1 pSa (g),RSN-1292 Horizontal-2 pSa (g),RSN-1292 Vertical pSa (g),RSN-1305 Horizontal-1 pSa (g),RSN-1305 Horizontal-2 pSa (g),RSN-1305 Vertical pSa (g),RSN-1321 Horizontal-1 pSa (g),RSN-1321 Horizontal-2 pSa (g),RSN-1321 Vertical pSa (g),RSN-1322 Horizontal-1 pSa (g),RSN-1322 Horizontal-2 pSa (g),RSN-1322 Vertical pSa (g),RSN-1333 Horizontal-1 pSa (g),RSN-1333 Horizontal-2 pSa (g),RSN-1333 Vertical pSa (g),RSN-1335 Horizontal-1 pSa (g),RSN-1335 Horizontal-2 pSa (g),RSN-1335 Vertical pSa (g),RSN-1338 Horizontal-1 pSa (g),RSN-1338 Horizontal-2 pSa (g),RSN-1338 Vertical pSa (g),RSN-1339 Horizontal-1 pSa (g),RSN-1339 Horizontal-2 pSa (g),RSN-1339 Vertical pSa (g),RSN-1345 Horizontal-1 pSa (g),RSN-1345 Horizontal-2 pSa (g),RSN-1345 Vertical pSa (g),RSN-1346 Horizontal-1 pSa (g),RSN-1346 Horizontal-2 pSa (g),RSN-1346 Vertical pSa (g),RSN-1347 Horizontal-1 pSa (g),RSN-1347 Horizontal-2 pSa (g),RSN-1347 Vertical pSa (g),RSN-1348 Horizontal-1 pSa (g),RSN-1348 Horizontal-2 pSa (g),RSN-1348 Vertical pSa (g),RSN-1349 Horizontal-1 pSa (g),RSN-1349 Horizontal-2 pSa (g),RSN-1349 Vertical pSa (g),RSN-1360 Horizontal-1 pSa (g),RSN-1360 Horizontal-2 pSa (g),RSN-1360 Vertical pSa (g),RSN-1361 Horizontal-1 pSa (g),RSN-1361 Horizontal-2 pSa (g),RSN-1361 Vertical pSa (g),RSN-1387 Horizontal-1 pSa (g),RSN-1387 Horizontal-2 pSa (g),RSN-1387 Vertical pSa (g),RSN-1464 Horizontal-1 pSa (g),RSN-1464 Horizontal-2 pSa (g),RSN-1464 Vertical pSa (g),RSN-1469 Horizontal-1 pSa (g),RSN-1469 Horizontal-2 pSa (g),RSN-1469 Vertical pSa (g),RSN-1473 Horizontal-1 pSa (g),RSN-1473 Horizontal-2 pSa (g),RSN-1473 Vertical pSa (g),RSN-1475 Horizontal-1 pSa (g),RSN-1475 Horizontal-2 pSa (g),RSN-1475 Vertical pSa (g),RSN-1514 Horizontal-1 pSa (g),RSN-1514 Horizontal-2 pSa (g),RSN-1514 Vertical pSa (g),RSN-1518 Horizontal-1 pSa (g),RSN-1518 Horizontal-2 pSa (g),RSN-1518 Vertical pSa (g),RSN-1555 Horizontal-1 pSa (g),RSN-1555 Horizontal-2 pSa (g),RSN-1555 Vertical pSa (g),RSN-1557 Horizontal-1 pSa (g),RSN-1557 Horizontal-2 pSa (g),RSN-1557 Vertical pSa (g),RSN-1558 Horizontal-1 pSa (g),RSN-1558 Horizontal-2 pSa (g),RSN-1558 Vertical pSa (g),RSN-1560 Horizontal-1 pSa (g),RSN-1560 Horizontal-2 pSa (g),RSN-1560 Vertical pSa (g),RSN-1569 Horizontal-1 pSa (g),RSN-1569 Horizontal-2 pSa (g),RSN-1569 Vertical pSa (g),RSN-1572 Horizontal-1 pSa (g),RSN-1572 Horizontal-2 pSa (g),RSN-1572 Vertical pSa (g),RSN-1576 Horizontal-1 pSa (g),RSN-1576 Horizontal-2 pSa (g),RSN-1576 Vertical pSa (g),RSN-1577 Horizontal-1 pSa (g),RSN-1577 Horizontal-2 pSa (g),RSN-1577 Vertical pSa (g),RSN-1578 Horizontal-1 pSa (g),RSN-1578 Horizontal-2 pSa (g),RSN-1578 Vertical pSa (g),RSN-1579 Horizontal-1 pSa (g),RSN-1579 Horizontal-2 pSa (g),RSN-1579 Vertical pSa (g),RSN-1580 Horizontal-1 pSa (g),RSN-1580 Horizontal-2 pSa (g),RSN-1580 Vertical pSa (g),RSN-1581 Horizontal-1 pSa (g),RSN-1581 Horizontal-2 pSa (g),RSN-1581 Vertical pSa (g),RSN-1582 Horizontal-1 pSa (g),RSN-1582 Horizontal-2 pSa (g),RSN-1582 Vertical pSa (g),RSN-1583 Horizontal-1 pSa (g),RSN-1583 Horizontal-2 pSa (g),RSN-1583 Vertical pSa (g),RSN-1584 Horizontal-1 pSa (g),RSN-1584 Horizontal-2 pSa (g),RSN-1584 Vertical pSa (g),RSN-1587 Horizontal-1 pSa (g),RSN-1587 Horizontal-2 pSa (g),RSN-1587 Vertical pSa (g),RSN-1588 Horizontal-1 pSa (g),RSN-1588 Horizontal-2 pSa (g),RSN-1588 Vertical pSa (g),RSN-1589 Horizontal-1 pSa (g),RSN-1589 Horizontal-2 pSa (g),RSN-1589 Vertical pSa (g),RSN-1590 Horizontal-1 pSa (g),RSN-1590 Horizontal-2 pSa (g),RSN-1590 Vertical pSa (g),RSN-1591 Horizontal-1 pSa (g),RSN-1591 Horizontal-2 pSa (g),RSN-1591 Vertical pSa (g),RSN-1592 Horizontal-1 pSa (g),RSN-1592 Horizontal-2 pSa (g),RSN-1592 Vertical pSa (g)
