All Floors - All Directions - All PGs
Intensity,Real 1
1,93706.9508829549
2,17962.1238502794
3,152010.19608017
4,916544.079206761
5,1385918.69816882
6,3002444.47929642
7,646987.489032961
8,385888.604396991
9,1844108.60830182
10,1451187.19952701
11,2356410.87934354
12,289966.422164096
13,891965.431064114
14,642520.769452126
15,395316.896405113
16,404333.346420846
17,982571.488694496
18,1057835.76299482
19,396222.36332014
20,836048.865691814
21,473444.90261783
22,624237.557142813
23,897671.966464337
24,654464.066868187
25,148124.346670051
26,927718.667237366
27,1091511.3109547
28,324354.766570659
29,676962.728844398
30,70283.656881858
31,1279925.06496945
32,5532882.8180905
33,417938.109364051
34,1050967.0437413
35,196174.183994086
36,256027.882775912
37,484192.873330315
38,19830.0574730233
39,513216.603276051
40,2853.24983364449
41,5440.09655074264
42,473493.009971487
43,249199.665213594
44,21505.4892071446
45,74955.4797888149
46,42810.5275203879
47,81597.7145690069
48,179184.076418851
49,236257.458008751
50,251751.482909691
51,292900.052161844
52,809206.307088982
53,719410.916667034
54,982579.592266354
55,4887570.70860307
56,4689588.98171444
57,2788449.17276123
58,937093.058551938
59,1291903.15627805
60,651281.18637049
61,253813.092983658
62,8206631.3092619
63,183270.282213107
64,1406645.1318321
65,628823.883348144
66,1598615.49470824
67,1083951.46816501
68,239156.017674004
69,2878699.95832472
70,6640199.39053339
71,6842726.41607346
72,966413.003115506
73,160948.002355833
74,14944.5205431284
75,84372.5357067193
76,165751.742820511
77,66934.4120612175
78,13078.7283712743
79,214470.58112662
80,145120.961591139
81,62327.4089369531
82,37586.7770184991
83,102445.917272227
84,9955.98930071447
85,154855.972746788
86,264120.17543864
87,586302.389818266
88,172.901931627339
89,199344.584965669
90,53904.065490924
91,118159.287645833
92,39074.2916375339
93,2437.19584972539
94,0
95,95796.210283053
96,111550.562482708
97,54552.9259486558
98,458472.833609494
99,30146.6800924465
100,48233.3496301046
101,205311.71742381
102,8879.29962818485
103,192731.559996594
104,20566.6404316267
105,14820.9549591335
106,6542.90134832853
107,202478.829324129
108,3128.97781781734
109,46025.0253993543
110,16528.4977944052
111,51891.1648521889
112,78651.8647016745
113,11960.4763624851
114,2106.20412465869
115,4488.26559248447
116,265085.86040889
117,3462.99608822064
118,60636.6132960672
119,0
120,46748.5344310107
121,50354.958055927
122,73899.5253701408
123,56937.4301648969
124,28862.2224292363
125,0
126,249188.607332174
127,19525.7924372299
128,324686.318551436
129,4580.70321883847
130,40292.9043658148
131,11524.9960137946
132,15966.5239474229
133,41524.7419973977
134,5064.94846537552
135,4530.51262206433
136,0
