All Floors - All Directions - All PGs
Intensity,Real 1
1,257320.815165585
2,11349.7505189232
3,60200.1057256188
4,1608293.95730823
5,1710237.70089137
6,4885021.28587273
7,580952.828439831
8,324662.429708963
9,2549257.95955532
10,2038160.099215
11,3501002.41671491
12,213591.521052817
13,967425.599800896
14,1591764.78777552
15,848695.839593295
16,698840.030952371
17,1418954.7130222
18,1019457.81702954
19,841981.564905507
20,952680.197309859
21,403756.122627401
22,817438.770299052
23,1632006.87642998
24,1070691.53953319
25,320110.682970993
26,1227993.30453917
27,1359100.29056335
28,797019.932353959
29,958081.870063255
30,109800.587464243
31,1870788.2974588
32,6631252.89564748
33,697736.341412179
34,1535069.32192234
35,647796.438610993
36,216121.24055665
37,577676.968455932
38,193067.191642793
39,628978.387715263
40,37846.217213361
41,89009.7669271234
42,482005.474988267
43,273404.773583312
44,22384.7696078356
45,81608.4931986824
46,133741.333108461
47,291342.497427391
48,640957.838480615
49,521151.149480195
50,400884.14389482
51,357050.338163554
52,1088778.56552588
53,650232.204471247
54,1424086.56546309
55,6003013.68624512
56,4870904.17297792
57,3596726.61271153
58,1093529.93053233
59,1880836.63421984
60,777540.758336256
61,549878.899269815
62,9126048.20917951
63,264570.94446403
64,1966271.38095452
65,1266187.52314778
66,2206486.54605717
67,1862349.93275762
68,375288.306267117
69,4697595.91306499
70,7479450.45216145
71,7680126.9861077
72,677065.097617386
73,550610.213974055
74,100621.615705533
75,201279.440510043
76,338739.978557667
77,156055.947207565
78,51676.8242353402
79,472770.54452478
80,513846.223074551
81,41367.7921298909
82,170260.196853859
83,169939.899265276
84,128688.870843571
85,123385.223325335
86,192482.133105666
87,476465.762347531
88,3578.16690189556
89,523146.1910313
90,8254.46289368385
91,262236.056982808
92,5768.38434007942
93,173357.129556634
94,9617.34111160621
95,42268.5289233083
96,5244.10198612539
97,353418.14429874
98,781883.401504008
99,4887.93049913287
100,112323.698719177
101,435174.050909016
102,14613.8582597959
103,411432.542637157
104,89464.7068567768
105,0
106,0
107,234600.136076155
108,0
109,334678.809492448
110,8282.56068442935
111,185038.510557106
112,75252.1958316492
113,11548.6741837626
114,6353.59821573308
115,0
116,193719.493884552
117,0
118,125996.606329385
119,4026.68352268356
120,2777.95920432544
121,5675.20260462265
122,266702.879938459
123,4037.41396165416
124,27945.8410038513
125,67009.7651420979
126,211742.703638624
127,49672.8954841948
128,497677.810591234
129,5429.47628582525
130,257406.630954162
131,5079.78446846031
132,179956.779292686
133,11221.6822605879
134,0
135,0
136,3534.30083866277
